,Attribute_name,,Source,Created_by_script,Type,Description
1,,EDCS-ID,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Unique identifier, as provided by the EDCS; http://db.edcs.eu/epigr/epikl_ergebnis.php"
2,,publication,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Bibliographical references, as provided by the EDCS (Publikation)"
3,,province,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Name of the province where the inscription was found, as provided by the EDCS (Provinz)"
4,,place,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Place name (ancient as well as modern) where the inscription was found, region name (separated by /), as provided by the EDCS (Ort)  "
5,,dating_from,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"The first listed start year of the dating interval of the inscription, YYYY representing year, where minus values are years BC, and plus values are years AD, as provided by the EDCS (Datierung)"
6,,dating_to,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"The first listed end year of the dating interval of the inscription, YYYY representing year, where minus values are years BC, and plus values are years AD, as provided by the EDCS (Datierung)"
7,,date_not_before,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"The earliest start of the dating interval of the inscription (*terminus post quem*), YYYY representing year, where minus values are years BC, and plus values are years AD, as provided by the EDCS (Datierung). If multiple dates for terminus post quem were provided by EDCS, the attribute contains the widest possible range."
8,,date_not_after,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"The latest end date of the dating interval of the inscription (*terminus ante quem*), YYYY representing year, where minus values are years BC, and plus values are years AD, as provided by the EDCS (Datierung). If multiple dates for terminus ante quem were provided by EDCS, the attribute contains the widest possible range."
9,,status,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Status keywords defining the contents of the inscription, keywords of several categories are mixed into one, containing both inscription classification and information on status of people, or the execution and technique of inscription. Individual keywords separated by semicolon, in Latin, as provided by the EDCS (Inschriftengattung / Personenstatus)"
10,,inscription,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Text of an inscription including the Leiden Mark up and special EDCS markup, as published by the EDCS."
11,,inscription_conservative_cleaning,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Result of cleaning function embedded in the Lat/Epig software, producing a conservative version of the text of an inscription. The text is as close to the preserved state of the text, without restorations and expansions also known as diplomatic edition (only the characters as they appear on the support, with minimal or no editorial intervention or interpretation)."
12,,inscription_interpretive_cleaning,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Result of cleaning function embedded in the Lat/Epig software, producing an interpretative version of the text of an inscription. The text contains all restorations and expansions in order to obtain as rich version of the text as possible, interpunction between sentences is not preserved"
13,,material,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Material of an inscriptions, as provided by the EDCS in Latin"
14,,comment,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,Written commentary as provided by the EDCS
15,,latitude,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,numeric,"Geographic coordinate, Latitude, as provided by the EDCS"
16,,longitude,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,numeric,"Geographic coordinate, Longitude, as provided by the EDCS"
17,,language,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Language of an inscription other than Latin, abbreviation for languages other than Latin, e.g. ""GR"" for Greek, extracted from the inscription attribute. Latin is default value (empty means Latin), as provided by the EDCS"
18,,photo,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,hyperlink,Hyperlink to the multimedia database of the EDCS 
19,,partner_link,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,hyperlink,"Hyperlinks to the records for the same inscription in partner projects, , as provided by the EDCS"
20,,extra_text,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Any additional text that was not parsed into any other attribute, as provided by the EDCS"
21,,extra_html,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Any additional HTML tags that were not parsed into any other attribute, as provided by the EDCS"
22,,raw_dating,http://db.edcs.eu/epigr/epikl_ergebnis.php,https://github.com/mqAncientHistory/EpigraphyScraperNotebook,character,"Raw dates without any formatting, as provided by the EDCS"
