Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Longitude (X),Latitude (Y),Select Bibliography
Hanson2016_1,Abae,Kalapodi,Achaea,Greece,4 or 5,55 D3,-600,NULL,22.933333,38.583333,BNP; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_2,Acharnae,Acharnes,Achaea,Greece,3,59 B2,-600,NULL,23.734088,38.083473,BNP; DGRG; PECS; Sear 2006.
Hanson2016_3,Acraephia,Akraifnio,Achaea,Greece,3,55 E4,-600,NULL,23.219702,38.452606,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_4,Aegina,Aigina,Achaea,Greece,2,59 A3,-600,NULL,23.4285,37.750074,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_5,Aegira,Aigeira,Achaea,Greece,3,58 C1,-600,NULL,22.35572,38.147951,DGRG; Hansen and Nielsen 2004.
Hanson2016_6,Aegium,Aigio,Achaea,Greece,3,58 C1,-600,NULL,22.081952,38.252707,BNP; DGRG; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_7,Ambracia,Arta,Achaea,Greece,3,54 C3,-635,-30,20.987,39.158,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006.
Hanson2016_8,Amphissa,Amfissa,Achaea,Greece,3,55 C3,-400,NULL,22.378406,38.527328,BNP; Hansen and Nielsen 2004; PECS.
Hanson2016_9,Anthedon,Anthedon,Achaea,Greece,3,55 E4,-400,NULL,23.461481,38.497543,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_10,Anticyra,Palatia,Achaea,Greece,3,55 D4,-400,NULL,22.632895,38.377588,BNP; DGRG; Hansen and Nielsen 2004; PECS.
Hanson2016_11,Antigonia,Gjirokaster,Achaea,Albania,4 or 5,49 C3,-300,NULL,20.221111,40.105278,BNP; Cohen 1995; DGRG; PECS.
Hanson2016_12,Argos (Achaea) (1),Loutron,Achaea,Greece,4 or 5,54 D4,-600,NULL,21.25,38.75,PECS; Sear 2006.
Hanson2016_13,Argos (Achaea) (2),Argos,Achaea,Greece,2,58 D2,-900,NULL,22.719769,37.631278,BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS; Sear 2006; Wilson 2011.
Hanson2016_14,Athenae,Athens,Achaea,Greece,1,59 B3,-900,NULL,23.726559,37.971119,Beloch 1886; BNP; Boatwright 2000; DGRG; Hansen 2006; Hansen and Nielsen 2004; McEvedy 2011; PECS; Russell 1958; Sear 2006.
Hanson2016_15,Atrax,Palaiokastro,Achaea,Greece,3,55 C1,-500,NULL,22.199557,39.571253,BNP; DGRG; Hansen 2006; Hansen and Nielsen 2004; PECS.
Hanson2016_16,Buthrotum,Butrinto,Achaea,Albania,4 or 5,54 B2,-700,NULL,20.020617,39.745701,BNP; Brunt 1971; Cornell and Mathews 1982; DGRG; Hansen and Nielsen 2004; MacMullen 2000; PECS; Salmon 1969; Sear 2006.
