EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-31400030	CIL 03, 12297	Achaia	?			Leius										
EDCS-24700151	CIL 01, 02650 (p 1097) = IG-05-01, 00741 = ILLRP 00962	Achaia	Afesou			 // D(ecimi) Leivei D(ecimi) Leivei salve						GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD057726		
EDCS-24900077	CIL 01, 00746 (p 944) = D 00867 = ILLRP 00374 (p 327) = Hesperia-2015-602	Achaia	Agia Triada / Merbaka / Midea	-68 to -68	officium/professio;  ordo senatorius;  tituli honorarii;  tria nomina;  viri	Q(uinto) Caecilio C(ai) f(ilio) Metel(l)o / imperatori Italici / quei Argeis negotia(ntur)			37.6381128	22.8052991			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0004362;$D_00867.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0004160;HD056163;de-a0195		
EDCS-03700724	ZPE-108-159 = Thesprotia 00001 = AE 1993, 01406 = AE 1995, 01394 = AE 2009, 01287	Achaia	Agios Athanasios / Photike	309 to 313	Augusti/Augustae;  litterae erasae;  ordo equester;  tituli honorarii;  tria nomina	Fortissimo et Piis/simo Caesari d(omino) n(ostro) / Gal(erio) Val(erio) [[Maximino]] / P(io) F(elici) Inv(icto) / Coranius Titianus v(ir) p(erfectissimus) / praes(es) prov(inciae) vet(eris) Epiri / Num(ini) eorum dicatissi/mus			39.4512182	20.7667673			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-108-159.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024479;HD052964		
EDCS-55701593	AE 2009, 01286a	Achaia	Agios Donatos / Photike		sigilla impressa;  tituli fabricationis	Cn(aeus) Atei(us)	opus figlinae		39.4759759	20.5069076						
EDCS-55701594	AE 2009, 01286b	Achaia	Agios Donatos / Photike		sigilla impressa;  tituli fabricationis	Avill(ius)	opus figlinae		39.4759759	20.5069076						
EDCS-55701595	AE 2009, 01286c	Achaia	Agios Donatos / Photike		sigilla impressa;  tituli fabricationis	L(ucius) Av(illius)	opus figlinae		39.4759759	20.5069076						
EDCS-55701596	AE 2009, 01286d	Achaia	Agios Donatos / Photike		sigilla impressa;  tituli fabricationis	Camurius	opus figlinae		39.4759759	20.5069076						
EDCS-55701597	AE 2009, 01286e	Achaia	Agios Donatos / Photike		sigilla impressa;  tituli fabricationis	L(uci) Titi	opus figlinae		39.4759759	20.5069076						
EDCS-66200107	AE 2008, 01264	Achaia	Aigio / Egio / Aiyion / Aegeum	151 to 250			lapis		38.2507139	22.0858224		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067316		
