EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-77400251	AE 1899, 00225	Aegyptus	?				lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1899-63		
EDCS-77400258	AE 1900, 00028	Aegyptus	?				lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1900-10		
EDCS-77400259	AE 1900, 00029	Aegyptus	?				lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1900-10;1ae1900-11		
EDCS-77400260	AE 1900, 00030	Aegyptus	?	129 to 129			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1900-11		
EDCS-77500131	AE 1902, 00229	Aegyptus	?	301 to 400	mulieres		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1902-60;1ae1902-61		
EDCS-77500176	AE 1903, 00219	Aegyptus	?		Augusti/Augustae;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-55		
EDCS-77500183	AE 1903, 00226	Aegyptus	?		tituli honorarii;  tria nomina;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P218109;1ae1903-56		
EDCS-77500184	AE 1903, 00227	Aegyptus	?		officium/professio;  tituli honorarii;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-56		
EDCS-77500185	AE 1903, 00228	Aegyptus	?		milites;  tituli sacri;  tria nomina;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-56		
EDCS-77500186	AE 1903, 00230	Aegyptus	?				lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P217746;1ae1903-56		
EDCS-77500187	AE 1903, 00370 = AE 1909, 00098	Aegyptus	?	154 to 158	ordo equester;  tria nomina;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-86;1ae1903-87;1ae1909-24;1ae1909-25		
EDCS-16700162	AE 1904, 00218	Aegyptus	?	147 to 147	leges;  ordo equester;  tria nomina;  viri	L(ucio) Annio Largo C(aio) Prastina Messalino co(n)s(ulibus) / IIII K(alendas) Septembres anno X Imp(eratoris) Caesaris // ]/ERAT D[3 qui] / infra [scripti sunt] / L(ucio) Ann[io Largo C(aio) Prastina Messalino] / co(n)s(ulibus) ann[o X Imp(eratoris) Caesaris T(iti) Aeli] / Hadria[ni Antonin(i) Aug(usti) Pii] / M(arco) Pet[ronio Honorato praef(ecto) Aeg(ypti)] / profes[3] / CCCM CA[3] / tab(ula) IL[3] / Longin[3]/um PRID[3] / Herenn[ius 3] / F() L() H[3] / V Idus I[3]								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0066536;HD033573;1ae1904-55;1ae1904-57		
EDCS-78300501	AE 1913, 00237	Aegyptus	?	204 to 204	Augusti/Augustae;  tituli honorarii;  tituli sacri;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P222566;1ae1913-58		
EDCS-15800285	AE 1926, 00151 = AE 1928, +00080 = AE 1939, 00309	Aegyptus	?	128 to 128	leges;  mulieres;  ordo equester;  tituli operum;  tria nomina;  viri	L(ucio) Nonio Torquato Asprenate II M(arco) Annio / Libone co(n)s(ulibus) Idib(us) April(ibus) anno XII Imp(eratoris) / Caesaris Traiani Hadriani Aug(usti) mense / Parmuthi die XVIII Alex(andriae) ad Aeg(yptum) / descriptum et recognitum ex tabula pro/fes(s)ionum quibus liberi nati sunt / quae tabula proposita erat in foro Aug(usti) / in qua scriptum fui<t=D> id quod infra scri/ptum est M(arco) Claudio Squilla Gallicano / T(ito) Atilio Rufo Titiano co(n)s(ulibus) anno XII Imp(eratoris) / Caesaris Traiani Hadriani Aug(usti) T(ito) Flavi(o) / Titiano praef(ecto) Aeg(ypti) profes(s)iones liberorum / acceptae citra causarum cognitionem // tab(ula) VIII pag(ina) II amplioribus litteris / scriptum est L(ucio) Nonio Torquato Asprenat[e] / II M(arco) Annio Libone co(n)s(ulibus) et post alia pag(ina) IX / VI Kal(endas) Apri(les) / C(aius) Herennius Geminianus HS CCCLXXV / fi(liam) n(atam) Herenniam Gemellam / ex Diogenide M(arci) f(iliam) Thermu/thario V Idus Mart(ias) q(uae) p(roximae) / f(uerunt) c(ivem?) R(omanam?) e(xscripsi?) ad K(alendarium?) // M(arci) Iuli Capitolini / L(uci) Petroni Celeris / C(ai) Iuli Blandiani / M(arci) Antisti Longi / C(ai) Semproni Valentis / T(iti) Flavi Macrini / M(arci) Antoni Clementis								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD023079;HD025504;1ae1926-38;1ae1926-39;1ae1928-22;1ae1939-93;1ae1939-94		
EDCS-16100353	AE 1931, 00087 = AE 1939, 00310 = AE 1952, 00233	Aegyptus	?	103 to 103	leges;  milites;  tria nomina;  viri	[M(arcus) Cornel]i[u]s M(arci) filius Iustus HS XX / [fil(ium) n]at(uralem) M(arcum) Cornelium Iustum ex / [3]a M(arci) f(ilia) Herade IV Idus Septemb(res) / q(ui) p(roximi) f(uerunt) c(ivem) R(omanum) e(xscripsi?) ad K(alendarium?) // C(ai) Corneli Rufi veter(ani) / M(arci) Egnati Longi vet(erani) / C(ai) I(uli) Valentii veter(ani) / Q(uinti) Ancharet{t}i Croculi / [ // [Imp(eratore)] C[a]esare Nerva [Traiano Aug(usto) V] / [M'(anio) Labe]ri[o] M[axi]mo I[I co(n)s(ulibus) [								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD025455;HD023082;1ae1931-28;1ae1939-94;1ae1939-95		
EDCS-15200100	AE 1931, 00088 = AE 1939, 00313 = AE 1952, 00234	Aegyptus	?	144 to 144	leges;  tituli operum;  tria nomina;  viri	I[mp(eratore) Caesare T(ito) Aelio Hadriano Antonino Aug(usto)] / [P]i[o IIII M(arco) Aelio Aurelio Vero Caesare II co(n)s(ulibus)] / XI Ka[l(endas)] Iulias [anno] VII[I] Imp(eratoris) Caesaris / Titi A[eli] H[adria]ni An[to]nini Aug(usti) Pii / [co(n)s(ulis)] III[I patris patriae me]nse / Paun[i die] XX[VI]I Alex(andriae) ad Ae]g(yptum) / descriptum et re[cognitum ex tabula] / albi profession[um] q[ui]bus l[ib]eri nat[i] / sunt quae prop[osita erat in a]trio [m]agn[o in] / qua scri[ptu]m [fuit id quod inf]ra sc[rip]tu(m) / est T(ito) Statili[o Maximo // [nati] sunt quae proposi[ta erat in atrio] / [mag]no in qua scriptum [fuit id quod] / [infra] scriptum est / [T(ito) Sta]tilio Maximo L(ucio) Lollia[no Avito co(n)s(ulibus)] / [anno] VII Imp(eratoris) Caesaris Titi [Aeli Hadriani] / [Anto]nini Aug(usti) Pii p(atris) p(atriae) L(ucio) Va[lerio Proculo] / [praef(ecto)] Aeg(ypti) professiones li[berorum acceptae] / [citra c]ausarum cognition[em ta(bula) 3] / [3 lo]co XV IIII Idus Iun[ias] / [3 Semp]ronius Valens a<b=P>[sens per suorum bo]/[norum] curatorem C(aium) Semp[ronium 3] / [fil(ium) n(atum) L(ucium)] Sempronium Saturn[inum ex 3] / [Satur]nina V Kal(endas) Iunia[s q(ui) p(roximi) f(uerunt) c(ivem) R(omanum) e(st) ad K(alendarium?) // 	lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0066532;HD023091;HD025458;1ae1931-28;1ae1931-29;1ae1939-96;1ae1939-97		
EDCS-78700067	AE 1934, 00005	Aegyptus	?		officium/professio;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1934-06;1ae1934-07		
EDCS-16000481	AE 1934, 00006	Aegyptus	?	1 to 200	nomen singulare;  officium/professio;  tituli possessionis;  viri	Exemplar / hordei missi per Chae/remonam Anubionis / gubernatorem ex no/mo Memphite a[d] Metro/polin								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD026569;1ae1934-07		
EDCS-15900140	AE 1937, 00112	Aegyptus	?	127 to 127	Augusti/Augustae;  leges;  milites;  mulieres;  tituli sacri;  tria nomina;  viri	C(aius) Antonius Maximus armorum cus(tos) / L(uci) Farsulei / M(arcus) Arrius Antoninus / turma Rufi / Gaius Barga mil(es) L(uci) Farsulei / C(aius) Iulius Marcellus cornicul(arius) / [3]VDI / T(itus) Marsias Bammogalis(?) SV[3]XI / Numerius Alexa fil(ius) Longi / M(arcus) Lucretius Clem[en]s [3] / [6] / M(arcus) Lucretius Clemens eq(ues) coh(ortis) I Thra(cum) / tur(ma) Silvani testatus est eos qui signa/turi erant iuravitque per I(ovem) O(ptimum) M(aximum) / et Numina divorum Augustorum / Geniumque Imp(eratoris) Caesaris Traiani / Hadriani Augusti naturalem sibi fi/lium in militia natum esse Sere/num ex Octavia Tamusta VII Kal(endas) / Maias ann(o) XI Imp(eratoris) Caesaris Traiani / Hadriani Augu(sti) // Ut possit post honestam missionem suam / ad epicrisin suam adprobare filium suum / naturalem esse / actum castris hib(ernis) coh(ortis) I T(hracum) contra / Apollonos poli(m) magna(m) Thebaidis / Kal(endis) Mai(i)s ann(o) s(upra) s(cripto)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0086386;HD023280;1ae1937-44;1ae1937-45		
EDCS-78800231	AE 1937, 00233	Aegyptus	?	131 to 131	officium/professio;  viri		opus figlinae					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1937-84		
EDCS-15500007	AE 1938, 00001 = AE 1952, 00235	Aegyptus	?	138 to 138	leges;  milites	] / [Camerino et] Nigro co(n)s(ulibus) / [loco Pselchi a]d hib(erna) coh(ortis) s(uprae) s(criptae) / [anno XXII I]mp(eratoris) Caesaris Traiani / [Hadriani A]ug(usti) et vocari eum Numis/[ium at]que se testari ex lege / A(elia) S(entia) / [et Papiae(!)] Poppaeae(!) quae de fili(i)s / [procreandi]s latae sunt nec potuisse se / [profiteri pro]pter [di]strinctionem(!) militiae / [actum in] s(upra) s(cripto) Pselchi ad hib(erna) coh(ortis) s(upra) s(criptae) / [3]s isdem co(n)s(ulibus) // ] / et Nigro co(n)s(ulibus) loco Pselchi ad hib(erna) coh(ortis) s(upra) s(criptae) / anno XXII Imp(eratoris) Cae(s)aris Traiani / Hadriani Aug(usti) et vocari eum Nu<m=NN>isium / atque se testari ex lege Ael(ia) S(entia) / et Papiae(!) Poppaeae(!) quae de fili(i)s procre/andis latae sunt nec potuisse se profiteri / [pro]p[t]er [3]s[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021903;1ae1938-05;1ae1938-06		
