EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-63600344	AlpCott *00003 = Epigraphica-2005-329	Alpes Cottiae	?		tituli sacri;  viri	] / et Genio collegi(i) eius / Q(uintus) Volcanius [										
EDCS-08400655	CIL 12, 00080 = CAG-05, p 52 = AlpCott-App, 00017 = AE 1938, 00133 = AE 1994, 01142 = AE 2001, 01303 = AE 2002, +00072 = AE 2002, +00901 = AE 2013, +00985 = AE 2013, +00986 = AE 2015, +00799	Alpes Cottiae	Arvieux / Ebrodunum	1 to 150	mulieres;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri	Quari[nius] / [Buss]ulli f(ilius) [3] / [3 B]ussu[llo] / [3] patr[i 3] / [3]lae Lut[3] / matri [3] / Albano Buss[ul]li f(ilio) fratri / praef(ecto) Capillat(orum) Savincat(ium) / Quariat(ium) Bricianorum / Qu[int]o(?) Bussulli f(ilio) fratri / [3]niae Bussulli f(iliae) sorori	lapis		44.7681112	6.7392651			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_12_00080a.jpg;$CIL_12_00080b.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0024691;HD022257;1ae1938-39		
EDCS-63600016	AlpCott 00188	Alpes Cottiae	Avigliana / Fines Cotti			]sup[			45.077145	7.398616				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD066104		
EDCS-05400215	CIL 05, 06963 = MiliariXIRegio 00027 = AlpCott 00050	Alpes Cottiae	Avigliana / Fines Cotti	350 to 353	Augusti/Augustae;  litterae erasae;  miliaria;  viri	Liberatori / [[or[bis Romani]]] / [[	lapis		45.077145	7.398616			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AlpCott_00050.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p782;HD065881		
EDCS-05400458	CIL 05, 07209 = AlpCott 00011 = Cimarosti-2008-A, 00003 = AE 2002, +00125 = QAP-2002-22 = AE 2007, 00889	Alpes Cottiae	Avigliana / Fines Cotti	71 to 130	liberti/libertae;  litterae erasae;  mulieres;  officium/professio;  tituli sacri;  tria nomina;  viri	[[I(ovi)] O(ptimo) M(aximo)]] / [[[T(itus) Fl]avius]] / [[[Aug(usti)] l(ibertus) Alypus]] / [[[3] XL(quadragesimae) Gal(l)i{c}(arum)]] / et / [[[Clau]dia Aug(usti) l(iberta)]] / [[[Alexa]ndria]] / [[[l(ibentes)] m(erito)]] // I(ovi) O(ptimo) [M(aximo)] / [[Alypus Au[g(usti) 3]]] / v(otum) [s(olvit?)]	lapis		45.077145	7.398616			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AlpCott_00011_1.jpg;$AlpCott_00011_2.jpg;$AlpCott_00011_3.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p812;HD065388		
EDCS-05400459	CIL 05, 07210 = AlpCott 00013 = Cimarosti-2008-A, 00004	Alpes Cottiae	Avigliana / Fines Cotti	51 to 100	liberti/libertae;  nomen singulare;  tituli sacri;  tria nomina;  viri	Matronis / Ti(berius) Iulius Prisci l(ibertus) / Acestes	lapis		45.077145	7.398616			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AlpCott_00013.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p812;HD065390		
EDCS-05400460	CIL 05, 07211 = AlpCott 00016 = Cimarosti-2008-A, 00011 = AE 2002, +00125 = QAP-2002-22 = AE 2013, +00977	Alpes Cottiae	Avigliana / Fines Cotti	171 to 230	officium/professio;  servi/servae;  tituli sacri;  viri	] / Caes[aris] / ser(vus) vi[licus] / station[is XL] / Matron[is 3]	lapis		45.077145	7.398616			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AlpCott_00016.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p812;HD065393		
EDCS-05400461	CIL 05, 07212 = AlpCott 00005 = AE 2013, +00976	Alpes Cottiae	Avigliana / Fines Cotti	71 to 130	tituli sacri	Num[ini 3] / et G[enio 3] / D[	lapis		45.077145	7.398616			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AlpCott_00005.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p812;HD065377		
EDCS-05400462	CIL 05, 07213 = D 01853 = AlpCott 00027 = Kritzinger 00025 = Cimarosti-2008-A, 00006 = AE 2002, +00125 = QAP-2002-22	Alpes Cottiae	Avigliana / Fines Cotti	51 to 100	nomen singulare;  officium/professio;  servi/servae;  tituli sacri;  viri	Pudens soc(iorum) / publ(ici) XL ser(vus) / |(contra)scr(iptor) finib(us) / Cotti vovit / arcar(ius) Lugud(uni) / s(olvit) l(ibens) m(erito) // Pudens soc(iorum) / publ(ici) XL ser(vus) / |(contra)scr(iptor) finib(us) Cotti / vovit arc(arius) / Lugud(uni) s(olvit) l(ibens) m(erito)	lapis		45.077145	7.398616			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AlpCott_00027_1.jpg;$AlpCott_00027_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p812;HD065555;de-a0368		
EDCS-05400463	CIL 05, 07214 (p 1090) = AlpCott 00029 = AE 2002, +00125 = QAP-2002-22	Alpes Cottiae	Avigliana / Fines Cotti	101 to 300	liberti/libertae;  officium/professio;  tituli sacri;  viri	]us Au[g(usti) l(ibertus)] / [3 tab]ul(arius) XL(quadragesimae) / Gall(iarum) d(onum?) d(edit?) / [	lapis		45.077145	7.398616				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p812;HD065562		
