EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-09200337	RISch-03, 00283 = AE 1978, 00460	Alpes Poeninae	Ardon	1 to 300	tituli sacri;  tria nomina;  viri	Iovi O(ptimo) M(aximo) / L(ucius) Condius / Rufus / v(otum) s(olvit) l(ibens) m(erito)	lapis		46.2103405	7.2576644			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RISch-03_00283.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0009174;HD013644;lu_8612		
EDCS-08900465	RISch-03, 00284 = AE 1980, 00607	Alpes Poeninae	Ardon	41 to 300	mulieres;  tituli operum;  tituli sacri;  tria nomina;  viri	T(itus) Cominius / Exoratus / et Statia / Quintu(la) / Mercurio / aram et / [6]	lapis		46.2103405	7.2576644			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RISch-03_00284.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0009175;HD065654;lu_8611		
EDCS-05400109	CIL 05, 06863 = InscrIt-11-01, 00055 = AlpPoeninae 00001	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	1 to 300	tituli sacri	T(itus) Annius Cissus	aes		45.9491399	7.2085376			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$InscrIt_11_01_00055_1.jpg;$InscrIt_11_01_00055_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;CO0078045;HD065678		
EDCS-05400110	CIL 05, 06864 = InscrIt-11-01, 00056 = AlpPoeninae 00002	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	1 to 300	ordo equester;  tituli sacri;  tria nomina;  viri	M(arcus) Apisius A[3] / praef(ectus) c[oh(ortis)] / v(otum) s(olvit) l(ibens) m(erito)	aes		45.9491399	7.2085376			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$InscrIt_11_01_00056.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;CO0078046;HD065679		
EDCS-05400111	CIL 05, 06865 = InscrIt-11-01, 00057 = AlpPoeninae 00003	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	1 to 300	nomen singulare;  tituli sacri;  viri	I(ovi) O(ptimo) M(aximo) Poeni/no pro salute / Heli et suorum / Apriclus eius / dedit donum / voto(!) s(olvit) l(ibens) m(erito)	aes		45.9491399	7.2085376			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_06865.jpg;$InscrIt_11_01_00057.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;N010186;CO0078047;HD065680		
EDCS-05400112	CIL 05, 06866 = InscrIt-11-01, 00058 = AlpPoeninae 00004	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	1 to 300	tituli sacri;  tria nomina;  viri	Poenino sacrum / P(ublius) Blattius Creticus	aes		45.9491399	7.2085376				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;CO0066961;HD065681		
EDCS-05400113	CIL 05, 06867 = InscrIt-11-01, 00060 = AlpPoeninae 00006	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	1 to 300	milites;  tituli sacri;  tria nomina;  viri	[Io]vi Poe/nino Q(uintus) / Cassius / Facundus / a com(mentariis) co(n)s(ularis) / votum s(olvit) l(ibens) l(aetus) m(erito)	aes		45.9491399	7.2085376			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_06867.jpg;$InscrIt_11_01_00060.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;N010187;CO0078049;HD065683		
EDCS-05400114	CIL 05, 06868 = InscrIt-11-01, 00062 = AlpPoeninae 00008	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	1 to 300	milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) Poenino / C(aius) Catullin(i)us / Carinus vet(eranus) / Aug(usti) n(ostri) votum s(olvit) l(ibens) m(erito)	aes		45.9491399	7.2085376			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$InscrIt_11_01_00062.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;N010188;CO0078051;CO0078052;HD065684		
EDCS-05400115	CIL 05, 06869 = InscrIt-11-01, 00063 = D 04850d = AlpPoeninae 00009	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	151 to 200	milites;  tituli sacri;  tria nomina;  viri	Iovi Op(timo) M(aximo) / Poenino / T(itus) Cl(audius) Severus / fr(umentarius) leg(ionis) III / Italic(ae) votum s(olvit) / l(ibens) m(erito)	aes		45.9491399	7.2085376			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_06869.jpg;$InscrIt_11_01_00063.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;N010189;CO0076144;HD065685;de-b0240		
EDCS-05400116	CIL 05, 06870 = InscrIt-11-01, 00066 = AlpPoeninae 00012	Alpes Poeninae	Bourg-Saint-Pierre / Sankt Petersburg / Summus Poeninus	1 to 300	milites;  tituli sacri;  viri	Sex(tus) E[3] / mil(es) le[g(ionis) 3] / Geminae [3] / votum s(olvit) l(ibens) m(erito)	aes		45.9491399	7.2085376			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_05_06870.jpg;$InscrIt_11_01_00066.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p762;CO0078054;HD065688		
