EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-08600765	AE 1997, 01086	Aquitani(c)a	?		tituli sacri	Pereg(rinus?) v(otum) s(olvit)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049657		
EDCS-10400551	CIL 13, 00398	Aquitani(c)a	?			Merc(urio) / C(aius) Pu[										
EDCS-24500425	CIL 13, 00399	Aquitani(c)a	?		tituli sacri	Deo / Ar[3]/[3]eo / [										
EDCS-10400552	CIL 13, 00400	Aquitani(c)a	?			[M]odesta / [M]odesti f(ilia) / [p]osuit / [1 Iu]lianus / [3]odossi f(ilius) / uxori										
EDCS-10400554	CIL 13, 00402	Aquitani(c)a	?		tituli sepulcrales	D(is) M(anibus)										
EDCS-10400557	CIL 13, 00405	Aquitani(c)a	?			] / G[3] /VX[										
EDCS-10400558	CIL 13, 00406 = ILA-Auscii 00115	Aquitani(c)a	?	1 to 100	tituli sepulcrales;  viri	] Ahoissi / [fil]io / [ex test]amento							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=G160101500117		
EDCS-10400629	CIL 13, 00476 = ILA-Auscii 00117	Aquitani(c)a	?	1 to 70	mulieres;  tituli sepulcrales;  viri	Viva [3] / N[3] / [3]O[3]/o Nacu[3] / et vivu[s] / [3] uxo[r							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_f00476_1.jpg;$CIL_13_f00476_2.jpg;$TR_CIL_13_00476_1.jpg;$TR_CIL_13_00476_2.jpg;$TR_CIL_13_00476_3.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=G160101500119		
EDCS-10401145	CIL 13, 00973 = ILA-Petr 00033 = CAG-24-02, p 286	Aquitani(c)a	?		tituli operum;  tituli sacri	sa]eptisque [3] / [3 ded]icavit [								http://db.edcs.eu/epigr/partner.php?s_language=en&param=G160101400148		
EDCS-13303042	ILTG 00129	Aquitani(c)a	?		tituli sacri	Marti / deo / [										
EDCS-13303043	ILTG 00130	Aquitani(c)a	?		tituli sacri	Silvano / deo / et Dianae / v(otum) s(olvit) l(ibens) m(erito)										
EDCS-13303044	ILTG 00131	Aquitani(c)a	?			]M[										
EDCS-13303045	ILTG 00132	Aquitani(c)a	?		tituli sacri	]pri[3] / v(otum) s(olvit) l(ibens) m(erito)										
EDCS-13303046	ILTG 00133	Aquitani(c)a	?			]VOR[3] / [3]ENS[										
EDCS-13303088	ILTG 00191 = AE 1945, 00017	Aquitani(c)a	?		tituli sacri	Silvano deo / Flavi[us] Sa[b]inus donavi[t] / infirmitate / liberat[u]s / v(otum) s(olvit) l(ibens) m(erito)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019776;1ae1945-08;1ae1945-09		
EDCS-13303089	ILTG 00192	Aquitani(c)a	?		tituli sacri	Iu<l=I>{e}ia / [3]oni / Seuri f(ilia) / v(otum) s(olvit) l(ibens) m(erito)										
EDCS-13303090	ILTG 00193	Aquitani(c)a	?		tituli sacri	N[3] / pro sa[lute] / [3]ex[3] / [v(otum)] s(olvit) l(ibens) m(erito)										
EDCS-13303094	ILTG 00208 = RICG-08, 00033 = CAG-63-01, p 277	Aquitani(c)a	?		inscriptiones christianae;  tituli sepulcrales	Hic quiescit / Ganato in / [pace										
EDCS-10400305	CIL 13, 00151 = CAG-31-02, p 102	Aquitani(c)a	Agassac / Lugdunum Convenarum			]BELE[3] / [3] su(a)e [3] / [3 f]eci[t 3] / [3 Fau]stianus [			43.371100	0.888522						
EDCS-03300671	AE 1995, 01083	Aquitani(c)a	Agen / Nitiobroges / Aginnum			Virtuti faustae			44.2015624	0.6176324				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050885		
EDCS-03300672	AE 1995, 01084	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Lamana	opus figlinae		44.2015624	0.6176324				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050886		
EDCS-03300673	AE 1995, 01085	Aquitani(c)a	Agen / Nitiobroges / Aginnum	1 to 100		Memen/to // Aviti			44.2015624	0.6176324				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050887		
EDCS-43400442	BCTH-1897-91	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Catonis	opus figlinae		44.2015624	0.6176324						
EDCS-43400446	BCTH-1897-91	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	M() Ai()	opus figlinae		44.2015624	0.6176324						
EDCS-43400445	BCTH-1897-91	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	L(uci) S() C(h)re(simi)	opus figlinae		44.2015624	0.6176324						
EDCS-43400444	BCTH-1897-91	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Malc(h)io	opus figlinae		44.2015624	0.6176324						
EDCS-43400443	BCTH-1897-91	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Atei	opus figlinae		44.2015624	0.6176324						
EDCS-52300949	CAG-47, p 106	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	C(ai) Maevi	opus figlinae		44.2015624	0.6176324						
EDCS-52300950	CAG-47, p 131 = AE 1995, 01082	Aquitani(c)a	Agen / Nitiobroges / Aginnum	87 to 87		Imp(eratori) Caes(ari) Domi[tia]no Aug(usto) Germanico co(n)s(uli) XIII [cens(ori)] perp(etuo) p(ontifici) max(imo) p(atri) p(atriae)			44.2015624	0.6176324				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050884		
EDCS-52300951	CAG-47, p 133	Aquitani(c)a	Agen / Nitiobroges / Aginnum			]A / [3]E V[ // ]anum / [3]ter / [3]OP[			44.2015624	0.6176324						
EDCS-52300953	CAG-47, p 145	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	P(ublius) Mess[e]/n(i)us [	opus figlinae		44.2015624	0.6176324						
EDCS-52300990	CAG-47, p 145	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	[Of(ficina)] Repe(ntini)	opus figlinae		44.2015624	0.6176324						
EDCS-52300987	CAG-47, p 145	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Q(uinti) V[a]l(eri) Sed(ati)	opus figlinae		44.2015624	0.6176324						
EDCS-52300967	CAG-47, p 145	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Cinnamus	opus figlinae		44.2015624	0.6176324						
EDCS-52300964	CAG-47, p 145	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Capi[to]	opus figlinae		44.2015624	0.6176324						
EDCS-52300963	CAG-47, p 145	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Cacus	opus figlinae		44.2015624	0.6176324						
EDCS-52300954	CAG-47, p 145	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Nast(a) / Titi	opus figlinae		44.2015624	0.6176324						
EDCS-52301021	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Ioll()	opus figlinae		44.2015624	0.6176324						
EDCS-52301020	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Celer fec(it)	opus figlinae		44.2015624	0.6176324						
EDCS-52301019	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Albus	opus figlinae		44.2015624	0.6176324						
EDCS-52301018	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Verecund(i)	opus figlinae		44.2015624	0.6176324						
EDCS-52301017	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Aius	opus figlinae		44.2015624	0.6176324						
EDCS-52301016	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Cresti	opus figlinae		44.2015624	0.6176324						
EDCS-52301015	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Cal/edo	opus figlinae		44.2015624	0.6176324						
EDCS-52301014	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Paeti	opus figlinae		44.2015624	0.6176324						
EDCS-52301013	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Primus	opus figlinae		44.2015624	0.6176324						
EDCS-52301012	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Iucundus	opus figlinae		44.2015624	0.6176324						
EDCS-52301011	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Niger	opus figlinae		44.2015624	0.6176324						
EDCS-52301010	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Surus	opus figlinae		44.2015624	0.6176324						
EDCS-52301009	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Felix	opus figlinae		44.2015624	0.6176324						
EDCS-52301008	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Vere/cund(i)	opus figlinae		44.2015624	0.6176324						
EDCS-52301007	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Val(eri)	opus figlinae		44.2015624	0.6176324						
EDCS-52301006	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	L V MP O	opus figlinae		44.2015624	0.6176324						
EDCS-52301005	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	ER T IV	opus figlinae		44.2015624	0.6176324						
EDCS-52301004	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	CRAICM	opus figlinae		44.2015624	0.6176324						
EDCS-52301003	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Malcio	opus figlinae		44.2015624	0.6176324						
EDCS-52301047	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Sixtus	opus figlinae		44.2015624	0.6176324						
EDCS-52301046	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Lepidu(s)	opus figlinae		44.2015624	0.6176324						
EDCS-52301045	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Felix	opus figlinae		44.2015624	0.6176324						
EDCS-52301044	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Vitlus	opus figlinae		44.2015624	0.6176324						
EDCS-52301043	CAG-47, p 146	Aquitani(c)a	Agen / Nitiobroges / Aginnum		sigilla impressa;  tituli fabricationis	Surdini	opus figlinae		44.2015624	0.6176324						
