EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-03300877	AE 1995, 01604	Arabia	?	112 to 112	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar / divi Nervae f(ilius) Nerva / Traianus [Aug(ustus) Germ(anicus)] / Dacicus [pont(ifex) max(imus)] / trib(unicia) po[t(estate) XVI imp(erator) VI] / co(n)s(ul) VI [p(ater) p(atriae) redacta in] / form[am provinciae] / Ar[abia viam novam] / a [finibus Syriae] / usq[ue] a[d mare Rubrum] / aper[uit et stravit per C(aium)] / C[laudium Severum]	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051086		
EDCS-66400037	SEG-08, 00296 = SEG-34, 01509 = SEG-38, 01587 = AE 1985, 00833	Arabia	?	401 to 600	inscriptiones christianae;  tituli honorarii		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065160		
EDCS-68300001	Syria-2015-307 = EpRom 2015_54_021	Arabia	?	301 to 500	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) s(acrum) / Iulio Ur/bano ex / centuri/one de n/umero							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Syria-2015-307.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=er_383		
EDCS-73600305	Thomsen-1917, 00169a	Arabia	Ain el-Mikwan		miliaria	?	lapis									
EDCS-73600306	Thomsen-1917, 00170a	Arabia	Ain el-Mikwan		miliaria	?	lapis									
EDCS-73600307	Thomsen-1917, 00170b	Arabia	Ain el-Mikwan		miliaria	?	lapis									
EDCS-31800331	CIL 03, 14176,10 = AE 2005, 01585 = Thomsen 1917, 00228	Arabia	Ajloun		miliaria	] I / 	lapis		32.3323294	35.7520522		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD063870		
EDCS-30100051	SEG-53, 01879 = AE 2003, 01821	Arabia	Ajloun	162 to 162	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli sacri;  tria nomina;  viri	XII / Imp(erator) Caesar / M(arcus) Aurelius Antoninus / Aug(ustus) p(ontifex) m(aximus) trib(unicia) pot(estate) XVI / co(n)s(ul) III et / Imp(erator) Caesar L(ucius) Au[r]elius / Verus Aug(ustus) t[rib(unicia) pot(estate) II c]o(n)s(ul) II / divi Anton[ini Pii filii divi] / Hadriani nepotes divi / [T]raiani Parthici / pronepotes divi N[e]rvae / [a]bnepotes refecer[unt] / per Geminium Marci[anum] / leg(atum) pr(o) pr(aetore) // 	lapis		32.3323294	35.7520522		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD045223		
EDCS-16000005	AE 1936, 00155	Arabia	Al 'Anz		milites;  tituli sepulcrales;  tria nomina;  viri	Ael(ius) Satorni/los(!) imm(unis) <c=K>a(rcerarius?) / leg(ionis) III <c=K>y<r=I>e(nai)<c=K>(ae)			35.25	37.0166667				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD024498;1ae1936-50		
EDCS-31300128	IGRRP-03, 01264 = D 08880	Arabia	Al-Mushannaf / Muschennef / Nela						32.7425363	36.7761276		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=de-b1039		
EDCS-49000051	IGRRP-03, 01264 = IGLS-06, 02223 = CBI 00730	Arabia	Al-Mushannaf / Muschennef / Nela						32.7425363	36.7761276		GR				
EDCS-03000823	ZPE-113-260 = AE 1996, 01618	Arabia	Al-Qihati / El-Qihati	293 to 305	Augusti/Augustae;  miliaria;  tituli honorarii;  viri	DD(ominis) nn(ostris) / Imp(eratoribus) Caes(aribus) / C(aio) Aur(elio) [V]al(erio) / Diocletiano P(io) F(elici) / [Invi]cto Aug(usto) et / M(arco) Aur(elio) Val(erio) / [Maxim]iano P(io) F(elici) / Invicto Aug(usto) / et Fl(avio) Val(e)rio / Constantio et / [Gal(erio)] Va[lerio] / Maximiano / [n]obb(ilissimis) Caess(aribus)			32.183333	36.316667			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1996_01618.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0028460;HD050439		
EDCS-03000824	ZPE-113-260 = AE 1996, 01619	Arabia	Al-Qihati / El-Qihati		Augusti/Augustae;  miliaria;  tituli honorarii;  viri	] / Pio [Fel(ici) Invict(o) Aug(usto) et F]/l(avio) Val(erio) Severo n[ob(ilissimo) Caes(ari)] / e(t) Fla(vio) Val(erio) [C]on[stantino] / nob(ilissimo) [C]aes(ari)			32.183333	36.316667			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1996_01619.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0028461;HD050440		
EDCS-03000825	ZPE-113-260 = AE 1996, 01620	Arabia	Al-Qihati / El-Qihati		Augusti/Augustae;  miliaria;  tituli honorarii;  viri	] C(aio) Val(erio) Maxi/mino nob(ilissimis) Caess(aribus)			32.183333	36.316667			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1996_01620.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0028462;HD050441		
EDCS-48001031	ZPE-113-261a	Arabia	Al-Qihati / El-Qihati		miliaria	?	lapis		32.183333	36.316667			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-113-261_2.jpg			
EDCS-48001030	ZPE-113-261b	Arabia	Al-Qihati / El-Qihati		miliaria	?	lapis		32.183333	36.316667			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-113-261_1.jpg			
EDCS-03000826	ZPE-113-261c = AE 1996, 01621	Arabia	Al-Qihati / El-Qihati	305 to 306	Augusti/Augustae;  miliaria;  tituli honorarii;  viri	Felici C(aio) Aur(elio) Val(erio) / Diocletiano pat/ri Immpp(eratorum) et M(arco) Aur(elio) / Val(erio) Maximiano / patri Immpp(eratorum) et F/l(avio) Aur(elio) Val(erio) Constan/tio P(iis) F(elicibus) Invict(is) A[u]gg(ustis) e/t Gal(erio) Val(erio) Maximian/[o] P(io) F(elici) [Invict(o) Au]g(usto) e/t [			32.183333	36.316667			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1996_01621.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0028463;HD050442		
