EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-77400138	AE 1895, 00134	Asia	?		tituli sacri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1895-32;1ae1895-33		
EDCS-77400139	AE 1895, 00135	Asia	?		tituli sacri;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1895-33		
EDCS-79400006	AE 1944, 00076	Asia	?		defixiones;  tituli sacri;  tria nomina;  viri		plumbum					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1944-19;1ae1944-20		
EDCS-67200867	AE 2002, 01391 = AE 2004, +01392	Asia	?	195 to 196			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043871		
EDCS-67200868	AE 2002, 01392 = AE 2004, +01392	Asia	?	235 to 236			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043872		
EDCS-67200318	AE 2002, 01418	Asia	?	151 to 200			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043893		
EDCS-67200332	AE 2002, 01439	Asia	?	212 to 300	ordo equester;  tituli possessionis;  tria nomina;  viri		plumbum					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043935		
EDCS-33600273	CIG 06845b = IG-14, 02383 = InscrIt-10-04, 00002* = IGLFriuli 00010	Asia	?									GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IGLFriuli_00010.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=P141607		
EDCS-24900075	CIL 03, 00462 = CIL 01, 00786 (p 727, 839, 950) = D 00040 = ILLRP 00404	Asia	?			[P(ublius)] Serveilius P(ubli) [f(ilius)] / Isauricus proco(n)s(ule) / res[tit]uit								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0004156;de-a0013		
EDCS-64700403	MAHierapolis 00208	Asia	?			Principi i{i}uventutis / d(omino) n(ostro) Fl(avio) Vale[ntiniano] / [Invicto Augusto]							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$MAHierapolis_00208.jpg			
EDCS-64700404	MAHierapolis 00209	Asia	?			Fl(avio) Valentini[ano 3] // 						GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$MAHierapolis_00209.jpg			
EDCS-65400086	RFS p 100	Asia	?									GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RFS_p100.jpg			
EDCS-65400087	RFS p 102	Asia	?									GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RFS_p102.jpg			
EDCS-65400085	RFS p 97	Asia	?									GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RFS_p97.jpg			
EDCS-12100816	RMD-01, 00038 = Chiron-1977-318 = AE 1977, 00793 = AE 2006, +01870	Asia	?	139 to 139	Augusti/Augustae;  diplomata militaria;  milites;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Hadriani f(ilius) divi Traiani / Parthici nepos divi Nervae pronepos T(itus) / Aelius Hadrianus Antoninus Aug(ustus) Pius / pont(ifex) max(imus) trib(unicia) pot(estate) II co(n)s(ul) II p(ater) p(atriae) / iis qui militaverunt in classe praetoria / Misenensi quae est sub Caecio Severo / senis et vicenis pluribusve stipendi(i)s / emeritis dimissis honesta missione / quorum nomina subscripta sunt ipsis / liberis posterisque eorum civitatem / dedit et conubium cum uxoribus quas / nunc habent cum iis civitas datur aut si / qui caelibes sunt cum is quas postea / duxerint dumtaxat singuli singulas / Idib(us) Febr(uariis) / Imp(eratore) T(ito) Aelio Caesare Antonino Aug(usto) Pio II / C(aio) Bruttio Praesente II co(n)s(ulibus) / ex gregale / M(arco) Lollio Lolli f(ilio) Neoni Laerta ex Pam/phylia / descriptum et recognitum ex tabula / aerea quae fixa est Romae in muro post / templum divi Aug(usti) ad Minervam // Imp(erator) Caesar divi Hadriani f(ilius) divi Traiani / Parthici nepos divi Nervae pronepos T(itus) / Aelius Hadrianus Antoninus Aug(ustus) Pius / pont(ifex) max(imus) trib(unicia) pot(estate) II co(n)s(ul) II p(ater) p(atriae) iis qui milit(averunt) in class(e) pr(aetoria) Misen(ensi) quae es[t] sub / Caecio Sev[e]ro senis et vicen(is) plur(ibusve) s[ti]pen(diis) / emer(itis) dimis(sis) hones(ta) miss(ione) quoru(m) nomin(a) / subscript(a) sunt ipsis liber(is) post(eris)q(ue) eoru(m) / civit(atem) dedit et conub(ium) cum uxorib(us) quas / nunc hab(ent) cum iis civit(as) datur au[t] si q(ui) / caelib(es) sunt cum is quas post(ea) duxer(int) / dumtaxat sing(uli) singul(as) // Idib(us) Febr(uariis) / Antonino Aug(usto) Pi(o) et Praesente II co(n)s(ulibus) / ex (g)regale / M(arco) Lollio Polli f(ilio) Neoni Laer(ta) ex Pamphy(lia) // Ti(beri) Claudi Menandri / P(ubli) Atti Severi / L(uci) Pulli Daphni / P(ubli) Atti Festi / T(iti) Flavi Romuli / Ti(beri) Iuli Felicis / C(ai) Iuli Silvani	aes							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020812		
EDCS-12100849	RMD-01, 00074	Asia	?	212 to 212	Augusti/Augustae;  diplomata militaria;  tituli sacri	Im[p(erator) Caes(ar) divi Septimi Severi] Pii Arab(ici) Adiab(enici) Parth(ici) max(imi) / Brit(annici) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) / divi Antonini Pii pron(epos) divi Hadriani abnep(os) / divi Traiani Parthici et divi Nervae adnep(os) / M(arcus) Aurellius Severus Antoninus Pius Felix Aug(ustus) / Parthic(us) max(imus) Brit(annicus) max(imus) pontif(ex) max(imus) / trib(unicia) pot(estate) XV imp(erator) II co(n)s(ul) III p(ater) p(atriae) proco(n)s(ul) / iis qui militaverunt in classe praetoria An/ton(in)iana Misenensi quae est sub Valerio Dato / praef(ecto) octonis et vicenis stipendi(i)s emeritis / dimissis honesta missione quorum nomina / subscripta sunt ipsis filiisque eorum / quos susceperint ex mulieribus quas secum / concessa consuetudine vix<i=E>sse probaverint / civitatem Romanam dedit et conubium cum iis/dem quas tunc secum habuissent cum est / civitas iis data aut si qui tunc non habuis/sent cum iis quas postea uxores duxissent / dumtaxat singuli{s} singulas / a(nte) d(iem) III Kal(endas) Sept(embres) / C(aio) Iulio Aspro II et C(aio) Iulio Camilio Aspro co(n)s(ulibus) / ex centurione / M(arco) Didio Hellanici fil(io) Heliodoro Pompeiopol(i) ex Cilic(ia) et Didiae Tryphene ux(ori) eius Nicensi ex Bithyn(ia) / descriptum et recognitum ex tabula aerea quae fixa est / Romae in muro post templum divi Aug(usti) ad Minervam // L(uci) Pul[l]i M[arcionis?] / C(ai) Pub[l]ici Lu[perci] / M(arci) Iun[i Pi]i / Ti(beri) Claudi Cassandr[i] / Ti(beri) Claudi Epin[ici] / L(uci) Pulli Benign[i] / Ti(beri) Iuli [D]a[ti]vi // ]/iisqu(e) [3] / [3] qua[3] / [3]V[3] / nom[3]V[3] / quo [3] / con[3] / [3]V[ // a(nte) d(iem) III K(alendas) Sept(embres) / Aspro II et Aspro co(n)s(ulibus) / ex centurion(e) / M(arco) Didio <H=M>ellanici f(ilio) Heliodoro / Pompeiop[o]li ex Cilic(ia) et Didiae / Tryp(h)ene ux(ori) ei(us) Nicen(si) ex Bithyn(ia) / descript(um) et recognit(um) ex tabula aer(ea) / quae fixa est Rom(ae) in muro pos(t) / templ(um) divi Aug(usti) ad Minervam	aes							http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0001876		
EDCS-12100878	RMD-02, 00100 = AE 1981, 00845	Asia	?	148 to 148	Augusti/Augustae;  diplomata militaria;  milites;  nomen singulare;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caes(ar) divi Hadriani f(ilius) divi Traian(i) / Parthic(i) nep(os) divi Nervae pronep(os) T(itus) Ae/lius [Ha]drianus Antoninus Aug(ustus) Pius / pont(ifex) max(imus) trib(unicia) pot(estate) XI imp(erator) II co(n)s(ul) IIII p(ater) p(atriae) / peditibus qui militaverunt in coh(orte) / I Raetorum quae est in Asia sub Fla/vio Tertullo praefecto Flavio Iuli/ano quinis et vicenis pluribusve / stipendi[is em]eritis dimissis ho/nesta miss[ione] quorum nomina / subscripta sunt civitatem Roma/nam qui eorum non haberent / dedit et conubium cum uxoribus / quas tunc habuissent cum est / civitas i(i)s data aut cum i(i)s quas pos/tea duxissent dumtaxat sin/gulis / M(arco) Antonio Zenone / C(aio) Fabio Agrippino co(n)s(ulibus) / Luali Mamae f(ilio) Isaur(o) / descript(um) et recognit(um) ex tabul(a) ae/rea quae fixa est Romae in muro / post templ(um) divi Aug(usti) ad Minerva(m) // Imp(erator) Caes(ar) divi Hadriani f(ilius) divi Tra/iani Parth(ici) n(epos) divi Nervae pron(epos) T(itus) Ae/lius Hadrianus Antoninus Aug(ustus) / Pius p(ontifex) m(aximus) tr(ibunicia) pot(estate) XI imp(erator) II co(n)s(ul) IIII p(ater) p(atriae) / pedit(ibus) q(ui) m(ilitaverunt) in coh(orte) I Raet(orum) q(uae) e(st) in Asia / sub Flavio Tertullo praef(ecto) Flavio Iulia/no XXV pl(uribus)ve st(ipendiis) em(eritis) dim(issis) hon(esta) mis(sione) quor(um) / nom(ina) subscr(ipta) sunt civ(itatem) Rom(anam) qui eor(um) / non hab(erent) ded(it) et con(ubium) cum ux(oribus) quas / tunc hab(uissent) cum est civ(itas) i(i)s dat(a) aut cum i(i)s / quas post(ea) dux(issent) d(umtaxa)t sing(ulis)	aes						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AP_RMD-02_00100.jpg;$AP_RMD-02_00100_1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD005669		
EDCS-28501052	CIL 03, 07170 = RRMAM-02-01, 00968 = RRMAM-03-05, 00062	Asia	Abia	313 to 324	Augusti/Augustae;  miliaria;  viri	 / ]IA / [Flavius Valerius Cons]tantinus / P(ius) F(elix) Invict[u]s Aug(ustus) [e]t Val(erius) / Licin{n}ianus Licin{n}ius P(ius) F(elix) Inv/ictus // 	lapis					GR, GR				
EDCS-67200858	AE 2002, 01381	Asia	Abrusustu / Proconnesus									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043673		
EDCS-33400651	IDRE-02, 00384 = AE 1981, 00777	Asia	Adakoy / Ada Koy						40.018963	28.216793		GR				
EDCS-12500325	TAM-05-01, 00607 = Chiron-1977-365	Asia	Adala / Satala			[Sacra]e l[itterae] / [videris no]vis sen[atus consul]/[tum ignora]re qui si [cum peritis] / [contuler]is scies s[enatori p(opuli) R(omani)] / [necesse no]n esse [invito hospi]/[tem suscipere]			38.5775878	28.2682686						
EDCS-77500156	AE 1903, 00196	Asia	Adigume		tria nomina;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1903-45;1ae1903-46		
EDCS-03700730	AE 1993, 01451	Asia	Adramyttion		Augusti/Augustae;  tituli honorarii;  viri	[3]si pecunia conla[ta 3] / [3]S Caesaris A[ugusti] / [3]eranus [3] / [3] et familia [3] / [3] curam agente Pap[3] / [3]anae [3]			39.497778	26.937500				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052966		
EDCS-05300115	IK-51, 00019a	Asia	Adramyttion		officium/professio;  viri	]si / [3]s / [6] / [3] curam agente Pap[3] / [3]anae // ] pecunia conla[ta 3] / [3] Caesaris A[ugusti 3] / [3]eranus [3] / [3] et famili[a [3] curam agente Pap[			39.497778	26.937500						
EDCS-26900117	CIL 03, 00357 = CIL 03, 07020	Asia	Afyonkarahisar / Afyon / Afium Karahisar / Synnada			Tra(iano) IIII co(n)s(ule) CXLIX / CHRRAA			38.7568509	30.5386944						
EDCS-26900118	CIL 03, 00358 = CIL 03, 07014	Asia	Afyonkarahisar / Afyon / Afium Karahisar / Synnada			CXLVI / Veter(e) co(n)s(ule) |(mille)CXC			38.7568509	30.5386944						
