EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-67200808	AE 2002, 01251 = AE 2004, 01288	Barbaricum	?	222 to 235			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD042108		
EDCS-39500104	CIGP 00142	Barbaricum	?	201 to 300	tituli possessionis;  viri		argentum					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295952;HD035978		
EDCS-39500105	CIGP 00143 = SEG-29, 01062	Barbaricum	?	201 to 300	tituli sacri		aurum					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295953;HD035982		
EDCS-39500106	CIGP 00144	Barbaricum	?	101 to 300		Klaudiaes / Hermionaes // 	aes					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295954;HD035990		
EDCS-39500107	CIGP 00145 = SEG-29, 01035 = SEG-34, 01042	Barbaricum	?	101 to 300			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295955;HD035989		
EDCS-39500108	CIGP 00146 = SEG-29, 01036	Barbaricum	?	201 to 300			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295956;HD035992		
EDCS-39500109	CIGP 00147 = SEG-29, 01037	Barbaricum	?	101 to 200								GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295957;HD035993		
EDCS-39500110	CIGP 00148	Barbaricum	?	101 to 300			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295958;HD035995		
EDCS-39500111	CIGP 00149 = SEG-29, 01061	Barbaricum	?	101 to 300			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295959;HD035997		
EDCS-39500112	CIGP 00150	Barbaricum	?	301 to 500	tituli possessionis		plumbum					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295960;HD035998		
EDCS-39500113	CIGP 00151	Barbaricum	?	301 to 500	tituli possessionis;  viri		plumbum					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295961;HD035999		
EDCS-39500114	CIGP 00152	Barbaricum	?	201 to 400			aes					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295962;HD036000		
EDCS-39500115	CIGP 00154 = SEG-29, 01038	Barbaricum	?				lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295964;HD036007		
EDCS-39500116	CIGP 00155	Barbaricum	?				lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295965;HD036008		
EDCS-39500117	CIGP 00156	Barbaricum	?	201 to 300			aes					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295966;HD036009		
EDCS-39500118	CIGP 00157	Barbaricum	?	101 to 200			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295967;HD036010		
EDCS-39500119	CIGP 00158	Barbaricum	?	-163 to -151			aes					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295968;HD036011		
EDCS-39500120	CIGP 00159 = SEG-48, 01314	Barbaricum	?	201 to 400	tituli possessionis;  tituli sacri		vitrum					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295969;HD036012		
EDCS-39500121	CIGP 00160	Barbaricum	?	1 to 200			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295970;HD036013		
