EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-62600130	CIL 13, 10006,018k	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	Brariatus	opus figlinae		50.7588019	5.7619737						
EDCS-62600129	CIL 13, 10006,031b	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	Egritunius f(ecit)	opus figlinae		50.7588019	5.7619737						
EDCS-62600128	CIL 13, 10006,057	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	Mes[3]	opus figlinae		50.7588019	5.7619737						
EDCS-62600127	CIL 13, 10006,101c	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	Vat(e)r[aun(us)] / [Vate]raunus	opus figlinae		50.7588019	5.7619737						
EDCS-69800873	CIL 13, 12705	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	CC	opus figlinae		50.7588019	5.7619737						
EDCS-69800872	CIL 13, 12708,3c	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	CTEC	opus figlinae		50.7588019	5.7619737						
EDCS-69800871	CIL 13, 12715	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	CFC	opus figlinae		50.7588019	5.7619737						
EDCS-69800870	CIL 13, 12834,3b	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	I S F P / Ati() f(ecit?)	opus figlinae		50.7588019	5.7619737						
EDCS-69800869	CIL 13, 12834,4b	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	I S F P / Sen() f(ecit?)	opus figlinae		50.7588019	5.7619737						
EDCS-69800868	CIL 13, 12901,1c	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	M H F	opus figlinae		50.7588019	5.7619737						
EDCS-69800867	CIL 13, 12901,3c	Belgica	's-Gravenvoeren / Fouron-le-Comte		sigilla impressa;  tituli fabricationis	M H F	opus figlinae		50.7588019	5.7619737						
EDCS-51400086	AE 2008, 00924	Belgica	?		sigilla impressa;  tituli fabricationis	[Ute]re felix	opus figlinae									
EDCS-78300103	AE 2017, 00985	Belgica	?			] virtu[3] / [3]OM[	lapis									
EDCS-10601232	CIL 13, 04263 = IAL 00085	Belgica	?		tituli sepulcrales	D(is) M(anibus) / Arto defu(n)c(to) / Lucceius pater / f(aciendum) c(uravit)										
EDCS-10601233	CIL 13, 04264 = IAL 00086	Belgica	?		tituli sepulcrales	D(is) M(anibus) / Attiani / Memmioli								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0021175		
EDCS-10601234	CIL 13, 04267 = IAL 00084	Belgica	?		mulieres;  viri	s]alva(?) mente memor a[moris(?)] / Fulvius Potentinus / sibi viv(u)s et Lucaniae / Ianuariae coniug(i) / defunctae f(ecit)										
EDCS-10601235	CIL 13, 04268 = IAL 00092	Belgica	?		tituli sepulcrales	D(is) M(anibus) Iurcinius D/RINDO(?) et Calen(?) Agatillus uxo/r f(aciendum) c(uravit)										
EDCS-10601236	CIL 13, 04269 = IAL 00014 = Wilhelm 00472	Belgica	?		mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Lallio Attici/no defuncto fr/atri pientissimo et / Popae matri Popill/ianus matri et fratri / fecit	lapis									
EDCS-10601237	CIL 13, 04270 (4, p 49) = IAL 00094	Belgica	?		tituli sepulcrales	D(is) M(anibus) / Litugenio S/ecundino avo / vivo et Nocturna(e) / avia(e) def(unctae) et Anav/oni avia def(uncta) et A[										
EDCS-10601238	CIL 13, 04271 = IAL 00043 = Wilhelm 00506	Belgica	?			] / MAC[3] / Sec[3] / et SE[										
EDCS-10601239	CIL 13, 04272 (2, p 31*) = IAL 00095	Belgica	?		mulieres;  viri	Maternius Mari/nus sibi et Censor/iniae Faustinae co/niugi defunctae										
EDCS-10601240	CIL 13, 04273 = IAL 00096	Belgica	?		mulieres;  viri	] Melanasia CTO(?)[3] / [3]OTTEVTO et Caud[3] / [3]oni Aurusi coniu[gi(?) 3] / [3]eius Attioius [								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0021176		
EDCS-10601241	CIL 13, 04274 = Finke 00086 = IAL 00097 = Wilhelm 00470	Belgica	?		mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / M(arco) Memmio / Commento / et Primiae Ur/banae fili(i) f(ecerunt)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_04274.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0066420;CO0115370		
EDCS-10601242	CIL 13, 04275 = IAL 00099	Belgica	?		tituli sepulcrales	D(is) M(anibus) N[3]/o pat[ri 3]/creti C[3] / defun[cto 3]/ll(a)e mat[ri 3] / DANV[3]/I testam[ento(?)										
