EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-05000530	AE 1991, 01130	Britannia	?		sigilla impressa;  tituli fabricationis	Imp(eratoris) Caes(aris)	aes							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055237		
EDCS-28500408	AE 2002, 00896	Britannia	?		tituli sacri	Deo / Invicto / coh(ors) I / Batavor(um) / fecit Aulo / Maximo								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD046047		
EDCS-37601026	AE 2005, 00951	Britannia	?	122 to 300		|(centuria) Cud/iana	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD054476		
EDCS-36400062	AE 2005, 00954	Britannia	?	102 to 102	diplomata militaria;  tituli sacri	[Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Aug(ustus) Germanicus pontifex maximus tribunic(ia) potestat(e) VI imp(erator) IIII p(ater) p(atriae) co(n)s(ul) IIII designatus V equitibus et peditibus qui militant in alis tribus et cohortibus quinque quae appellantur I Ar(a)vacorum et I Flavia Britanniciana miliaria c(ivium) R(omanorum) et] Silian[a c(ivium) R(omanorum) et I Augusta Ituraeorum et I Alpino]rum et [I Montanorum et II Alpinorum et V]III Ra[etorum et] sunt [in Pannonia sub Q(uinto) Gli]tio Atilio Agricola [qui quina et vicena plur]ave stipendia me[ruerunt item dimissis ho]nesta missione [quorum nomina subscr]ipta sunt ipsis l[iberis posterisque eorum civita]em dedit e[t conubium cum uxoribus quas tunc habuissent cum est civitas iis data	aes							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056043		
EDCS-59500293	AE 2010, 00825	Britannia	?		tituli possessionis;  tituli sacri	To(u)t(ati)	argentum							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD069266		
EDCS-73800016	BritRom-11, 00026	Britannia	?		viri							GR				
EDCS-07900879	CIL 07, 00502a = RIB-01, 02069	Britannia	?	122 to 300	tituli sacri	Huiti/ribus / votum	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=SCH0001312;SCH0001313	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0088984;cil07_p109;R2069;HD071211		
EDCS-07900893	CIL 07, 00502e = RIB-01, 02083	Britannia	?	125 to 128		Coh(ortis) VIII / |(centuria) Val(eri) Veri	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=SCH0001317	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0087824;cil07_p110;R2083;HD071224		
EDCS-07900894	CIL 07, 00502f = RIB-01, 02084	Britannia	?	125 to 128		Coh(ortis) X / |(centuria) Vesuvi / Rufi	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=SCH0001318	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0087826;cil07_p110;R2084;HD071225		
EDCS-07900890	CIL 07, 00502i = RIB-01, 02080	Britannia	?	122 to 138		|(Centuria) p(rimi) p(ili)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=SCH0001321	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0088988;cil07_p110;R2080;HD071221		
