EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-11400585	CIL 10, 00501 = CIL 10, 00502 = CIL 01, 01695,1 (p 1023) = ImagIt-01, p 77	Bruttium et Lucania / Regio III	?		praenomen et nomen;  tituli possessionis;  viri	Ov(ius) Caisidis Ov(i?) // Tr(ebius) Platorius Tr(ebi?)	aes						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ImagIt_01_p77_1.jpg;$ImagIt_01_p77_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p57		
EDCS-11400587	CIL 10, 00503 = CIL 01, 01695,2 (p 1023)	Bruttium et Lucania / Regio III	?		tituli sepulcrales	L(ucius) Villius v(ivus) f(ecit)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p57		
EDCS-11400588	CIL 10, 00504 = DefTab 00211 = Kropp-01-06-01-01	Bruttium et Lucania / Regio III	?		defixiones	M(arcus) Afarius Ampliatus								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p57		
EDCS-11400589	CIL 10, 00505	Bruttium et Lucania / Regio III	?		liberti/libertae;  mulieres;  tituli sepulcrales	[D(is)] M(anibus) / [3]turninae / [3]iiusti Ser/amimy[3] / Speritsynetia / l(ibertae?) dulcissimae / et sibi / p(osuit)	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p57		
EDCS-11400590	CIL 10, 00506	Bruttium et Lucania / Regio III	?		viri	Crescitit / Atpuleiiusb(!) / XVIII								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p57		
EDCS-11400591	CIL 10, 00507	Bruttium et Lucania / Regio III	?		mulieres;  nomen singulare;  tituli sepulcrales;  viri	D(is) M(anibus) / Successus / Salbio / patri b(ene) m(erenti) p(osuit) / Potiolana ma/ter scelerata / filio Salbio	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p57;CO0030476		
EDCS-64800096	IGASMG-04, 00085	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195462		
EDCS-64800097	IGASMG-04, 00086	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195463		
EDCS-64800098	IGASMG-04, 00087	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195464		
EDCS-64800099	IGASMG-04, 00088	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195465		
EDCS-64800100	IGASMG-04, 00089	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195466		
EDCS-64800101	IGASMG-04, 00090	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195467		
EDCS-64800102	IGASMG-04, 00091-00093	Bruttium et Lucania / Regio III	?									GR				
EDCS-64900707	IGASMG-05, 00059	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195536		
EDCS-64900708	IGASMG-05, 00060	Bruttium et Lucania / Regio III	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P195537		
EDCS-11400268	CIL 10, 00182	Bruttium et Lucania / Regio III	Abriola		mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Calpurnius Ur/sio Calpurni/ae Rufinae ma/tri / bene merenti / fecit v(ixit) a(nnos) XLI / m(enses) VI	lapis		40.5078822	15.8137603				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p26		
EDCS-11400279	CIL 10, 00193	Bruttium et Lucania / Regio III	Abriola		mulieres;  nomen singulare;  tituli sepulcrales;  viri	Filio Pro/bincio bene / merenti qui / <v=B>ixit an(nos) XXXV / Bigilia fecit quo[d] / debuit filius	lapis		40.5078822	15.8137603				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p26		
EDCS-60600011	NSA-1926-332	Bruttium et Lucania / Regio III	Altomonte	1 to 100	liberti/libertae;  mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	L(ucio) Marcio / L(uci) l(iberto) / Hilarioni / Zosima colliberta / fecit et sibi	lapis		39.6978818	16.1271277				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N172530		
EDCS-39100066	IG-14, 00655 = IGASMG-04, 00022	Bruttium et Lucania / Regio III	Anzi / Anxia						40.516615	15.924571		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P140984;P195396		
EDCS-34300267	EE-08-01, 00257	Bruttium et Lucania / Regio III	Arena / Ager Teuranus	201 to 300	mulieres;  nomen singulare;  tituli sepulcrales;  viri	D(is) M(anibus) s(acrum) / Iucunda / vix(it) an(nis) II m(ensibus) III / di(e)bus XI pater / <f=E>ili(a)e dulcissm(a)e	lapis		38.562779	16.209900			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N170185		
EDCS-11400375	CIL 01, 00642a (p 725, 739, 834, 923, 924) = InscrIt-03-01, 00278 = ILLRP 00471 (p 332)	Bruttium et Lucania / Regio III	Atena Lucana / Atina	-131 to -131	ordo senatorius;  praenomen et nomen;  termini;  viri	D(ecumanus) // [C(aius) Semp]ro[nius] Ti(beri) [f(ilius)] / Ap(pius) Claudi[us] C(ai) f(ilius) / P(ublius) Licinius P(ubli) f(ilius) / IIIvir(i) a(gris) i(udicandis) a(dsignandis) / k(ardo) V	lapis		40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N130159;cil10_p34;CO0005677		
EDCS-25700538	CIL 10, *00065 = InscrIt-03-01, *00017	Bruttium et Lucania / Regio III	Atena Lucana / Atina		milites;  tituli sepulcrales;  tria nomina;  viri	C(aio) Nummuleio C(ai) f(ilio) Ter(etina) / Potho veterano / leg(ionis) Primae Miner/vae p(iae) f(idelis) vixit ann(os) / XCV m(enses) VII d(ies) IIX / L(ucius) Nummuleius L(uci) f(ilius) / Terent(ius) / Merellus / Atinat() patronus / posuit ex test(amento) / l() d() d() d() h()			40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_fva_p3		
EDCS-25700537	CIL 10, *00067 = CIL 10, *00068 = InscrIt-03-01, *00019	Bruttium et Lucania / Regio III	Atena Lucana / Atina			Lucius X l() miles R(omanus) / P() honorib(us) Gen() / mun() sub / amphit(h)ea(trum) [3] / R() F() P() P()			40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_fva_p3		
EDCS-11400415	CIL 10, 00330 = InscrIt-03-01, 00126 = Questori 00203	Bruttium et Lucania / Regio III	Atena Lucana / Atina	101 to 200	ordo decurionum;  tituli operum;  tituli sacri;  tria nomina;  viri	Aesculapio / aram ex vot(o) / P(ublius) Latin(ius) Lucanus / q(uaestor) alim(entorum) aed(ilis) IIIIvir / i(ure) d(icundo) v(otum) l(ibens) s(olvit)	lapis		40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N125025;cil10_p37;CO0007503		
EDCS-11400416	CIL 10, 00331 = InscrIt-03-01, 00124 = D 03595	Bruttium et Lucania / Regio III	Atena Lucana / Atina	1 to 100	seviri Augustales;  tituli sacri;  tria nomina;  viri	Iovi et / dis Penatibus / P(ubli) Nanoni Dio/phanti Augusta/les Atinates	lapis		40.455111	15.557264			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_10_00331.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N161612;cil10_p37;de-b0076		
EDCS-11400417	CIL 10, 00332 = InscrIt-03-01, 00125	Bruttium et Lucania / Regio III	Atena Lucana / Atina		nomen singulare;  tituli sacri;  viri	Caru[s] / Lar(ibus) sac(rum) / d(at) l(ibens) m(erito)	lapis		40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p37		
EDCS-11400418	CIL 10, 00333 = InscrIt-03-01, 00127 = D 05418 = CCCA-04, 00125	Bruttium et Lucania / Regio III	Atena Lucana / Atina	151 to 200	ordo decurionum;  sacerdotes pagani;  seviri Augustales;  tituli operum;  tituli sacri;  tria nomina;  viri	A(ulus) Antonius Horus / aedem Matri Magnae / et porticum qui(!) est ante / aedem et cellam sacerd(otis) / a{b} solo pec(unia) sua fec(it) / d(onum) d(edit) / cuius dedicatione / decurionibus et Augustalib(us) / et populo crust(u)lum et mulsum ded(it)	lapis		40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N125036;cil10_p37;CO0046370;de-b0363		
EDCS-11400419	CIL 10, 00334 = InscrIt-03-01, 00128 = AE 1986, 00123 = AE 2009, +00210	Bruttium et Lucania / Regio III	Atena Lucana / Atina	211 to 235	Augusti/Augustae;  tituli honorarii;  tituli sacri	Divo Pi/o Severo / [A]ug(usto) publice / d(ecreto) d(ecurionum)	lapis		40.455111	15.557264			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_10_00334.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N080034;cil10_p37;HD006592		
EDCS-11400420	CIL 10, 00335 = InscrIt-03-01, 00131	Bruttium et Lucania / Regio III	Atena Lucana / Atina	256 to 258	Augusti/Augustae;  tituli honorarii;  viri	P(ublio) Licinio / Valeria/no nobili/ssimo Caes(ari) / d(ecreto) d(ecurionum)			40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N125364;cil10_p37		
EDCS-11400421	CIL 10, 00336 = InscrIt-03-01, 00176 = Engfer-2017, 00176	Bruttium et Lucania / Regio III	Atena Lucana / Atina	68 to 89	milites;  ordo senatorius;  tituli operum;  viri	leg(ato) leg(ionis)] I Adiutricis quaes[t(ori) tri]buno mili[t(um)] / legionis X Geminae in omnibus / honoribus candidato Caesarum / testamento fieri cavit ex HS X(milibus?)	lapis	"Datierung gemäss InscrIt-03-01, 00176: Positus inter a. 68, quo legio prima Adiutrix, ut videtur, a Nerone constituta est, et a. 89, quo legio decima Gemina ""Piae fidelis"" appositum accepit."	40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p37;N178866		
EDCS-11400422	CIL 10, 00337 = CIL 12, *00261c = InscrIt-03-01, 00153	Bruttium et Lucania / Regio III	Atena Lucana / Atina	-20 to 30	milites;  mulieres;  ordo decurionum;  ordo equester;  tituli honorarii;  tria nomina;  viri	Q(uintus) Statius Q(uinti) f(ilius) Pom(ptina) [Gallus] / tr(ibunus) mil(itum) bis IIvir te[r] / Melenceia Sex(ti) f(ilia) Po[silla] / Q(uintus) Statius Q(uinti) f(ilius) Pom(ptina) G[allus fil(ius)] / praef(ectus) fabrum IIv[ir]	lapis		40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p37;CO0007500;N125391		
EDCS-11400423	CIL 10, 00338 = InscrIt-03-01, 00133	Bruttium et Lucania / Regio III	Atena Lucana / Atina	151 to 230	ordo decurionum;  ordo equester;  seviri Augustales;  tituli honorarii;  tria nomina;  viri	A(ulo) Antonio A(uli) fil(io) Pom(ptina) / Pelagiano IIIIviro q(uin)[q(uennali)] / equiti Rom(ano) rariss[i]/mo innocentissim[o]/que cur(atori) r(ei) p(ublicae) et patr[o]/no decurione[s] / Augustales / et plebs / Petelinorum / l(ocus) d(atus) d(ecreto) d(ecurionum)	lapis		40.455111	15.557264			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_10_00338.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N125009;cil10_p38;CO0007504		
EDCS-11400424	CIL 10, 00339 = InscrIt-03-01, 00137	Bruttium et Lucania / Regio III	Atena Lucana / Atina	151 to 250	mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / A(ulo) Antonio / Pelagiano / patri incom/parabili Anto/nii Pelagianus / et Pelagiane(!) fec(erunt)	lapis		40.455111	15.557264			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_10_00339.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N125388;cil10_p38		
EDCS-11400425	CIL 10, 00340 = InscrIt-03-01, 00163	Bruttium et Lucania / Regio III	Atena Lucana / Atina	151 to 250	sacerdotes pagani;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / M(arco) Antonio / Rufo / collegius / Mercuria/lium	lapis		40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N125392;cil10_p38		
EDCS-11400426	CIL 10, 00341 = InscrIt-03-01, 00141 = Epigraphica-2018-97	Bruttium et Lucania / Regio III	Atena Lucana / Atina	171 to 250	officium/professio;  tituli sepulcrales;  tria nomina;  viri	T(itus) Hel(vius) Sabinia/nus n[eg(otians) p]ertic[a]r(ius?) / et curator [3] / ipse sibi fecit	lapis		40.455111	15.557264				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p38;N173465		
