EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-77900018	AE 1909, 00019	Cappadocia	?		tria nomina;  viri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1909-04		
EDCS-09400681	AE 1975, 00820	Cappadocia	Adatepe / Pingan / Zimara		litterae erasae;  ordo senatorius;  tituli honorarii;  tria nomina;  viri	Fabium [3 et L(ucium) Ca]/[[tilium Se[verum 3]]] / leg(atum) Aug(usti) p[ro pr(aetore) 3] / Volusi[o 3] / [3 curam agente]			39.4026334	38.3827503				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD011940		
EDCS-60300370	RRMAM-02-01, 00717 = RRMAM-03-03, 00116c	Cappadocia	Afsin / Tripotamos / Arabissus		miliaria	?	lapis		38.2438548	36.9152873						
EDCS-59900076	RRMAM-02-01, 00933 = RRMAM-03-03, 00006	Cappadocia	Agvanis / Golova	367 to 375	Augusti/Augustae;  miliaria;  viri	DDD(ominis) nnn(ostris) / Valentinia/no et Valen/te et Gratiano / perpetuis / Augustis	lapis		40.027320	38.589259						
EDCS-60300400	RRMAM-02-01, 00969 = RRMAM-03-03, 00134	Cappadocia	Akbenli / Akbenliciftligi		miliaria	?	lapis		39.357288	35.329014						
EDCS-31800355	CIL 03, 14184,21 = RRMAM-02-01, 00936 = RRMAM-03-03, 00012	Cappadocia	Akca / Fidi / Pidis	293 to 337	Augusti/Augustae;  miliaria;  ordo equester;  tituli sacri;  tria nomina;  viri	]M nnnn(o)bbbb(ilissimis) Caessss(aribu)s // ] / mil(ia) p(assum) XXX //  // Aur(elius) Priscianus v(ir) p(erfectissimus) praes(es) / pr(ovinciae) P(onti) d(evotus) n(umini) m(aiestati)q(ue) eorum	lapis		40.705822	36.452045		GR				
EDCS-79300103	AE 1941, 00164 = SEG-27, 00948a	Cappadocia	Aksaray / Archelais	501 to 600	mulieres;  sacerdotes christiani;  tituli sepulcrales		lapis		38.3705416	34.026907		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P287331;1ae1941-53;1ae1941-54		
EDCS-09300555	AE 1976, 00675	Cappadocia	Aksaray / Archelais		Augusti/Augustae;  ordo decurionum;  ordo senatorius;  sacerdotes pagani;  tituli operum;  tria nomina;  viri	Imp(eratori) Caesari Traiano / Hadriano Aug(usto) / pontif(ici) max(imo) trib(unicia) pot(estate) XIII / imp(eratori) III co(n)s(uli) III p(atri) p(atriae) / per Rosianum Geminum leg(atum) Aug(usti) pr(o) pr(aetore) / refecta fana ex pecunia sacerd(otum) / per Lutatium Iulianum et Scalpo/nium Iulianum IIviros / quaestore Caesio Iuliano			38.3705416	34.026907				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012666		
EDCS-28400819	CIL 03, 06774	Cappadocia	Aksaray / Archelais			] prov[inciae(?)			38.3705416	34.026907						
EDCS-32001294	CIL 03, 14186 = CIL 03, 14187 = RRMAM-01, 00056 = RRMAM-02-01, 00860 = RRMAM-03-03, 00160	Cappadocia	Aksaray / Archelais	293 to 324	Augusti/Augustae;  litterae erasae;  miliaria;  viri	Impp(e)rr(atori)bb(us) / Caess(ari)bb(us) / Caio A[ur(elio) Val(erio)] / Diocletia[no] / et Marc(o) A[u]r(elio) G[al(erio)] / Maximiano / [P(iis)] F(elicibus) Invic(tis) Aug(ustis) / et Imp(eratori) / Caes(ari) Fla(vio) / Constantio / et Caio A[ur(elio) Val(erio)] / Maxim[iano] / P(io) F(elici) Invic(to) / Caes(ari) / a Co(manis) mil(ia) X // DD(ominis) nn(ostris) / Constantino / [[[et Licinio]]] / Augg(ustis) / et Crispo et / [[[Licini]o e[t]]] / Constantino / nobb(ilissimis) Caess(aribus)	lapis		38.3705416	34.026907				http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0044039;ko0044037		
