EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-12100904	RMD-02, 00131 = AE 1979, 00626 = AE 2000, +00078	Cilicia	?	214 to 214	Augusti/Augustae;  diplomata militaria;  milites;  mulieres;  ordo equester;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caes(ar) divi Septimi Severi Pii Arab(ici) Adiab(enici) Parth(ici) / max(imi) Brit(annici) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) / divi Antonini Pii pronep(os) divi Hadriani abnep(os) divi / Traiani Parthic(i) et divi Nervae adnep(os) / M(arcus) Aurellius Antoninus Pius Felix Aug(ustus) Parthic(us) / max(imus) Brit(annicus) maxim(us) Germ(anicus) max(imus) pont(ifex) maxim(us) / trib(unicia) pot(estate) XVII imp(erator) III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) / iis qui militaverunt in classe praetoria Antoninian(a) / Misenensi quae est sub Claudio Dionysio / praef(ecto) octonis et vicenis stipendi(i)s emeritis di/missis honesta missione quorum nomina sub/scripta sunt ipsis filiisque eorum quos susce/perint ex mulieribus quas secum concessa consue/tudine vixisse probaverint civitatem Romanam / dedit et conubium cum iisdem quas tunc secum / habuissent cum est civitas iis data aut / si qui tunc non habuissent cum iis quas / postea uxores duxissent dumtaxat / singulis singulas a(nte) d(iem) V Kal(endas) Dec(embres) / L(ucio) Valerio Messala C(aio) Suetrio Sabino co(n)s(ulibus) / ex principale / M(arco) Herennio Pappaionis fil(io) Pasicrat(a)e n(atione) / Isaurus vico Calloso et Herenniae Nesto/ris fil(iae) Immae uxor(i) eius civit(ate) Isaur(a) vico s(upra) s(cripto) / descript(um) et recognit(um) ex tabula aerea quae fixa / est Rom(a)e in muro pos(t) templ(um) divi Aug(usti) ad Minerva(m) // Imp(erator) Caes(ar) divi Septimi Severi Pii Arab(ici) Adiab(enici) Parth(ici) / max(imi) Brit(annici) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) / divi Antonini Pii pronep(os) divi Hadriani abnep(os) divi / Traiani Parthic(i) et divi Nervae adnep(os) / M(arcus) Aurellius Antoninus Pius Felix Aug(ustus) Parthic(us) / max(imus) Brit(annicus) maxim(us) Germ(anicus) max(imus) pont(ifex) maxim(us) / trib(unicia) pot(estate) XVII imp(erator) III co(n)s(ul) IIII p(ater) p(atriae) proco(n)s(ul) / iis qui militaverunt in classe praetoria Antoninian(a) / Misenensi quae est sub Claudio Dionysio / praef(ecto) octonis et vicenis stipendi(i)s emeritis di/missis honesta missione quorum nomina sub/scripta sunt ipsis filiisque eorum quos susce/perint ex mulieribus quas secum concessa consue/tudine vixisse probaverint civitatem Romanam / dedit et conubium cum iisdem quas tunc secum / habuissent cum est civitas iis data aut / si qui tunc non habuissent cum iis quas / postea uxores dexissent(!) dumtaxat / singulis singulas [	aes							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008515		
EDCS-70200253	RRMAM-03-07, 00043 = AE 2015, 01648	Cilicia	?	a:  218 to 221;   b:  293 to 305	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli sacri;  tria nomina;  viri	[I]mp(eratori) Caes(ari) / [d]ivi Severi / nep(oti) divi M(arci) A[ur(eli)] / [A]ntonini fil(io) / M(arco) Aur(elio) Anto/nino Pio Fe[l]/ici Aug(usto) mili[a] / restituta / [p]er M(arcum) Ulp(ium) O[fel]/[l]ium Theod[o]/[r]um leg(atum) Aug(usti) / pr(o) pr(aetore) / m(ilia) //  // ] / Maxi[miano	lapis					GR				
EDCS-70200304	RRMAM-03-07, 00044 = AE 2015, 01655	Cilicia	?	293 to 305	Augusti/Augustae;  miliaria;  viri		lapis					GR				
EDCS-44500171	RWI-inc-20	Cilicia	?	1 to 300	tituli sepulcrales;  viri	] / Avito [3] / filio T[3] / suos f[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD060021		
EDCS-77400190	AE 1898, 00053	Cilicia	Adana				lapis		36.9936175	35.3258349		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1898-15		
EDCS-21000726	AE 2000, 01863	Cilicia	Adana		milites;  sigilla impressa;  tituli possessionis;  tria nomina;  viri	Silv(i) Ros()	opus figlinae		36.9936175	35.3258349				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048250		
EDCS-71300283	AE 2014, 01366	Cilicia	Adana		signacula;  tituli fabricationis;  tituli possessionis;  tria nomina;  viri	C(ai) Voc(ci?) Forti(s)	aes		36.9936175	35.3258349						
EDCS-22300475	CIL 03, 00220	Cilicia	Adana	71 to 300	mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) s(acrum) / Corn(eli) Bass[i] / Cornelia Mar[ci]/ana fec[it]			36.9936175	35.3258349				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD059912		
EDCS-12500263	ICilicie 00047 = Denkm 00688d = IK-56, 00068 = AE 1990, 00990 = AE 1991, 01555 = AE 2006, +01553	Cilicia	Adana	197 to 218	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Claventio Si/lvano veteran(o) / ex numero e{x}/quitum Bata/vo<r=N>um nati/one Pannonius / domo Sirmi vix(it) / an(nos) L Aurel(ius) Pris/cianus et Iul(ius) Alexan/der h(eredes) m(emoriae) c(ausa)			36.9936175	35.3258349			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0007168;HD025065		
EDCS-16201159	RRMAM-01, 00064 = RRMAM-02-01, 00064 = RRMAM-03-07, 00041 = AE 1922, 00129	Cilicia	Adana	230 to 231	Augusti/Augustae;  litterae erasae;  miliaria;  tituli operum;  viri	Imp(erator) Caes(ar) M(arcus) / Aur(elius) Severus / [[Alexander]] / Pius Felix Invi/ctus Aug(ustus) ponti(fex) / max(imus) tribuni(cia) / pot(estate) X imp(erator) X / co(n)s(ul) III p(ater) p(atriae) pro/co(n)s(ul) viam pu/blicam et pon/tes restituit / m(ilia) p(assuum) XXX // 	lapis		36.9936175	35.3258349		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD025468;1ae1922-39;1ae1922-40		
EDCS-12800719	RWI-Ada-11 = AE 1963, 00011 = AE 2005, +01535 = AE 2005, +01548	Cilicia	Adana	77 to 77	Augusti/Augustae;  ordo senatorius;  tituli honorarii;  tria nomina;  viri	[I]mperatorib[us Vespasiano Caesari p(atri) p(atriae)] / [A]ug(usto) VIII et Tit[o Vespasiano Caesari Aug(usto) V]I co(n)s(ulibus) / [c]ensoribus et [Domitiano Caesari dedicavit] / [L(ucius)] Octavius M[emor leg(atus) Aug(usti) pr(o) pr(aetore) co(n)s(ul) des(ignatus)]			36.9936175	35.3258349				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0000332;HD017047		
EDCS-78300571	AE 1915, 00051 = SEG-20, 00090	Cilicia	Adanda / Lamos	260 to 268	Augusti/Augustae;  tituli honorarii;  tria nomina;  viri		lapis		36.2166667	32.450000		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P286755;1ae1915-12		
