EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-22500817	CIL 10, 08040 = CIL 05, *01008,8 = CAG-02A-02B, p 284	Corsica	?	51 to 200	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / C(aio) Baebio Marino / Baebius Martialis / et Baebia Proba / llib(eri) patri pientis(simo)			42.055411	9.022522				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p840		
EDCS-44400053	IGF 00169 = CAG-02A-02B, p 99 = SEG-41, 00889,2 = AE 1991, 00921	Corsica	Ajaccio	1 to 300					41.9263179	8.7377014		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1991_00921.jpg			
EDCS-79100208	AE 1964, 00142b	Corsica	Aleria		inscriptiones christianae;  sigilla impressa;  tituli fabricationis;  tria nomina;  viri	I() A() S() T() // [P]apiri Romani S()	opus figlinae		42.1135718	9.5144732			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1964_00142a.jpg			
EDCS-05000375	AE 1991, 00916	Corsica	Aleria		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	P(ubli) Antei Rufei	opus figlinae		42.1135718	9.5144732				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055598		
EDCS-05000377	AE 1991, 00918	Corsica	Aleria		tria nomina;  viri	M(arcus) Sex[3] / Dim[3]			42.1135718	9.5144732				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055600		
EDCS-69200248	AE 2013, 00657	Corsica	Aleria		Augusti/Augustae;  viri	]dio [3] / [3] co(n)s(ul) V[			42.1135718	9.5144732						
EDCS-69200257	AE 2013, 00667	Corsica	Aleria		ordo decurionum;  viri	] aed(ilis) [			42.1135718	9.5144732						
EDCS-69200246	CAG-02A-02B, p 166,1 = AE 2013, 00655	Corsica	Aleria		tituli operum;  tituli sacri	tem]pli Cere/[ris 3]CONIN / [			42.1135718	9.5144732						
EDCS-69200247	CAG-02A-02B, p 166,2 = AE 2013, 00656	Corsica	Aleria	-27 to 14	tituli sacri	[Deae(?)] Ro[mae(?)] / [Augu]sta[e(?) 3] / [c]olo[ni(?)] / [Aleri]n[i(?)			42.1135718	9.5144732			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2013_00656.jpg			
EDCS-09701551	CAG-02A-02B, p 166,3 = AE 1968, 00282	Corsica	Aleria	1 to 300	tituli sacri;  viri	Deo So[li victo]ri(?) salut[ariq(ue) Au]/relius [3]			42.1135718	9.5144732			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1968_00282.jpg;$AE_1968_00282_1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD014234		
EDCS-12800250	CAG-02A-02B, p 167,6 = AE 1964, 00143	Corsica	Aleria	-25 to -20	Augusti/Augustae;  tituli operum;  tituli sacri;  viri	[Imp(erator) Caes(ar) divi] Iuli f(ilius) / [Augustus imp(erator) octa]v<u=O>m			42.1135718	9.5144732			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1964_00143.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015910		
EDCS-69200249	CAG-02A-02B, p 168,11 = AE 2013, 00658	Corsica	Aleria	81 to 96	Augusti/Augustae;  litterae erasae;  tituli operum;  viri	[Imp(erator) Dom][[itia]][nus] / Cae[s(ar) Aug(ustus) Germ(anicus?)] / [			42.1135718	9.5144732			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2013_00658.jpg			
EDCS-71200617	CAG-02A-02B, p 168,9	Corsica	Aleria	41 to 54	Augusti/Augustae;  tituli honorarii;  viri	[Ti(berio) Clau]dio [Caesari Aug(usto) Germanico pont(ifici) max(imo) trib(unicia) pot(estate) imp(eratori)] / [co(n)s(uli) pro]co(n)s(uli) [			42.1135718	9.5144732			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CAG-02a_p168-9.jpg			
EDCS-13400065	CAG-02A-02B, p 169,14 = AE 1962, 00144b	Corsica	Aleria	117 to 138	Augusti/Augustae;  tituli sacri;  viri	[Imp(erator) C]a[esar] divi T[raiani] / [Parthici f(ilius) divi Nervae nepos] / [Traianus Hadrianus Augustus			42.1135718	9.5144732				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD016705		
EDCS-69200250	CAG-02A-02B, p 169,15 = AE 2013, 00659	Corsica	Aleria	117 to 138	Augusti/Augustae;  viri	co(n)]s(ul) III [3] / [3 A]ug(usti) [			42.1135718	9.5144732						
