EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-31500358	CIL 03, 13570	Creta et Cyrenaica	?		mulieres;  sigilla impressa;  tituli sepulcrales	]servae P(ubli?) f(iliae?) [3] / [3]PV[	opus figlinae									
EDCS-80200105	EDCS 01271	Creta et Cyrenaica	?		tituli possessionis	Diamia	musivum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS 01271.jpg			
EDCS-80200106	EDCS 01272	Creta et Cyrenaica	?		tituli possessionis;  tituli sacri	Soria A(c)hil(l)es	musivum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS 01272.jpg;$EDCS 01272_1.jpg			
EDCS-11400062	InscCret-02, Incert 00013	Creta et Cyrenaica	?		sigilla impressa;  tituli fabricationis	Romane(n)/sis	opus figlinae									
EDCS-11400066	InscCret-03, Incert 00009	Creta et Cyrenaica	?		sigilla impressa;  tituli fabricationis	Rom(an)e(n)s(is)	opus figlinae									
EDCS-51000142	ZPE-80-194	Creta et Cyrenaica	?			]D[3] / [3]PP M[										
EDCS-78300581	AE 1915, 00107	Creta et Cyrenaica	Ad Dirsiyah / El-Dirsiyah / Wadi Kambish / Tolmeitha / Tolometa / Tolmeta / Tulmaythah / Ptolemais		tituli sacri		lapis		32.7037979	20.9387072		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1915-31		
EDCS-78300582	AE 1915, 00108 = AE 1947, +00202	Creta et Cyrenaica	Ad Dirsiyah / El-Dirsiyah / Wadi Kambish / Tolmeitha / Tolometa / Tolmeta / Tulmaythah / Ptolemais		sacerdotes pagani;  tituli sacri;  viri		lapis		32.7037979	20.9387072		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1915-31;1ae1947-75		
EDCS-15800305	AE 1934, 00261 = AE 1939, +00305	Creta et Cyrenaica	Ad Dirsiyah / El-Dirsiyah / Wadi Kambish / Tolmeitha / Tolometa / Tolmeta / Tulmaythah / Ptolemais		Augusti/Augustae;  ordo senatorius;  tituli operum;  tria nomina;  viri	[I]mp(erator) Caesar Vespa/sianus Aug(ustus) pont(ifex) m(aximus) / tr(ibunicia) pot(estate) III imp(erator) VIII p(ater) p(atriae) / co(n)s(ul) IIII desig(natus) V per / Q(uintum) Paconium leg(atum) / suum hortum / p(opulo) R(omano) rest(ituit)	lapis		32.7037979	20.9387072				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0082952;HD027202;1ae1934-69;1ae1939-92		
EDCS-13800174	AE 1954, 00188	Creta et Cyrenaica	Ad Dirsiyah / El-Dirsiyah / Wadi Kambish / Tolmeitha / Tolometa / Tolmeta / Tulmaythah / Ptolemais	88 to 89	Augusti/Augustae;  leges;  ordo senatorius;  tituli operum;  tria nomina;  viri	Iussu Imp(eratoris) Domitiani Cae/saris Aug(usti) Germ(anici) pont(ificis) ma/ximi trib(unicia) pot(estate) VIII p(atris) p(atriae) co(n)s(ulis) [XII]II / cens(oris) perpetui C(aius) Pomponi/us Gallus Didius Rufus / proco(n)s(ul) locum posses/sum a privatis civitati / Ptolemaensium res/tituit			32.7037979	20.9387072			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1954_00188.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0050132;HD018137		
