EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-22300117	CIL 03, 00217 = AE 2008, +00023	Cyprus	?		milites;  tria nomina;  viri	Q(uintus) Firmius C(ai) f(ilius) Rom(ilia) Ates / |(centurio) leg(ionis) III Gallicae			35.051359	33.221283				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0012270		
EDCS-31200870	CIL 03, 12114	Cyprus	?		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Fausti	opus figlinae		35.051359	33.221283						
EDCS-31200871	CIL 03, 12115	Cyprus	?		sigilla impressa;  tituli fabricationis	Spe()	opus figlinae		35.051359	33.221283						
EDCS-73800031	EDCS 00752 {Manfred Clauss}	Cyprus	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) Bellici / Zmaragdi	opus figlinae	cf.: Metropolitan Museum of Art New York; Accession number: 74.51.2428	35.051359	33.221283			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$EDCS_00752.jpg;$EDCS_00752_1.jpg			
EDCS-25300397	RACyprus 00029	Cyprus	?						35.051359	33.221283		GR				
EDCS-79500085	AE 1950, 00122 = SEG-47, 01867 = AE 2006, 01563	Cyprus	Amathussa / Amathus / Amathous / Amathonte	80 to 80	Augusti/Augustae;  tituli honorarii;  tituli operum;  tituli sacri;  tria nomina;  viri		lapis		34.7152993	33.153963		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P311562;P341063;1ae1950-43		
EDCS-69200480	AE 2013, 01678	Cyprus	Amathussa / Amathus / Amathous / Amathonte	20 to 20	Augusti/Augustae;  mulieres;  tituli honorarii;  tituli sacri;  viri	[Ti(berio) C]aesare divi Aug(usti) f(ilio) Augusto div[i Iuli nep(ote) pont(ifice)] / [max(imo) c]o(n)s(ule) III tr(ibunicia) potest(ate) XXII anno VI Iulia Augus[ta divi Aug(usti) uxo]/[re ma]tre Ti(beri) Caesaris Aug(usti) et Drusi Caesaris av[ia Gaio Iulio] / [Germ]anico Caesari Ti(beri) Caesaris Aug(usti) f(ilio) divi Au[gusti nep(oti)			34.7152993	33.153963						
EDCS-69200481	AE 2013, 01679	Cyprus	Amathussa / Amathus / Amathous / Amathonte	1 to 250	ordo senatorius;  tituli sacri;  tria nomina;  viri	] / Imp(eratori?) sacrum Ama[thousiorum civitas(?)] / Abidio Gallo proq(uaestore) s[			34.7152993	33.153963						
EDCS-07600456	Louvre 00923 = AE 1986, 00692	Cyprus	Amathussa / Amathus / Amathous / Amathonte		ordo senatorius;  tituli operum;  tituli sacri;  viri	[1 Crep]ereius pro[consul 3] / [mo]numentum si[gnumq(ue) 3]/um Veneris Cypr[iae 3]/taei pecunia s[ua			34.7152993	33.153963			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$L_Louvre_00923.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008130		
EDCS-25300415	RACyprus 00018	Cyprus	Amathussa / Amathus / Amathous / Amathonte						34.7152993	33.153963		GR				
