EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-79100120	AE 1940, 00055 = SEG-25, 00835	Dacia	?		tituli fabricationis;  tituli sacri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P300982;1ae1940-21		
EDCS-69200202	BMonMus-2011-107	Dacia	?		milites;  sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Leg(io) XIII G(emina) / Aur(elius) God(es) m(agister) fi(glinarum)	opus figlinae									
EDCS-27200156	CIL 03, 00845	Dacia	?	107 to 200	milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / Sex(tus) Vale/rius Satur/ninus dec(urio) a[l(ae)] / Sil(ianae) et col(legae) / v(otum) s(olverunt) l(ibentes) m(erito)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048876		
EDCS-26600722	CIL 03, 01596 (p 1424) = IDR-03-02, 00249 = CERom-25, 01113 = AE 2004, 01211 = AE 2005, +01137	Dacia	?	237 to 237	ordo decurionum;  sacerdotes pagani;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / [F]u[lg]ur[a]tor[i] pro / salute sua et su/orum M(arcus) A[u]r(elius?) De/coratus dec(urio) / col(oniae) Aeq(ui) flam(en) / aedil(is) et M(arcus) Aur(elius) [P]hili/ppi[a]nus de[c(urio)] col(oniae) / A[e]q(ui) quaes(tor) [3] / v(otum) s(olverunt) l(ibentes) m(erito) / Perpetuo et / Corneliano / co(n)s(ulibus) VIII Idus / Iunias	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD045750		
EDCS-26600723	CIL 03, 01597 = IDR-03-05-01, 00105	Dacia	?	171 to 275	tituli sacri;  tria nomina;  viri	Iunoni / M(arcus) A[ur(elius)] Rogat[i]anus / pro salute sua / et suorum / v(otum) l(ibens) m(erito) s(olvit)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0115661;HD038150		
EDCS-26600724	CIL 03, 01598 = IDR-03-05-01, 00257 = AE 1965, 00033 = AE 1971, 00365	Dacia	?	171 to 270	tituli sacri;  tria nomina;  viri	Mercurio / sacrum / M(arcus) Aur(elius) Roga/tanus pro sa/lute sua et su/orum ex viso	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IDR_03_05_01_00257_1.jpg;$IDR_03_05_01_00257_2.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0115662;HD017329		
EDCS-26600725	CIL 03, 01599 = IDR-03-05-01, 00361	Dacia	?	161 to 275	tituli sacri;  tria nomina;  viri	Terr[a]e Matri / M(arcus) A[ur(elius)] Rogat[i]anus / pro salute sua / et suorum / v(otum) l(ibens) m(erito) s(olvit)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0115663;HD038578		
EDCS-26600729	CIL 03, 01613 = IDR-03-05-01, 00162	Dacia	?	151 to 250	tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / M(arcus) Romani/us Encol/pus ex voto	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038244;lu_11499		
EDCS-26600730	CIL 03, 01614 = CIL 03, 08044 = IDR-03-05-01, 00220 = CCID 00158 = IupDol 00006	Dacia	?	151 to 270	milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) D(olicheno) / ex praecepto / Num(inis) Aesculapi / somno monit(us) / Veturius Marci/an(us) ve(teranus) l(egionis) XIII G(eminae) p(ro) s(alute) s(ua) suor(um)q(ue)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0035493;HD038332		
EDCS-26600731	CIL 03, 01616 = IDR-03-03, 00146	Dacia	?	151 to 250	tituli sacri	LQI p[ro salute] / sua suor[u]mque / votum p[o]suit / ex arg(enti) p(ondo) III							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IDR_03_03_00146.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD045418;lu_11786		
