EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-46600034	AE 2007, 01095	Dalmatia	?	131 to 200	mulieres;  tituli sepulcrales;  tria nomina;  viri	] / Priscae / coniu/gi pien/tissim/ae P(ublius) Ael(ius) / Nepos / maritus / posuit / vixit an(nos) XXCV								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD027198		
EDCS-64100417	AE 2011, 00888	Dalmatia	?		milites;  sigilla impressa;  tituli fabricationis	Leg(ionis) VII C(laudiae) P(iae) F(idelis)	opus figlinae									
EDCS-71300216	AE 2014, 01033	Dalmatia	?		tituli sacri	Divo Iu[lio]										
EDCS-57000055	BAHD-1984-200	Dalmatia	?	1 to 300	tituli sepulcrales	H[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056741		
EDCS-28600114	CIL 03, 03156 = CIL 05, *00333	Dalmatia	?	1 to 300	tituli sacri	Dian[ae(?)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_fva_p30;HD062317		
EDCS-28600116	CIL 03, 03156b (p 1038, 1650) = Liburnia 00211	Dalmatia	?	151 to 300	nomen singulare;  tituli sacri;  viri	Maximianus <v=B>ot/um sol<v=B>it	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0102744;HD062164		
EDCS-28600117	CIL 03, 03157 (p 1650) = CIL 03, 08663 = CIL 03, 14239,4	Dalmatia	?	179 to 179	milites;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Her(culi) Aug(usto) [s]ac(rum) / Val(erius) Valens v[eter(anus)] / ex |(centurione) limite(m) / pub(licum) praeclus(um) / cu(i) ob / dece(ssum) Aur(eli) / Gall(i) leg(ati) / suo i<m=N>p[ensa] / aperuit [3] / I<m=N>p(eratore) Com(m)o[do II] / et Mar[tio] / Vero [II] / co(n)s(ulibus) VI [Kal(endas)] / Ma[i(as)]	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$PF_CIL_03_03157.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0003521;HD051915;lu_24863		
EDCS-28600118	CIL 03, 03158 (p 1038) = CIL 05, *00336 = D 03320 = Liburnia 00209	Dalmatia	?	14 to 37	Augusti/Augustae;  ordo decurionum;  tituli sacri;  tria nomina;  viri	Iano Patri / Aug(usto) sacrum / C(aius) Iulius C(ai) f(ilius) Ser(gia) / Aetor aed(ilis) / donatus ab(!) Ti(berio) Caes(are) / Aug(usti) f(ilio) Augusto torq(ue) / maiore bello D<a=E>lma/tico ob honorem / IIviratus cum liberis / suis posuit								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_fva_p30;CO0022835;CO0028466;HD062306;de-b0042		
EDCS-28600119	CIL 03, 03158a = CBI 00500	Dalmatia	?	151 to 300	milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / Fort(unae) / Red(uci) / G() Comarg(us) b(eneficiarius) co(n)s(ularis) leg(ionis) X / G(eminae) vot(um) solvit / libe(n)s meruit	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0020064;HD055350		
EDCS-28600120	CIL 03, 03158b (p 1038) = CINar-02, 00023	Dalmatia	?	151 to 300	tituli sacri;  tria nomina;  viri	D(eo?) S(oli?) I(nvicto) O(mnipotenti?) M(ithrae) / Aeterno / sacrum / Atilius Tert/[i]us ex voto / lib{i}ens posuit	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0005907	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0058305;HD062304		
EDCS-28600121	CIL 03, 03159 (p 2275) = IGLFriuli 00027 = Liburnia 00208	Dalmatia	?	1 to 150	tituli sacri;  tria nomina;  viri	Trivi(i)s / C(aius) Aristius / Clemens / ex vot[o l(ibens) s(olvit)] m(erito)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD060162;lu_23294		
EDCS-28600122	CIL 03, 03160	Dalmatia	?	1 to 150	tituli sacri;  tria nomina;  viri	Q(uintus) Coelius / Q(uinti) f(ilius) Balbus / Vener(i) Vict(rici)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062302		
