EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-22500738	GLIKonya 00241	Galatia	?		tituli sepulcrales	]a[3] / [3]iap ann(os) X / [3] positum II / [3]mlocvir										
EDCS-41000001	RRMAM-01, 00047a = RRMAM-02-01, 00077 = RRMAM-03-02, 00127a	Galatia	Abazli	121 to 122	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli sacri;  tria nomina;  viri	[Imp(eratori) Caes(ari)] / [divi Traia]ni [Parth]/[ici f(ilio) divi] Ner[vae ne]/[poti Tra]iano Had/[riano Aug(usto)] pont(ifici) max(imo) / [trib(unicia) pot(estate) VI] co(n)s(uli) III per / [A(ulum) Larcium] Macedo/[nem leg(atum) A]ug(usti) pr(o) pr(aetore) / [	lapis		39.547119	33.025478			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RRMAM-03-02_00127a.jpg;$RRMAM-03-02_00127a_1.jpg;$RRMAM-03-02_00127a_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=B1381		
EDCS-41000002	RRMAM-01, 00047b = RRMAM-02-01, 00078 = RRMAM-03-02, 00127b	Galatia	Abazli		miliaria	?	lapis		39.547119	33.025478						
EDCS-57000122	RRMAM-02-01, 00076 = RRMAM-03-02, 00067	Galatia	Abazli	82 to 82	Augusti/Augustae;  litterae erasae;  miliaria;  ordo senatorius;  sacerdotes pagani;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Vespa/sian[i f(ilius) [[Domitianus]]] Aug(ustus) / pont(ifex) max(imus) trib(unicia) pot(estate) p(ater) p(atriae) co(n)s(ul) IIX / des(ignatus) IX imp(erator) II per / A(ulum) Caesennium Gallum / co(n)s(ulem) XVvir(um) s(acris) f(aciundis) leg(atum) pro pr(aetore) / vias provinciar(um) Galatiae / Cappadociae Ponti Pisidiae Paphlag(oniae) Lycaoniae Arme/niae minoris stravit / mil(ia) XXXIX // 	lapis		39.547119	33.025478		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RRMAM-03-02_00067.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=B1380		
EDCS-67200333	AE 2002, 01443	Galatia	Abditolu / Iconium				lapis		37.7387612	32.7528354		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043941		
EDCS-41500071	GLIKonya 00138m	Galatia	Abditolu / Iconium		viri	Gaeio[s] E[ // 			37.7387612	32.7528354		GR				
EDCS-22500735	GLIKonya 00238 = RRMAM-03-02, 00080a = AE 2002, 01446	Galatia	Abditolu / Iconium	333 to 375	Augusti/Augustae;  miliaria;  viri	DDDD(ominis) nnn[n(ostris)] / Fl(avio) Val(erio) Constantino A(u)g(usto) [e]t / Fl(avio) Cl(audio) Constantino et / Fl(avio) Constantio et / Fl(avio) Iul(io) Constant<i=E> / nobbbb(ilissimis) CCC[C(aesaribus)] // [D(ominis)] n(ostris) Fl(avio) / [Vale]ntiniano / [e]t Fl(avio) Valenti tr/[ium]fatoribus s(emper) / [A]A(u)gg(ustis) // et Gratia/no perpe/tuo A[u]g(usto)	lapis		37.7387612	32.7528354				http://db.edcs.eu/epigr/partner.php?s_language=en&param=B1966;HD046345		
EDCS-22500736	GLIKonya 00239 = RRMAM-03-02, 00080b = AE 2002, 01447	Galatia	Abditolu / Iconium	333 to 335	Augusti/Augustae;  miliaria;  viri	DDDD(ominis) nnnn(ostris) / Fl(avio) Val(erio) Constantino A(u)g(usto) [e]t / Fl(avio) Cl(audio) Constantino et / Fl(avio) Constantio et / Fl(avio) Iul(io) Constant<i=E> / nobbbb(ilissimis) CCCC(aesaribus)	lapis		37.7387612	32.7528354				http://db.edcs.eu/epigr/partner.php?s_language=en&param=B1967;HD046346		
EDCS-22500737	GLIKonya 00240 = RRMAM-03-02, 00080c = AE 2002, 01448 = AE 2012, 01573	Galatia	Abditolu / Iconium	333 to 378	Augusti/Augustae;  miliaria;  viri	[DDDD(ominis) nnnn(ostris)] / Fl(avio) Val(erio) [Constant]ino Aug(usto) / et Fl(avio) Cl(audio) [Constantin]o / et Fl(avio) [Consta]ntio / [et Fl(avio) Iul(io) Cons]tant<i=E> / [nobi]lll(issimis?) / m(ilia) p(assuum) XI // DDD(ominis) nn[n(ostris)] / Fl(avio) Vale[nti et] / Fl(avio) Gr[atiano] / et Fl(avio) Vale[nti]/niano pp(erpetui)/<sss=LLL> maxim(is) / semp(er) Aug(ustis)	lapis		37.7387612	32.7528354				http://db.edcs.eu/epigr/partner.php?s_language=en&param=B1968;HD046347		
EDCS-49100356	McLean 00138	Galatia	Abditolu / Iconium		ordo decurionum;  tituli sepulcrales;  viri	Gaeio[s // 			37.7387612	32.7528354		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=B2157		
