EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-69800124	CIL 13, 12805e	Belgica | Germania inferior	Achene / Fais-Achene		sigilla impressa;  tituli fabricationis	HAMSIT	opus figlinae		50.2668644	5.0458772						
EDCS-10600399	CIL 13, 03631 = ILB 00061 (2 p 227, 228) = IAL 00013 = AE 1951, 00060	Belgica | Germania inferior	Amberloup / Tungri			Curia / Arduenn[ae]			50.0292955	5.5272931			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILB_00061.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021046		
EDCS-11901961	ILB 00040	Belgica | Germania inferior	Andenne			]CAL[3]/[3]AN[3]/[3]VOS[			50.4893981	5.0965468				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD040417		
EDCS-62500713	CIL 13, 10002,056e	Belgica | Germania inferior	Barcenne		sigilla impressa;  tituli fabricationis	Virg(inensia)	opus figlinae									
EDCS-69800130	CIL 13, 12805b	Belgica | Germania inferior	Barcenne		sigilla impressa;  tituli fabricationis	HAMSIT	opus figlinae									
EDCS-69800131	CIL 13, 12805b	Belgica | Germania inferior	Barcenne		sigilla impressa;  tituli fabricationis	HAMSIT	opus figlinae									
EDCS-20500023	CIL 13, 03626 = CIL 13, 03627 = ILB 00056 (2 p 227) = ASAN-2018-44	Belgica | Germania inferior	Barvaux-Condroz / Tungri		mulieres;  nomen singulare;  tituli sepulcrales;  viri	]a[1]va Saeni / [3]lo Candidia[ni] / [3]vi et consummav[erunt] // Fl]avia Veru[3] / [3 tes]ta[me]nto fie[ri(?)] / iu[ssit] IV[3]itus Av[	lapis		50.3291239	5.2607234			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_13_03626_1.jpg;$CIL_13_03626_2.jpg;$CIL_13_03626_3.jpg;$CIL_13_03626_4.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0008697;CO0114642;HD040432		
EDCS-11100048	CIL 13, 07824	Belgica | Germania inferior	Berg		tituli sacri	] AZL HVS / imp(etu) ips(ius) s(olvit) l(ibens)			50.7908759	5.495115						
EDCS-11100049	CIL 13, 07825	Belgica | Germania inferior	Berg		nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Lupulinius Pin/tio Valerio q(ui) v(ixit) a(nnos) / X m(enses) V et Faustio/ni q(ui) v(ixit) a(nnos) II m(enses) V / et Salvino q(ui) v(ixit) a(nnos) / VII m(enses) X et filiis / suis infantibus / dulcissimis / tit(ulum) pos(uit)			50.7908759	5.495115				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024503		
EDCS-25501449	Finke 00002	Belgica | Germania inferior	Berg			?			50.7908759	5.495115				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0092989		
