EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-04900002	AE 1992, 00206	Italia	?	1 to 100	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina	Caedia Q(uinti) l(iberta) / Euprosune hic sita est / terram tibi levem / miserrima vixit a(nnos) XXI								http://db.edcs.eu/epigr/partner.php?s_language=en&param=N030338		
EDCS-03700831	AE 1993, 01790	Italia	?		mulieres;  tituli sepulcrales;  tria nomina;  viri	C(aius) Allianus / Carpophorus / hic iacet et neminem curat / Alliana Veneria filia / patri piissimo		cinerarium						http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062340		
EDCS-03700832	AE 1993, 01791	Italia	?		tituli honorarii;  viri	]ER[3] / [6] / [3] Marcianum v[irum 3] / [3 municipi]o nostro ut aequ[e 3] / [3]titum esse patrimon[ium 3] / q(uid) d(e) e(a) r(e) f(ieri) [placeret d(e) e(a) r(e) i(ta) c(ensuerunt)] / [3] quiescens pollicitus sit [3] / [3] consumpturum HS X[3] / [3 m]ultiplicaverit in[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062341		
EDCS-00381066	AE 1994, 01909	Italia	?		tituli sepulcrales;  viri	] M(arci) Fadi[3] / [3]rentin[3] / [3]esider[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD062208		
EDCS-02900003	AE 1997, 00246a	Italia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	L(ucius) Rasinius Pisanus	opus figlinae									
EDCS-02900004	AE 1997, 00246b	Italia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(aius) P() P()	opus figlinae									
EDCS-02900005	AE 1997, 00246c	Italia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Sex(tus) Murrius Festus	opus figlinae									
EDCS-02900006	AE 1997, 00246d	Italia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Sex(tus) Murrius Pisanus	opus figlinae									
EDCS-02900007	AE 1997, 00247a	Italia	?		praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	C(aius) Lapius	opus figlinae									
EDCS-02900008	AE 1997, 00247b	Italia	?		praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	C(aius) Popilius	opus figlinae									
EDCS-02900009	AE 1997, 00247c	Italia	?		praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	L(ucius) Quintius	opus figlinae									
EDCS-02900010	AE 1997, 00247d	Italia	?		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Herakleides	opus figlinae									
EDCS-02900011	AE 1997, 00247e	Italia	?		praenomen et nomen;  sigilla impressa;  tituli fabricationis;  viri	L(ucius) Atinius	opus figlinae									
EDCS-11700296	AE 1997, 01760 = AE 2002, +01779	Italia	?		mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina	Maxsuma(!) / Rufila Iulae(?) fil(ia) / Silitana(?) / an(n)orum XXVI t(e) r(ogo) p(raeteriens) / d(ic) s(it) t(ibi) t(erra) l(evis)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050034		
EDCS-33500276	AE 2004, 01896	Italia	?		Augusti/Augustae;  litterae erasae;  tituli honorarii;  tituli sacri;  viri	[Imp(eratori)] Caes(ari) L(ucio) Aurel[io] / [Ve]ro Aug(usto) trib(unicia) p[ot(estate)] / [co(n)]s(uli) II divi / Anto[nini] / [fili]o divi Hadr[ian]i [nep(oti)] / [divi Traiani Parthici pronep(oti)] / [divi Nervae abnepoti] / [ // Ex pr(a)ecep[tu d(omini) n(ostri) [[Pro]]/[[bi]] Invicti / Aug(usti) divo / Aureliano	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2004_01896.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061076		
