EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-55702026	AcquiTerme, p 64	Liguria / Regio IX	Acqui Terme / Aquae Statiellae		praenomen et nomen;  sigilla impressa;  tituli fabricationis;  tituli possessionis;  viri	P(ubli) Vat() p(ondo) VII s(emis) // XVI	opus figlinae		44.675145	8.467546						
EDCS-55702027	AcquiTerme, p 65	Liguria / Regio IX	Acqui Terme / Aquae Statiellae		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Murri	opus figlinae		44.675145	8.467546			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AcquiTerme_p65.jpg			
EDCS-55702028	AcquiTerme, p 66	Liguria / Regio IX	Acqui Terme / Aquae Statiellae		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Zoili	opus figlinae		44.675145	8.467546			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AcquiTerme_p66.jpg			
EDCS-55702029	AcquiTerme, p 67	Liguria / Regio IX	Acqui Terme / Aquae Statiellae		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Avili	opus figlinae		44.675145	8.467546			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AcquiTerme_p67.jpg			
EDCS-55702030	AcquiTerme, p 68	Liguria / Regio IX	Acqui Terme / Aquae Statiellae		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Murri	opus figlinae		44.675145	8.467546			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AcquiTerme_p68.jpg			
EDCS-23500697	CIL 05, *00800 = SupIt-25-AS, 00002 = AcquiTerme, p 52 = AE 1996, 00677 = AE 2001, +00982	Liguria / Regio IX	Acqui Terme / Aquae Statiellae	71 to 130	nomen singulare;  ordo senatorius;  tituli sacri;  viri	Erastus / aed(ilis) tr(ibunus) q(uaestor) / Larib(us) et / famil(iae)			44.675145	8.467546			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1996_00677_1.jpg;$AE_1996_00677_2.jpg;$AE_1996_00677_3.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_fva_p76;N010300;CO0083676		
EDCS-65900088	CIL 05, *00850 = NSA-1899-426	Liguria / Regio IX	Acqui Terme / Aquae Statiellae		tituli honorarii;  tituli operum;  tria nomina;  viri	C(aio) Valerio M(arci) f(ilio) / Tromen(tina) Albo / [3 v]iro / q[ui] viam [3] / [3]bus str(avit) / thermas e[3] / Aquenses Stat(iellenses) / [6] / [3]ME[			44.675145	8.467546				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_fva_p79		
EDCS-25601422	CIL 05, 00799* = ICI-09, 00004 = EMonferrato 00002 = AE 1987, 00405	Liguria / Regio IX	Acqui Terme / Aquae Statiellae	401 to 401	inscriptiones christianae;  nomen singulare;  tituli sepulcrales;  viri	[Hic est positu]s Licen[tius in pace vix]it an(nos) XXX / [3 deposit]us Kal(endis) Se/[pt(embribus) Fl(avis) Vinc(entio) et] Fra(vito) cons(ulibus)			44.675145	8.467546			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1987_00405.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N080508;HD009006		
EDCS-05400754	CIL 05, 07504 = TermeDiocleziano-01, p 54 = Epigraphica-2014-507 = AE 2014, +00475	Liguria / Regio IX	Acqui Terme / Aquae Statiellae	1 to 100	tituli sacri;  tria nomina;  viri	P(ublius) Vimivinus L(uci) f(ilius) Clarus / Dormino et Suetai(!) / v(otum) s(olvit) l(ibens) m(erito)			44.675145	8.467546				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p850;N010277		
EDCS-05400755	CIL 05, 07505 = EMonferrato 00001 = AcquiTerme, p 51 = AE 1987, 00404 = AE 2001, +00982	Liguria / Regio IX	Acqui Terme / Aquae Statiellae	51 to 150	liberti/libertae;  nomen singulare;  tituli sacri;  tituli sepulcrales;  viri	Genio / P(ubli) n(ostri) / Thallus / Thallio / Agathio / lib(erti)			44.675145	8.467546			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1987_00404.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p850;N080507;HD009003		
