EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-13302646	AE 1959, 00063	Lugudunensis	?			Ego qui lego pedicor								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019186		
EDCS-00381068	AE 1994, 01915 = AE 1999, 01173 = AE 1999, 01174 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?		Augusti/Augustae;  ordo decurionum;  tituli sacri;  tria nomina;  viri	Aug(usto) sacr(um) deo Cobanno / L(ucius) Maccius Aeternus / IIvir ex voto								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048541		
EDCS-21000706	AE 2000, 01845 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?		nomen singulare;  servi/servae;  tituli sacri;  viri	Deo Coban(n)o / Geminianus / Solini v(otum) s(olvit) l(ibens) m(erito)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048236		
EDCS-21000707	AE 2000, 01846 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?		Augusti/Augustae;  tituli sacri;  tria nomina;  viri	August<o=V> / sacru(m) / deo Coban/n<o=U> / M(arcus) Tutu(s) Cassio								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048237		
EDCS-21000708	AE 2000, 01847 = AE 2002, +00906 = AE 2004, +00989	Lugudunensis	?		nomen singulare;  tituli sacri;  viri	Deo Cobanno Samotalus Brigonis f(ilius) / Augustodune(n)sis ex voto suscepto								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048238		
EDCS-12400062	CIL 17-02, 00333 = CIL 13, 08882 = CAG-48, p 82 = CAG-48a, p 224 = CAG-48a, p 462 = ILA-Gabales, 00030	Lugudunensis	?	260 to 269	Augusti/Augustae;  miliaria;  viri	Imp(eratori) Caes(ari) / M(arco) Cas(sianio) Lat(inio) / Postumo / P(io) F(elici) Aug(usto) co(n)s(uli) / [civit(as)] Gabal(orum) / m(ilia) p(assuum) {L} [X]V(?)	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0107255		
EDCS-39500951	IG-14, 02573,17	Lugudunensis	?			 // Duguti						GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143417		
EDCS-13303226	ILTG 00333a	Lugudunensis	?			] posuit / [3] ann(orum) IX										
EDCS-13303355	ILTG 00511	Lugudunensis	?			Velox / VI // Audax XXI										
EDCS-13303379	ILTG 00521	Lugudunensis	?			Artos / avo[t]										
EDCS-13303380	ILTG 00522	Lugudunensis	?			Iulos avot										
EDCS-13303391	ILTG 00535	Lugudunensis	?			Ego qui lego pedicor										
