EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-16500131	AE 1909, 00083	Lusitania	?			I(ovi) O(ptimo) M(aximo) / Nispro / ex voto								http://db.edcs.eu/epigr/partner.php?s_language=en&param=A20000;HD019883;1ae1909-19		
EDCS-08500414	AE 1983, 00613	Lusitania	?	101 to 300	tituli sepulcrales	D(is) M(anibus) s(acrum) / Cornelia / Iunia an/noru(m) XXVI pia in suis / hic sita e/st s(it) t(ibi) t(erra) l(evis) / M(arcus) C() Corn/elius uxo/ri bene / meritae	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A6810;CO0117619;HD000221		
EDCS-06100324	AE 1989, 00379 = HEp 1993, 00496 = FE 00140	Lusitania	?			Cosei Va/[c]oaico [							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A18917;HD015375		
EDCS-06100348	AE 1989, 00406 = HEp 1990, 00909 = FE 00130	Lusitania	?		tituli sepulcrales	] Attii f(ilius?) h(ic) s(itus?) e(st)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A18937;HD015453		
EDCS-03300383	AE 1995, 00724	Lusitania	?		miliaria	] Cae[sar								http://db.edcs.eu/epigr/partner.php?s_language=en&param=A20794;HD050591		
EDCS-78200088	AE 2017, 00672	Lusitania	?			H(ospitium) f(actum) / inter Talusicoru(m) / gentilitatem et / Gadarensium	aes									
EDCS-78200089	AE 2017, 00673	Lusitania	?		tituli operum;  tria nomina;  viri	Tes(s)era / Atani[1] Dentoni f(ilius)	aes									
EDCS-75700037	Antrope-2019-30,13	Lusitania	?		tituli possessionis	?	lapis	http://hdl.handle.net/10316/88692					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Antrope-2019-30-13.jpg			
EDCS-74300429	AquaeFlaviae-1997, 00329 = HispEp 32391	Lusitania	?		nomen singulare;  tituli sepulcrales;  tria nomina;  viri	T(ito) Bouti/o Segonti f(ilio) / Cl(uniensi) an(norum) XI h(ic) s(itus) e(st)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=A7757;A32391		
EDCS-05500959	CIL 02, 00949 = CIL 03, *00276,1 = CIL 05, *00023,7	Lusitania	?		tituli sepulcrales	D(is) M(anibus) s(acrum) / Caecilio / Euphros[y]no / an(norum) LV / s(it) t(ibi) t(erra) l(evis)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=A21832;cil05_fva_p06		
