EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-51500059	AE 2008, 01418	Lycia et Pamphylia	?	72 to 72	tituli operum	[C]n(aeus) Avidius Celer Rutilius [3]s Fiscilius Firmus 3 legatus 3 Vespasianus Augustus co(n)s(ul) IIII imp(erator) VI										
EDCS-28400799	CIL 03, 06737 = D 00215 = IGRRP-03, 00768 = RRMAM-02-01, 00183 = RRMAM-03-06, 00054	Lycia et Pamphylia	?	50 to 51	Augusti/Augustae;  ordo equester;  tituli operum;  tria nomina;  viri	Ti(berius) Claudius Drus[i f(ilius)] Caes/ar Aug(ustus) Germ[an]i/cus pontif(ex) maxim[u]s / tr(ibunicia) po(testate) X imp(erator) XIIX p(ater) p(atriae) co(n)s(ul) de/sig(natus) V [p]er M(arcum) Ar[ru]ntium / Aqu[il]am procur(atorem) su[um] / vias refecit // 						GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053239;de-a0054		
EDCS-70200343	RRMAM-02-01, 00184 = RRMAM-03-06, 00055 = SEG-36, 01466 = AE 1986, 00689	Lycia et Pamphylia	?	198 to 209	Augusti/Augustae;  miliaria;  viri		lapis					GR				
EDCS-70200344	RRMAM-03-06, 00056	Lycia et Pamphylia	?	193 to 209	Augusti/Augustae;  miliaria;  viri		lapis					GR				
EDCS-55701605	AE 2009, 01504	Lycia et Pamphylia	Afsar / Tynada		tituli sepulcrales;  viri	[3]nius SCRC[3] / [3] omnibus de pecu[nia			38.136932	30.975363						
EDCS-78100031	AE 1893, 00054	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		tituli honorarii;  tria nomina;  viri		lapis		37.6496612	30.5331918		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P281896;1ae1893-12		
EDCS-78100032	AE 1893, 00055	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		Augusti/Augustae;  tituli honorarii;  tituli sacri;  tria nomina;  viri		lapis		37.6496612	30.5331918		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P291903;1ae1893-12		
EDCS-67200344	AE 1993, 01558 = AE 2002, 01477	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos						37.6496612	30.5331918		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043991		
EDCS-55701606	AE 2009, 01506 = Espacios-2009, p 109 = IK-70, 00004	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos			[3]RIS A[3] / [3]VM CV[3]			37.6496612	30.5331918			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00004.jpg			
EDCS-55701607	AE 2009, 01507 = Espacios-2009, p 109 = IK-70, 00005	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		tituli sepulcrales	]rum ita[3] / [3 h]aberentque [3] / [3]s quo notius [3] / [3 i]psius etiam de[3] / [3]tum memo[ria 3]			37.6496612	30.5331918			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00005.jpg			
EDCS-28400876	CIL 03, 06871 = IK-70, 00008	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		Augusti/Augustae;  miliaria;  viri	[T]i(berio) Claudio Cae[s]ar[i] Au[g(usto)] / Germanico im[p(eratori)] pon[t(ifici)] / max(imo) [trib(unicia)] pot(estate) II co(n)s(uli) II p(atri) p(atriae) // 	lapis		37.6496612	30.5331918		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00008.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0004449		
EDCS-28400877	CIL 03, 06872 = CIL 03, 12147 = D 05967	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		termini	Finis / Caesaris n(ostri)	lapis		37.6496612	30.5331918				http://db.edcs.eu/epigr/partner.php?s_language=en&param=de-b0470		
EDCS-58000076	Chiron-2012-109 = AE 2012, 01696 = IK-70, 00065	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		Augusti/Augustae;  ordo equester;  tituli honorarii;  tituli sacri;  tria nomina;  viri	] / Feli[ci Invicto Aug]/[usto tribunicia potes]/tate consuli patri / patriae proconsuli / [M(arcus)] Attius Cornelianus / v(ir) p(erfectissimus) praeses provinciae / Pam<phy=FI>liae d(evotus) N(umini) m(aiestati)q(ue) eius			37.6496612	30.5331918			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00065.jpg			
EDCS-03300862	IIulian 00047 = AE 1995, 01550 = AE 2002, +01478 = IK-70, 00036	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos	361 to 363	Augusti/Augustae;  tituli honorarii;  viri	D(omino) n(ostro) / Fl(avio) Cl(audio) Iuliano / Imperatori victo(ri) e[t] / semper Aug(usto)			37.6496612	30.5331918			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00036.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=S2526;CO0123425;HD051009		
EDCS-74400317	IK-70, 00011	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		Augusti/Augustae;  tituli honorarii;  viri	[3 Caes]ari Germani(co) co(n)s(uli) II / [3 pont(ifici)] max(imo) [3] / I[3]			37.6496612	30.5331918			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00011.jpg			
EDCS-74400318	IK-70, 00035	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos		Augusti/Augustae;  tituli honorarii;  viri	] et <Fla=CCC>(vis) Iu/li<o=U> Iu{i}l(i)/ano n/obbi(lissimis) C(a)e/sari(bus)			37.6496612	30.5331918			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00035.jpg			
EDCS-70200324	RRMAM-02-01, 00264 = RRMAM-03-06, 00039a	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos	333 to 335	Augusti/Augustae;  litterae erasae;  litterae in litura;  miliaria;  viri	 // DD(ominis) nn(ostris) / [[6]] / Fl(avio) Val(erio) Constantino max(imo) victori Aug(usto) / [[et Fl(avio) Cl(audio) Constantino]] / et Fl(avio) Iul(io) Constantio / et Fl(avio) Iul(io) Constanti / [[nobb(ilissimis) Caess(aribus)]] / «victori(bu)s Aug(ustis)» / mi(lia) p(assuum) // 	lapis		37.6496612	30.5331918		GR, GR				
EDCS-10700082	RRMAM-03-06, 00039b = SEG-47, 01770 = AE 1997, 01493 = IK-70, 00031 = AE 2016, +00011	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos	333 to 335	Augusti/Augustae;  litterae erasae;  miliaria;  viri	DD(ominis) nn(ostris) / Fl(avio) Val(erio) Constantino / Victori Aug(usto) et Fl(avio) Cl(audio) / Constantino et Fl(avio) [Iul(io)] / Constantio et Fl(avio) Iul(io) / Constant<i=E> [[nobb(ilissimis) Caess(aribus)]] //  // Impp(eratoribus) dd(ominis) nn(ostris) / Fl(avio) Val(erio) Constantino / Victori Aug(usto) [[[et Fl(avio) Cl(audio)]]] / [[Constantino et]]] Fl(avio) [Iul(io)] / Constantio et Fl(avio) Iul(io) / Constant<i=E> P(iis) F(elicibus) victo[ri]/[bus // 	lapis		37.6496612	30.5331918		GR, GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IK-70_00031.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD051490		
EDCS-70200325	RRMAM-03-06, 00044 = SEG-39, 01385 = AE 1990, 00978	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos	198 to 209	Augusti/Augustae;  miliaria;  viri		lapis		37.6496612	30.5331918		GR				
EDCS-13303441	SEG-47, 01770	Lycia et Pamphylia	Aglasun / Aghlasan / Sagalassos	333 to 335	Augusti/Augustae;  litterae erasae;  miliaria;  viri	DD(ominis) nn(ostris) / Fl(avio) Val(erio) Constantino / victori Aug(usto) et Fl(avio) Cl(audio) / Constantino et Fl(avio) [Iul(io)] / Constantio et Fl(avio) Iul(io) / Constant<i=E> [[nobb(ilissimis) Caess(aribus)]] // Impp(eratoribus) dd(ominis) nn(ostris) / Fl(avio) Val(erio) Constantino / victori Aug(usto) et Fl(avio) Cl(audio) / Constantino et Fl(avio) [Iul(io)] / Constantio et Fl(avio) Iul(io) / Constant<i=E> P(io) F(elice) victo[ri] / [	lapis		37.6496612	30.5331918						
EDCS-28400874	CIL 03, 06869 (p 2061) = EA-2015-44 = AE 2015, 01614	Lycia et Pamphylia	Agra		tituli sacri	] / divo / Augusto							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_06869.jpg			
EDCS-78300706	AE 1926, 00074	Lycia et Pamphylia	Ak-Kilisse / Akalissos		milites;  tituli sepulcrales;  viri		lapis		36.5300828	30.2204369		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1926-18		
EDCS-78300661	AE 1922, 00003 = SEG-02, 00703 = IK-61, 00025	Lycia et Pamphylia	Aksu / Perge	37 to 41	Augusti/Augustae;  tituli honorarii;  viri		lapis		37.7989877	31.0710354		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P276573;P313785;1ae1922-01		
EDCS-78300735	AE 1927, 00080	Lycia et Pamphylia	Aksu / Perge	101 to 200	milites;  tituli operum;  tituli sacri;  viri		lapis		37.7989877	31.0710354		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P276709;P314088;1ae1927-21		
EDCS-07000882	AE 1988, 01037	Lycia et Pamphylia	Aksu / Perge		mulieres;  tituli sacri;  tria nomina	Divo Traiano / Pla[nci]a Magna			37.7989877	31.0710354			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1988_01037.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD009557		
EDCS-67500020	AE 2012, 01629	Lycia et Pamphylia	Aksu / Perge		Augusti/Augustae;  liberti/libertae;  nomen singulare;  tituli operum;  viri	[I]mp(eratoris) Domiti[ani] Caesaris Aug(usti) / Germ(anici) loco CLXI per Pri/mum lib(ertum)			37.7989877	31.0710354						
EDCS-49000021	CBI 00683 = SEG-06, 00729	Lycia et Pamphylia	Aksu / Perge						37.7989877	31.0710354		GR				
EDCS-27800564	CIL 03, 06734 = IK-54, 00039 = Chiron-2000-655	Lycia et Pamphylia	Aksu / Perge		tituli honorarii;  tria nomina;  viri	Claudio Caesari German[ico Augusto 3] / C(aius) Iulius Cornutus cum uxo[re 3 posuit(?)] / idemque Cornut[us dedicavit]			37.7989877	31.0710354				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0003282		
EDCS-24100192	CIL 03, 06735 = IGRRP-03, 00799 = IK-61, 00389	Lycia et Pamphylia	Aksu / Perge		tituli sepulcrales;  tria nomina;  viri	C(aius) Iulius Plo/camus vi/v<u=O>s sibi et / suis // 			37.7989877	31.0710354		GR				
EDCS-24100191	CIL 03, 06736 = IK-61, 00388	Lycia et Pamphylia	Aksu / Perge		mulieres;  tria nomina;  viri	]us et Sergia Theopropis uxor Vibi[i] / [pe]tierint et P(ublio) Sergio Candido et Quin[to			37.7989877	31.0710354						
EDCS-24100195	CIL 03, 13625a = IK-61, 00497	Lycia et Pamphylia	Aksu / Perge		tria nomina;  viri	]us Eumelus [			37.7989877	31.0710354						
EDCS-51500061	IK-54, 00024 = Gephyra-2008-57 = AE 2008, 01428	Lycia et Pamphylia	Aksu / Perge		liberti/libertae;  milites;  nomen singulare;  ordo equester;  praenomen et nomen;  tituli honorarii;  tituli sacri;  tria nomina;  viri	L(ucio) Pupio L(uci) f(ilio) Sab(atina) Prae/senti trib(uno) milit(um) prae/fecto equitum alae / [Pi]centianae proc[u]/[ra]tori divi Claudi / [et Ne]ronis Claudi / [Caes]aris Aug(usti) Germa/[nici] provinciae Ga/lati{c}ae et Pamphy/liae et a loricata / Ti(berius) Claudius divi Clau/di l(ibertus) et sacerdos Plo/camus amico suo / h(onoris) c(ausa)	lapis		37.7989877	31.0710354						
EDCS-05300117	IK-54, 00054 = Chiron-2000-651 = AE 1986, 00687	Lycia et Pamphylia	Aksu / Perge		Augusti/Augustae;  ordo decurionum;  tituli honorarii;  viri	Imp(eratori) T(ito) F(lavio) / Vespasiano / Caesari Aug(usto) / ci(ves) R(omani) et ordo / et res publica / Pergensium			37.7989877	31.0710354				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD006484;CO0009827		
EDCS-05300118	IK-54, 00055	Lycia et Pamphylia	Aksu / Perge		tituli operum;  tria nomina;  viri	C(aius) Plan[cius M(arci) f(ilius)] / Varus [3] / alipter[ium cum omni] / [orn]ame[nto			37.7989877	31.0710354						
EDCS-05300119	IK-54, 00086 = CQ-2020-385	Lycia et Pamphylia	Aksu / Perge		mulieres;  tituli operum;  tria nomina	[Plancia Marci f(ilia)] Magna / [pat]riae [3]O[ // 	lapis		37.7989877	31.0710354		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0009830		
EDCS-05300120	IK-54, 00089 = AE 1958, 00076	Lycia et Pamphylia	Aksu / Perge	101 to 130	mulieres;  tituli sacri;  tria nomina	Dianae Pergensi / Plancia M(arci) f(ilia) Magna // 			37.7989877	31.0710354		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1958_00076_1.jpg;$AE_1958_00076.jpg;$AE_1958_00076a.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0003305;HD019723		
EDCS-05300121	IK-54, 00090 = Chiron-2000-658 = AE 1965, 00210	Lycia et Pamphylia	Aksu / Perge		mulieres;  tituli sacri;  tria nomina	[G]enio civitatis / Plancia M(arci) f(ilia) Magna // 			37.7989877	31.0710354		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_AE_1965_00210.jpg;$AE_1965_00210.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0003306;HD018196		
EDCS-05300122	IK-54, 00091	Lycia et Pamphylia	Aksu / Perge		Augusti/Augustae;  mulieres;  tituli sacri;  tria nomina	[Divo] Augusto / [Plan]cia M(arci) f(ilia) Magna			37.7989877	31.0710354						
EDCS-05300123	IK-54, 00092	Lycia et Pamphylia	Aksu / Perge		Augusti/Augustae;  nomen singulare;  tituli sacri;  tria nomina	Divo Nerva[e] / Plancia M(arci) f(ilia) [Magna]			37.7989877	31.0710354						
EDCS-05300124	IK-54, 00093	Lycia et Pamphylia	Aksu / Perge		Augusti/Augustae;  mulieres;  tituli sacri;  tria nomina	Divo Traiano / Pla[nci]a M(arci) f(ilia) Magna			37.7989877	31.0710354						
EDCS-05300125	IK-54, 00094	Lycia et Pamphylia	Aksu / Perge		Augusti/Augustae;  mulieres;  tituli honorarii;  tituli sacri;  tria nomina;  viri	[Imp(eratori) Caesari divi] Traiani / [Parthici f(ilio) divi N]ervae n(epoti) / [Traiano Hadria]no Aug(usto) / [pont(ifici) max(imo) trib(unicia) p]otest(ate) V / [co(n)s(uli) III Plancia M(arci) f(ilia)] Magna			37.7989877	31.0710354						
EDCS-05300126	IK-54, 00095	Lycia et Pamphylia	Aksu / Perge		Augusti/Augustae;  mulieres;  tituli honorarii;  tituli sacri;  tria nomina;  viri	[Imp(eratori) Caesari divi] Traiani / [Parthici f(ilio) divi N]ervae n(epoti) / [Traiano Hadria]no Aug(usto) / [pont(ifici) max(imo) trib(unicia) p]otest(ate) V / [co(n)s(uli) III Plancia M(arci) f(ilia)] Ma[gna] // 			37.7989877	31.0710354		GR				
