EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-10400133	AE 1997, 01340	Macedonia	?	125 to 125	Augusti/Augustae;  miliaria;  tituli sacri;  viri	[Imp(erator) Caesar] / [divi] Traiani Par/thici f(ilius) divi Ner/vae nepos Trai/anus Hadrianus / Augustus ponti[f(ex)] / max(imus) trib(unicia) potest(ate) / VIIII co(n)s(ul) III / a civitate m(ilia) p(assuum) I	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0071684;HD049791		
EDCS-10400134	AE 1997, 01341	Macedonia	?	125 to 125	Augusti/Augustae;  miliaria;  tituli sacri;  viri	[Imp(erator) Caes(ar) divi] / [Traiani Parthici f(ilius)] / [divi Nervae nepos Tra/i]anu[s Hadrianus Augus]/[t]us po[ntif(ex)] / [ma]x(imus) trib(unicia) [potes(tate)] / VIIII co(n)[s(ul) III] / a civi[tate] / m(ilia) p(assuum) VII[3]	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0071685;HD049792		
EDCS-67200445	AE 2007, 01274	Macedonia	?	201 to 250			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065241		
EDCS-67200446	AE 2007, 01275	Macedonia	?	191 to 191			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065242		
EDCS-78300271	AE 2017, 01287 = IG-10-02-01, 01280	Macedonia	?	-100 to 100	mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina	Posilla Atilia sorori / Secundae suae	lapis									
EDCS-78300272	AE 2017, 01288 = IG-10-02-01, 01043	Macedonia	?	101 to 200	mulieres;  tituli sepulcrales;  tria nomina;  viri	]o Apolloni / et T(ito) Luscio Recepto / et Lusciae Quaesitae / vivae ex testamento / arbitratu / P(ubli) Popilli Salvi et T(iti) Lusci / Felicis	lapis									
EDCS-78300274	AE 2017, 01290 = IG-10-02-01, 01369	Macedonia	?	101 to 200	mulieres;  nomen singulare;  officium/professio;  servi/servae;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Helleno Aug(usti) / vern(ae) disp(ensatori) kalendari(i) / Caesiani pro/vinciae Mace/doniae / Accia Zosime / coniugi / karissimo	lapis									
EDCS-78300275	AE 2017, 01291 = IG-10-02-01, 01570	Macedonia	?	1 to 100	viri	[3] N(umeri) f(ilius?) Q(uirina) / [	lapis									
EDCS-78300276	AE 2017, 01292 = IG-10-02-01, 01571	Macedonia	?	1 to 200	tria nomina;  viri	]M[3] / [3 V]ol(tinia) Rufu[s 3] / [3] Qu(inti) f(ilius) Bassus [3] / [3] f(ilius) Vo[l(tinia) // ]offula [3] / [3]ursus T[	lapis									
EDCS-78300277	AE 2017, 01293 = IG-10-02-01, 01572	Macedonia	?	1 to 200		]IV[3] / [3]APEIV[3] / [3]LIVS[3] / [3]VLIVS[3] / [3]APE[	lapis									
EDCS-78300278	AE 2017, 01294 = IG-10-02-01, 01614	Macedonia	?	1 to 300		[3]TVPE / [3]NIBV / [3]TARE / [	lapis									
EDCS-67300101	IG-10-02-01, 00019 = AE 1991, 01417	Macedonia	?	101 to 300	Augusti/Augustae;  leges;  viri							GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD053889		
EDCS-78300273	IG-10-02-01, 01290	Macedonia	?	101 to 200	tituli sepulcrales	]e salve	lapis									
EDCS-72400218	Lupa 28453	Macedonia	?		tituli possessionis	Antoniani / Aug(usti) n(ostri)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_28453		
EDCS-67200643	SEG-44, 00545 = IG-10-02-02, 00161 = AE 1994, 01583	Macedonia	?	101 to 200								GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052776		
EDCS-67200679	SEG-47, 00912 = IG-10-02-02, 00229 = AE 1998, 01225	Macedonia	?	101 to 200								GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD045716		
EDCS-67200620	SEG-48, 00882 = AE 1999, 01410	Macedonia	?	286 to 310								GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD007903		
EDCS-67200831	SEG-52, 00654 = AE 2002, 01296	Macedonia	?	101 to 300			lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD043101		
EDCS-24200081	Philippi 00582	Macedonia	Aggista / Aghista / Angista / Philippi	1 to 200	liberti/libertae;  tituli sepulcrales;  tria nomina;  viri	C(aius) Firmius / pater / C(aius) Firmius / Sex(tus) Firmius / L(ucius) Firmius / Eros liberti / patrono			40.976369	23.9620401				http://db.edcs.eu/epigr/partner.php?s_language=en&param=E582;HD050677		
EDCS-16201098	SIRIS 00120 = Philippi 00581 = RICIS-01, 00113/1006 = RICIS-S-02, p 281 = AE 1923, 00094 = AE 1924, 00049 = AE 1930, 00049	Macedonia	Aggista / Aghista / Angista / Philippi	101 to 300	sacerdotes pagani;  tituli operum;  tituli sacri;  tria nomina;  viri	[I]sidi Reg(inae) / L(ucius) Titonius / Suavis sac(erdos) / mensam et ba/sim d(e) s(ua) p(ecunia)			40.976369	23.9620401			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RICIS_S_02_113_1006.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=E581;HD025683;1ae1923-27;1ae1924-11;1ae1930-12		
EDCS-08300540	Philippi 00558 = CIPh-02-01, p 386 = AE 1985, 00774 = AE 1986, 00629 = AE 2006, 01326	Macedonia	Aghio Pneuma / Hagion Pneuma / Philippi	1 to 200	liberti/libertae;  nomen singulare;  officium/professio;  viri	Gamicu[s] / conduct[or] / an(norum) X / lib(ertus) Pont[ior(um)] / Nous C[3]			41.046217	24.406128				http://db.edcs.eu/epigr/partner.php?s_language=en&param=E558;HD008118		
EDCS-43000206	Philippi 00539b = SEG-38, 00705 = SEG-38, 02038	Macedonia	Aghios Christoforos / Hagios Christophoros Kozanis / Philippi						41.0420467	23.7731252		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=E539b		
