EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-27600689	CIL 08, 22644,304u	Mauretania Caesariensis	'Ain Beida		sigilla impressa;  tituli fabricationis	Ex of(f)/i(cina) Q(uinti) Sem(proni)	opus figlinae		36.8	3.2833						
EDCS-27600690	CIL 08, 22644,387	Mauretania Caesariensis	'Ain Beida		sigilla impressa;  tituli fabricationis	Claeni	opus figlinae		36.8	3.2833						
EDCS-27600691	CIL 08, 22644,388	Mauretania Caesariensis	'Ain Beida		sigilla impressa;  tituli fabricationis	OIMOD	opus figlinae		36.8	3.2833						
EDCS-24400443	CIL 08, 08423 = ILCV 04921 = EChrAfr-02, 00149 = AntAfr-1981-191,73	Mauretania Caesariensis	'Ain Khalfoun		mulieres;  tituli sepulcrales;  tria nomina;  viri	Caelia Tha/lassa Iudaea / vixit ann(os) XX / m(enses) IIII M(arcus) Avil/lius Ianuarius / coniugi karis/simae	lapis		36.183333	5.333333				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0029903		
EDCS-24400444	CIL 08, 08424 (p 970)	Mauretania Caesariensis	'Ain Khalfoun			Bene laves / (h)o<di=Z>e ades / cras grat/is Restuta // Saluvi AVISE / Bono<s=O>i / fieri iusit / ex HS [			36.183333	5.333333				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0036128		
EDCS-77400169	AE 1897, 00037	Mauretania Caesariensis	'Ain Tekbalet			?	lapis	unleserlicher Text	35.133333	-1.200000			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1897_00037.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1897-11		
EDCS-27100133	CIL 08, 21715	Mauretania Caesariensis	'Ain Tekbalet			DI III EO[3]H III EI[3]A[1] III [1] E[3] / I[1]Y II DE[3]VI CCC [3]X [1] III I[3] / ET III VE[3] A[1]I[1] XC[3]IAV S(?) [3] / FA IE E[3] I[1]A[1] EVE [3]ATO [3] / III A D [3]FC II DE[3] E [3] OIC [3] / s(an)c(t)as [3] E[3]BE[3]CO / [3]AE[3]GAFO[1]I[3]OSA[			35.133333	-1.200000				http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0018531		
EDCS-27100125	CIL 08, 21707	Mauretania Caesariensis	'Ain el Bridj		tituli sepulcrales	D(is) M(anibus) s(acrum) / Aureli/us Satu/rninu/s vixit / an(n)i[s			35.1666669	-1.150000						
EDCS-27100126	CIL 08, 21708	Mauretania Caesariensis	'Ain el Bridj		tituli sepulcrales	D(is) M(anibus) s(acrum) / Cl(audius) Rufinus / vix(it) an(nos) VI me(nses) V / [3] Cl(audius) Maianesis / vix(it) an(nos) II Cl(audius) R[3] / [3] fili(i)s			35.1666669	-1.150000						
EDCS-27100127	CIL 08, 21709	Mauretania Caesariensis	'Ain el Bridj		tituli sepulcrales	D(is) M(anibus) s(acrum) / Colaibutsenis / vixit annis LXXV / Messor et Cani/nius et MONAN / P[1]VIS sepulcro / fecerunt			35.1666669	-1.150000						
EDCS-27100128	CIL 08, 21710	Mauretania Caesariensis	'Ain el Bridj		tituli sepulcrales	]/cutai Fortu/nati vixit / annis XXX / Arator / fecit			35.1666669	-1.150000						
EDCS-27100129	CIL 08, 21711	Mauretania Caesariensis	'Ain el Bridj		mulieres;  tituli sepulcrales;  viri	D(is) M(anibus) s(acrum) / Flavia Satura / vixit annis XX / Vinni(us) Felix co(n)/iugi suae bene / m(erenti) fecit			35.1666669	-1.150000						
EDCS-27100130	CIL 08, 21712	Mauretania Caesariensis	'Ain el Bridj			MA DDA / G MVCT / S LXXIII[3] / Elio fili[			35.1666669	-1.150000						
EDCS-27100131	CIL 08, 21713	Mauretania Caesariensis	'Ain el Bridj		tituli sepulcrales	[D(is)] M(anibus) s(acrum) / [3]RAN Nabtafis vixit / [a]nnis LXXXI Donata marita / [ma]rito suo fecit / bene merenti			35.1666669	-1.150000						
EDCS-27100132	CIL 08, 21714	Mauretania Caesariensis	'Ain el Bridj		tituli sepulcrales	M D SV / [3]ICI[1]VM / SVMARI / BVIEME / R[3]I so/rori sua<e=I> / vixit a(n)/nos XX			35.1666669	-1.150000						
EDCS-26900187	CIL 08, 22636,09	Mauretania Caesariensis	'Ain el Bridj		sigilla impressa;  tituli fabricationis	C D	opus figlinae		35.1666669	-1.150000						
EDCS-25001456	CIL 08, 12423	Mauretania Caesariensis	'Ain es Safsaf			Faustus [3] / Pris[			35.216667	0.283333						
EDCS-25700435	CIL 08, 20226	Mauretania Caesariensis	'Ain es Safsaf		tituli sepulcrales	D(is) M(anibus) s(acrum) / V() Paris / Fortuva(!) / a(nnos?) VXV			35.216667	0.283333						
EDCS-25700436	CIL 08, 20227	Mauretania Caesariensis	'Ain es Safsaf		tituli sepulcrales	D(is) M(anibus) s(acrum) / Ti(berius) <G=C>raniu/s Emilius / v(ixit) a(nnos) LXXXV			35.216667	0.283333						
EDCS-25700437	CIL 08, 20228	Mauretania Caesariensis	'Ain es Safsaf		tituli sepulcrales	D(is) M(anibus) s(acrum) / Sabini/a Mai[3]/a v(ixit) a(nnos) C/XV			35.216667	0.283333						
EDCS-25700438	CIL 08, 20229	Mauretania Caesariensis	'Ain es Safsaf		tituli sepulcrales	Dis / M(anibus) XL/I vix(it) [a(nnos)] / XXV			35.216667	0.283333						
EDCS-24501183	CIL 08, 24051	Mauretania Caesariensis	'Ain es Safsaf			Primigenius / Neronius			35.216667	0.283333						
EDCS-24501184	CIL 08, 24051a	Mauretania Caesariensis	'Ain es Safsaf			Probe[			35.216667	0.283333						
EDCS-16201715	LBIRNA 00495 = AE 1917/18, 00068	Mauretania Caesariensis	'Ain es Soltane, Kherbet el	227 to 227	Augusti/Augustae;  ordo equester;  tituli honorarii;  tituli operum;  tria nomina;  viri	Infatigabili indulgen(t)ia / domini n(ostri) Severi / Alexandri Pii Felicis Aug(usti) / auctis viribus et moeni/bus suis castellan(i) Cito/factenses muros ex(s)trux/erunt curante [3] Licin(i)o Hie/roclete procuratore Aug(usti) / praeside provinciae a(nno) p(rovinciae) CLXXXVIII	lapis		35.966667	5.533333			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$JL_AE_1917-18_00068.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0047864;HD026436;1ae1917-16;1ae1917-17		
EDCS-08900732	AE 1980, 00996	Mauretania Caesariensis	?			Cum est civitas ii]s data aut / [si qui caelibes essent cum iis qu]as postea / [duxissent dumtaxat singuli si]ngu[las] // Leona]e / [P(ubli) Atini Cr]escentis								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD006704		
EDCS-27100217	CIL 08, 21809 = ILCV 03720	Mauretania Caesariensis	?	452 to 452	inscriptiones christianae;  tituli operum;  tituli sepulcrales;  viri	Mensa [3]gasenis <q=C>(u)o/ndam MASERE filius / vix{s}it an(nos) p(lus) m(inus) LXXIII / et me(nsem) I a(nno) p(rovinciae) CD et XIII								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0054781		
EDCS-27100218	CIL 08, 21810	Mauretania Caesariensis	?		tituli sepulcrales	D(is) M(anibus) s(acrum) / Q(uintus) Petron(ius) / Castus fe(cit) / Quinto et / Castulo / filibus pi(iissimis) / vixerunt an(nos) / VI m(enses) IIII h(oram) / h(ic) s(iti) s(unt)										
EDCS-27100219	CIL 08, 21811	Mauretania Caesariensis	?		tituli sepulcrales	D(is) M(anibus) s(acrum) / Victor Ger/mani VI / VITA[										
EDCS-70100039	MEFR-1964-158	Mauretania Caesariensis	Adjala	356 to 356	mulieres;  tituli sepulcrales;  tria nomina	Maria Mellita vix[it] annis XXX / debitum v(itae) co<m=N>pl[e]vit die II Non<as=O> / Octob(res) an(no) p(rovinciae) CCCXVII										
EDCS-80600061	BSHS-1941-106,31	Mauretania Caesariensis	Agoub		mulieres;  tituli sepulcrales;  tria nomina	D(is) M(anibus) s(acrum) / Met(tia?) Via/toria m/[arita c]aris/[sima(?) v]ixit / [annos 3]I	lapis									
EDCS-24400438	CIL 08, 08418	Mauretania Caesariensis	Ain Abessa		tituli sepulcrales	D(is) M(anibus) / Hostilia Octavia / vixit [annos(?)] IX / h(ic) s(ita) e(st) Aureli(us) / Cirrus [et] Logus / matri piissimae fec(erunt) // D(is) M(anibus) L(ucius) / Au[reli]/us Crailus vi[x(it) a(nnos)] / LXXX Aureli Cir/rus [et] Logus pa/tri piisimo fec(erunt)			36.2980641	5.2893433						
EDCS-24400442	CIL 08, 08422	Mauretania Caesariensis	Ain Arnat		tituli sepulcrales	D(is) M(anibus) s(acrum) / C(aius) Munius / C(ai) filius Papi/ria Victorinus / unus ex ordine / Sitifensium v(ixit) a(nnos) LV / h(ic) s(itus) e(st) / fili(i) suo patri karissimo f(ecerunt)			36.1900716	5.3163224						
