EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-28501009	CIL 03, 06050	Mesopotamia	?		tituli sepulcrales;  viri	] L(ucio) Severo / [3] et [3]I / [3]SIIIM / [3]IIT [										
EDCS-22300113	CIL 03, 00213 (p 973) = CIL 03, 06730	Mesopotamia	Diyarbakir / Amida / Ad Tygrem		Augusti/Augustae;  tituli sacri;  viri	Virtute pr(a)ecipius Invictisq(ue) / Imperatoribus salvis / Valentiniano Val[ente et] / Gratiano perpe[tuis] / ac triumfatoribus [se]m/per Au[ggg(ustis)] civitas [3] / pietatis eorum [memor] / fabricav[i]t			37.9167467	40.2227753				http://db.edcs.eu/epigr/partner.php?s_language=en&param=S1189		
EDCS-16200794	AE 1927, +00151 = AE 1927, 00161 = AE 1928, 00155	Mesopotamia	Karse		Augusti/Augustae;  tituli operum;  tituli sacri;  viri	Imp(erator) Caes(ar) [di]vi / Nervae f[i]l(ius) Nerva / Traianus Optimus / Aug(ustus) G[er]manicus / Dacicus [Pa]rthicus / pontif(ex) [max(imus) t]rib(unicia) [potes]/[tate								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD023800;1ae1927-40;1ae1927-44;1ae1928-43;1ae1928-44		
EDCS-16200893	AE 1926, 00087	Mesopotamia	Mossul / Mosul / Al Mawsil		Augusti/Augustae;  milites;  mulieres;  tituli honorarii;  viri	[Pro salute] / [Imp(eratoris) Caes(aris) M(arci) Aure]/[li] Severi [Alexandri] Pii Fel(icis) Invicti Aug(usti) / et Iuliae [Mamaeae] / Aug(ustae) matris Aug(usti) n(ostri) / et castr(orum) mil(ites) leg(ionis) / I P(arthicae) Sever(ianae) [Alexandrian(ae)] / q(ui) mil(itare) coeperunt / Messal(a) et Sabino / co(n)s(ulibus)			36.3415843	43.1291386				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD024148;1ae1926-21		
EDCS-78700093	AE 1934, 00216 = SEG-07, 00045	Mesopotamia	Nusaybin / Nisibis	101 to 300	tituli sacri		lapis		37.0825824	41.2145386		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P314486;1ae1934-57		
EDCS-22300112	CIL 03, 00212 = AE 2007, 01632	Mesopotamia	Nusaybin / Nisibis		Augusti/Augustae;  milites;  tituli honorarii;  tituli operum;  viri	Iustino Imperatori dilectissimo / exercitus eius Orientis gentem barbaram / e curru statuario cautionem ad gloriam / construxit			37.0825824	41.2145386				http://db.edcs.eu/epigr/partner.php?s_language=en&param=S1188		
EDCS-08400548	AE 1984, 00917	Mesopotamia	Osrhoene	193 to 211	milites;  sigilla impressa;  tituli fabricationis	Leg(ionis) IIII Scyt(hicae)	opus figlinae		37.158333	38.791667				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD001988		
EDCS-08400549	AE 1984, 00918 = AE 2007, +01631	Mesopotamia	Osrhoene	197 to 197	Augusti/Augustae;  milites;  tituli honorarii;  tituli operum;  viri	[Imp(eratori) L(ucio) Septimio Se]vero Pio Pertinaci / [Aug(usto) Arab(ico) Adiab(enico) p]ont(ifici) max(imo) trib(unicia) pot(estate) V / [imp(eratori) X co(n)s(uli) II vex]ill(atio) leg(ionis) IIII Scyth(icae) / [3]no castellum fec(it)	lapis		37.158333	38.791667				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0105398;HD001991		
EDCS-08400551	AE 1984, 00920	Mesopotamia	Osrhoene	205 to 205	Augusti/Augustae;  litterae erasae;  miliaria;  ordo equester;  reges;  tituli operum;  tria nomina;  viri	Imp(erator) Caes(ar) L(ucius) Septimius / Severus Pius Pertinax / Aug(ustus) Arab(icus) Adiab(enicus) Parth(icus) / max(imus) pont(ifex) max(imus) trib(unicia) pot(estate) / XIII imp(erator) XII co(n)s(ul) III p(ater) p(atriae) / et Imp(erator) Caes(ar) M(arcus) Aurel(ius) / Antoninus Aug(ustus) Augusti / n(ostri) fil(ius) trib(unicia) pot(estate) VIII co(n)s(ul) / II et [[P(ublius) Septimius Geta]] / Caes(ar) co(n)s(ul) fil(ius) et frater / Aug(ustorum) nn(ostrorum) viam ab Euphrate / usque ad fines regni Sept(imi) / Ab(g)ari a novo munierunt / per L(ucium) Aelium Ianuarium / proc(uratorem) Aug(usti) prov(inciae) Osrhoenam(!) / m(ilia) p(assuum) XXXXVIII	lapis		37.158333	38.791667				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0105399;HD001997		
EDCS-08400550	Coriat p 93 = AE 1984, 00919 = AE 2007, +01631 = AE 2014, +00035 = AE 2015, +00054	Mesopotamia	Osrhoene	195 to 195	Augusti/Augustae;  leges;  ordo equester;  reges;  termini;  tria nomina;  viri	Ex auctoritate Imp(eratoris) Caes(aris) / L(uci) Septimi Severi Pii Per/tinacis Aug(usti) Arab(ici) Adiab(enici) / pontif(icis) max(imi) trib(unicia) pot(estate) III / imp(eratoris) VII co(n)s(ulis) II p(atris) p(atriae) C(aius) Iul(ius) / Pacatianus proc(urator) Aug(usti) inter / provinciam Osrhoenam et / regnum Abgari fines posuit	lapis		37.158333	38.791667				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0105397;HD001994		
