EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-21000711	RMD-05, 00341 = ZPE-133-271 = AE 2000, 01850	Moesia inferior | Moesia superior	?		Augusti/Augustae;  diplomata militaria;  milites;  viri	tribu]nic(ia) potes[tat(e) 3] / equitibu]s et peditib[us qui militant in] / [alis tri]bus et <c=G>ohor[tibus sex quae appell]/[antur Voc]ontiorum [et // quae appellant]ur Voconti[orum et Augusta] / [et Apriana et I] Hispanorum [et I Thebaeorum] / [et I Pannoni]orum et I Flav[ia Cilicum et] / [II Ituraeoru]m et III Itura[eorum et class]/[icis et sunt i]n Aegypto su[b 3] / [item dimissis ho]nesta miss[ione qui XXV] / [stip(endia) plur(ave) mer(uerunt) quor]um nomin[a subscripta su]/[nt ipsis liberis po]sterisque e[orum civitatem] / [dedit	aes						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_2000_01850_1.jpg;$AE_2000_01850_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055819		
EDCS-09300539	AE 1976, 00589a	Moesia superior	?	284 to 305	milites;  sigilla impressa;  tituli fabricationis	Leg(io) VII Cl(audia) C(uppis)	opus figlinae							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012510		
EDCS-11300163	IIFDR 00430 = AE 1976, 00589b	Moesia superior	?	301 to 400	milites;  sigilla impressa;  tituli fabricationis	III Viminace(nsium)	opus figlinae						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IIFDR_00430.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012513		
EDCS-10100482	ILJug-03, 01458a	Moesia superior	?	151 to 250	tituli sepulcrales	A[3]LVSCIPIV[3] / LIA [3]IMULACONLAC[3] vixit an(nos) X[3] / A[3]VSATICIUSEL[3]NASIBIVI[3] / [3]DEFV[3]ISFI[3]CVPIA								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033736		
EDCS-37200088	IMS-01, 00178	Moesia superior	?									GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P174387		
EDCS-11201233	IMS-04, 00130a	Moesia superior	?	325 to 325	Augusti/Augustae;  viri	Votis decennalibus Caess(arum) nn(ostrorum)	argentum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_04_00130a.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035932		
EDCS-11201234	IMS-04, 00130b	Moesia superior	?		sigilla impressa;  tituli fabricationis	Nais(si?)	opus figlinae									
EDCS-11201241	IMS-04, 00134	Moesia superior	?	358 to 358	Augusti/Augustae;  tituli possessionis;  viri	D(ominus) n(oster) Constantius perp(etuus) triumf(ator) Aug(ustus) // p(ondo) II	argentum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_04_00134b.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035939		
EDCS-11201240	IMS-04, 00134a	Moesia superior	?	358 to 358	Augusti/Augustae;  tituli possessionis;  viri	Const(antius)	argentum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_04_00134a.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035938		
EDCS-11201386	IMS-06, 00206	Moesia superior	?		miliaria	ab] U(lpiana) LXV	lapis									
EDCS-72300305	Lupa 28789	Moesia superior	?		tituli sacri;  viri	[3 Ge]nio / [3]S L(ucius) Sept(imius) / [3]PTI / [3]T / [							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_28789		
EDCS-72300306	Lupa 28790	Moesia superior	?		Augusti/Augustae;  tituli sacri;  viri	[Pro salute(?)] / [L(uci) Sept(imi) Sev]eri Per[tinacis 3] / [3]is Aug(usti) e[t] / [M(arci) Au]r(eli) Antonin[i 3] / [3 Getae] Caes(aris) Aug[gg(ustorum)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_28790		
EDCS-30200752	CIL 03, 14556 = IMS-04, 00094	Moesia superior	Aleksinac / Praesidium Pompei	171 to 250	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Aur(elius) Atti/anus mil(es) co[h(ortis) 3 Au]r(eliae) D[ardanorum	lapis		43.5416667	21.7077778			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_04_00094.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035913		
EDCS-30200753	CIL 03, 14557 = IMS-04, 00096	Moesia superior	Aleksinac / Praesidium Pompei	171 to 250	mulieres;  tituli sepulcrales;  tria nomina;  viri	] / v[i]x(it) an(nos) IIII [p]osi/tus es(t) Au(relius) Bitus / pat(er) et Au(relia) Candi/da ma(ter) filio ca(rissimo) / et nepo(ti) et / sibi vi(v)i / p(osuerunt)			43.5416667	21.7077778			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_04_00096.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035915		
EDCS-30200754	CIL 03, 14558 = IMS-04, 00097	Moesia superior	Aleksinac / Praesidium Pompei	71 to 200	nomen singulare;  tituli sepulcrales;  viri	]us Bas/si frat(ri) b(ene) m(erenti) / h(ic) s(itus) e(st)			43.5416667	21.7077778			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_04_00097.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035916		
EDCS-30200755	CIL 03, 14559 = IMS-04, 00100	Moesia superior	Aleksinac / Praesidium Pompei	151 to 300	tituli sepulcrales;  viri	] Candidus [3] / [3] fili(i) b(ene) m(erenti) p(osuerunt) [	lapis		43.5416667	21.7077778			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_04_00100.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035919		
EDCS-10000154	ILJug-01, 00032 = AE 1984, 00763 = IMS-06, 00077	Moesia superior	Arachinovo / Aracinovo / Scupi	101 to 200	tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / G(aius!) Acilius / Cris(pus) vix(it) / annis XXXV / h(ic) s(itus) e(st) / G(aius!) Acili(us) / Dexter / filio p(iissimo) f(aciendum) c(uravit)	lapis		42.0252965	21.5577659			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_06_00077.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD002061;lu_28181		
EDCS-11201298	IMS-06, 00074	Moesia superior	Arachinovo / Aracinovo / Scupi	71 to 150	liberti/libertae;  seviri Augustales;  tituli sepulcrales;  tria nomina;  viri	Marus / Elliu[s M(arci) l(ibertus?)] / Phoe[bus] / Aug(ustalis) col(oniae) / Scup(inorum) vix(it) / an(nos) LXXV / h(ic) s(itus) e[s]t / her(edes) f(aciendum) [c(uraverunt)] Surus / Ianuar(ius) N[3]eus			42.0252965	21.5577659			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_06_00074.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD030693;lu_28167		
EDCS-11201350	IMS-06, 00139	Moesia superior	Arachinovo / Aracinovo / Scupi	1 to 300	mulieres;  tituli sepulcrales;  tria nomina;  viri	Petillia Clara vix(it) annis IIII // D(is) M(anibus) // L(ucius) Pet/ilius / Lupus / vixit / annis / XXV h(ic) s(itus) e(st) / Vesidia / [Inge]nu/[a mat]er / [fili]o d/[ul]cissi/[m]o posuit			42.0252965	21.5577659			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IMS_06_00139.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD036165;lu_28152		
EDCS-11201372	IMS-06, 00176	Moesia superior	Arachinovo / Aracinovo / Scupi	1 to 300	mulieres;  tituli sepulcrales;  viri	con]iugi [3] / [3 po]suit [			42.0252965	21.5577659				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD036258		
EDCS-62701031	AAntHung-1967-102	Moesia superior	Archar / Arcar / Ratiaria		milites;  tituli sepulcrales;  tria nomina;  viri	]nis f(ilius) Fuscus eq(ues) ala Gal(l)i/ca vixit an(nos) / XL meruit / an(nos) XXV h(ic) s(itus) e(st) / herede[s et(?)] / frater [3] / [3]MV[			43.8081768	22.9178925						
EDCS-16800239	AE 1902, 00070 = AE 1905, 00219	Moesia superior	Archar / Arcar / Ratiaria	201 to 300	officium/professio;  sacerdotes pagani;  tituli sacri;  tria nomina;  viri	[H]erculi Invicto / Aur(elius) (H)erodes / et Iul(ius) Super / pro s(alute) collegi(i) / v(otum) [l(ibens)] a(nimo) m(erenti) pos(uerunt)			43.8081768	22.9178925				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD031893;1ae1902-21;1ae1905-55		
EDCS-77600059	AE 1905, 00221	Moesia superior	Archar / Arcar / Ratiaria		tituli sepulcrales		lapis		43.8081768	22.9178925		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1905-55		
EDCS-16400137	AE 1911, 00213	Moesia superior	Archar / Arcar / Ratiaria	151 to 250	mulieres;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / G(aio!) Valerio / Alexan/dro q(ui) v(ixit) a(nnos) / L Iulia Pol/litta co(n)iux / et / Valerii Ma/rcian(us) o(rnatus) o(rnamentis) dec(urionalibus) / Marcus Phi/lisc(us) Alexan/dria Iulia fili(i) / patri b(ene) m(erenti)			43.8081768	22.9178925				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD029121;1ae1911-49		
EDCS-16300575	AE 1912, 00052	Moesia superior	Archar / Arcar / Ratiaria	197 to 209	Augusti/Augustae;  litterae erasae;  mulieres;  tituli sacri;  viri	Pro sal(ute) et pro i[nco]/lumitate Impp(eratorum) L(uci) [Sep(timi)] / Severi Pii Pert(inacis) et M(arci) [Aur(eli)] / [A]ntonin[i Au]gg(ustorum) [et] / [[[P(ubli) S]ep(timi) Geta[e Ca]e[s(aris)]] et] / [Iulia]e Aug(ustae) m[atris	lapis	"The name of Geta on line 5 has been subjected to damnatio memoriae, but some of the letters are still readable. The name of Iulia Domna on line 6 was apparently given as ""[Iulia]e Aug.""; there is seemingly no place to restore two names, e.g. ""[Iul(iae) Domna]e Aug.""; ""m[atris]"" could have been part of either ""m[atris Augg(ustorum) et Caes(aris)]"" or ""m[atris castrorum]"". [Nicolay Sharankov]"	43.8081768	22.9178925				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD027969;1ae1912-16		
EDCS-15900093	AE 1914, 00088 = AE 1920, +00108 = AE 1938, 00100	Moesia superior	Archar / Arcar / Ratiaria	201 to 250	milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri	] / et Aur(eli) Longi/ni v(ixit) a(nnos) VI et Aur(eli) / Bessi v(ixit) a(nnos) V Au/relia Mathae / et Aur(elius) Ursus / ducenar(ius) b(ene) m(erentibus) / posuer(unt)			43.8081768	22.9178925				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD020963;1ae1914-21;1ae1920-32;1ae1938-31		
EDCS-15800384	AE 1927, 00077 = AE 1939, 00122	Moesia superior	Archar / Arcar / Ratiaria	151 to 300	nomen singulare;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Iuliani / Daphni Thy/atireni / v(ixit) a(nnos) XXX h(ic) s(itus) e(st) / Crispinus / Daphni bu/leuta Thy/atir(enus) fratri / f(aciendum) c(uravit)			43.8081768	22.9178925				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD022629;1ae1927-21;1ae1939-36		
