EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-28800821	CIL 03, 04101 (p 1748)	Noricum	?	101 to 300	ordo decurionum;  viri	]/rimo [3] / c(oloniae) U(lpiae) T(raianae) P(oetovionensis) A[3] / Firm[3] / Marc[3] / T[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD074485		
EDCS-14500734	CIL 03, 05425 = ILLPRON 01495 = RIS 00004	Noricum	?	1 to 200	mulieres;  nomen singulare;  tituli sepulcrales;  viri	Velleco / Cacurdae f(ilius) / et Deusa / Ituli f(ilia) con(iux) et / Angulato f(ilio) / an(norum) X								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0072973;HD038052		
EDCS-14501072	CIL 03, 05694	Noricum	?	1 to 200	mulieres;  tituli sacri;  tria nomina;  viri	[I(ovi) O(ptimo) M(aximo) et Iun]oni Reg(inae) / [3 Val]entinus / [3 et V]al(eria) Ursa / [v(otum) s(olverunt)] l(ibentes) m(erito)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067524		
EDCS-14501073	CIL 03, 05695 (p 1049) = CIL 03, 11827 = CLE 00568 = RIS 00396 = CLEPann 00021	Noricum	?	201 to 300	carmina;  mulieres;  nomen singulare;  tituli operum;  tituli sepulcrales	] iusseru[nt] pat[3]V[3] non for[e(?) i]ll[i] / nunc matris pietate<m=V><h=N>abet per dom(i)nica r[ura 3] / <e=I>t licuit matri corpus sepe(li)re dolendum / qu(a)e nunc (h)abet titul(um?) non terr(a)e inimic(a)e ia[centem] / se<d=T> potius donis sollemnibus esse colend[um] / Surilla ego s<u=O>(m) qu(a)e per<i=E>mor filia Cloe[s]	lapis	cinerarium					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0042252;Qepsg.1038;Qepsg.631;lu_1693;HD064098;m|ce|0568		
EDCS-14501074	CIL 03, 05696	Noricum	?	1 to 300	mulieres;  tituli sepulcrales;  tria nomina;  viri	Ae]lia[e 3] / [3]iorinae / [3 vixit] ann(os) XXXIII / [3] Aeli(us) / [3] Pau[l]linus / [								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067525		
EDCS-14501075	CIL 03, 05697	Noricum	?	1 to 300	mulieres;  nomen singulare;  tituli sepulcrales;  viri	Bruto Gintussae f(ilio) an(norum) LXXXXV / [f(ecit)] sibi et Meleiae Bricosticis / filiae uxori et Ressico / f(ilio) et Arioni f(ilio) an(norum) XXX et / Vetuo f(ilio) [et] Vaenoni fili(a)e / an(norum) XXX et Annico Ve[3] / fi[l(io)] an(norum) XXV	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0118002;HD067526		
EDCS-14500983	CIL 03, 05701 = ILLPRON 01978 = RIS 00003 = Schober 00235 = CSIR-Oe-04-03, 00014 = AEA 2007, +00055 = AEA 2016/17, +00055	Noricum	?	131 to 170	mulieres;  tituli sepulcrales;  tria nomina;  viri	C(aius) Duronius / Martialis / v(ivus) f(ecit) sibi et / Proculeiae / Proc(u)lae con(iugi) / an(norum) XXX et C(aio) Duro/nio Ursino f(ilio) an(norum) XXX	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0073153;HD038051;lu_1446		
EDCS-14501077	CIL 03, 05702 (p 1049) = CIL 03, 11828	Noricum	?	201 to 300	mulieres;  nomen singulare;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / L(ucio) Tapurio Vestali / et Mercusenae con/iugi eius L(ucius) Tapurius / filius X leg(ionis) trib(unus) / parentib(us) pientiss(imis)	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0103295;HD067527		
EDCS-14600263	CIL 03, 11829 = EQNoricum-S, 00023	Noricum	?	1 to 300	milites;  ordo decurionum;  viri	] / L(ucius?) Gra[3] / Amb[3] / dec(urio?) [3] / H[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067099		
EDCS-14600306	CIL 03, 11869 = CIL 03, 13512	Noricum	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Val(erius) Vict()	opus figlinae									
EDCS-31500211	CIL 03, 13562	Noricum	?		tituli possessionis;  tria nomina;  viri	Q(uintus) / D() / A()										
EDCS-44700042	CSIR-Oe-03-03, 00050	Noricum	?	151 to 300	tituli sepulcrales	D(is) [M(anibus)]	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD066192		
