EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-14800186	AE 1999, 01265	Pannonia inferior	?	197 to 197	Augusti/Augustae;  ordo senatorius;  tituli sacri;  tria nomina;  viri	Hercu]l(i?) pro sal(ute) [Imp(eratoris) Caes(aris)] Luci / [Septimi Severi Aug(usti) e]t Anto/[nini Caes(aris) 3 Cl(audio) Cla]udiano / [3]OSI / [	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD048583		
EDCS-44200275	AE 2006, 01101	Pannonia inferior	?	101 to 300	defixiones;  mulieres;  nomen singulare;  tituli operum;  viri	Ursam Ga[i f(iliam?) defigo] / corpus Ur[sae defigo] / oculos Urs[ae defigo] / totum cor[pus de]/figo cutem co[rporis et(?)] / ung(u)es def[igo 3]	plumbum							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD072497		
EDCS-55702020	AE 2009, 01171	Pannonia inferior	?		nomen singulare;  sigilla impressa;  tituli sacri;  viri	Silvani voti Riesi	opus figlinae									
EDCS-08901099	Anelli p 93 = Toth-01, 00004 = AE 1979, 00473	Pannonia inferior	?	201 to 400	tituli possessionis;  tituli sacri	Matr(ibu)s	aurum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Toth-01_00004.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008269		
EDCS-08901101	Anelli p 94 = Toth-01, 00009 = AE 1979, 00475	Pannonia inferior	?		tituli possessionis;  tituli sacri	Pan(i) et Silvano Aug(ustis)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Toth-01_00009.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008275		
EDCS-26600588	CIL 03, 03570 = CIL 03, 10525 = TitAq-02, 00983	Pannonia inferior	?	101 to 130	milites;  mulieres;  tituli operum;  tituli sepulcrales;  tria nomina;  viri	] / Proculus Savaria / optio leg(ionis) II Ad(iutricis) / stip(endiorum) VI ann(orum) XXV h(ic) s(itus) e(st) / Val(eria) Procula mat(er) / et Val(erius) Fuscus fra(ter) / t(itulum) m(emoriae) p(osuerunt)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0061007;HD071694;lu_3011		
EDCS-26600591	CIL 03, 03589 (p 1041) = CIL 03, 03684 = CIL 03, 10532 = TitAq-02, 00557 = AE 1993, 01311	Pannonia inferior	?	201 to 300	ordo decurionum;  ordo equester;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) // in memoria(m) Aureli Minervini ad/ulescentis nepotis aetate inte/gra qui vixit ann(os) XVII fec(it) Aure/l(ius) Crispus dec(urio) col(oniae) Equ{a}es(tris) eq(ues) R(omanus) av(u)n/culus	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0023406;HD052960;Qepsg.250;lu_2998		
EDCS-28600082	CIL 03, 03667	Pannonia inferior	?	131 to 200	milites;  ordo equester;  tituli sacri;  tria nomina;  viri	[C]ampestr/ibus / Ael(ius) Vales et Ponti(us?) Sabin/us tr(ibunus) ST[	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0028477;HD074787;lu_9882		
EDCS-28600084	CIL 03, 03670	Pannonia inferior	?	101 to 200	nomen singulare;  tituli sacri;  viri	Paci / deae / Avitus	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0032908;HD074788;lu_9724		
EDCS-28600086	CIL 03, 03673 = AE 2017, +01139	Pannonia inferior	?	101 to 300	Augusti/Augustae;  tituli sacri;  viri	] / pro salute / Aug(usti) / [v]icanis Ba/soretensi/bus / Prisco P[3]C[3] / d(ecreto) d(ecurionum)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD074789;lu_9726		
