EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-09701174	AE 1969/70, 00542	Pannonia inferior | Pannonia superior	?	101 to 150	tituli sepulcrales	]/IVNI[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD012244		
EDCS-72800147	MREN, p 53	Pannonia inferior | Pannonia superior	?	301 to 400	inscriptiones christianae	Vivas tuis							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$MREN_53.jpg			
EDCS-09900313	RIU-03, 00744	Pannonia inferior | Pannonia superior	?	201 to 300	Augusti/Augustae;  tituli sacri;  viri	]li Aur[3] / [3] ex voto [3] / Imp(eratori?) d(omino?) n(ostro?) [	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RIU_03_00744.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038272		
EDCS-09900315	RIU-03, 00746 = IPSSTA 00037	Pannonia inferior | Pannonia superior	?	131 to 170	mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Ulpiae Almae / an(norum) XVIII / Ulpius Casso / fil(iae?) p(ientissimae?) <f=E>(ecit)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AP_IPSSTA_00037.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038273;lu_3280		
EDCS-09900316	RIU-03, 00747	Pannonia inferior | Pannonia superior	?	171 to 300	tituli sepulcrales	D(is) M(anibus)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038274;lu_3852		
EDCS-09900317	RIU-03, 00748	Pannonia inferior | Pannonia superior	?	151 to 300	tituli sepulcrales	D(is) M(anibus) / A[	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD038275;lu_3282		
EDCS-21000710	RMD-05, 00461 = AE 2000, 01849	Pannonia inferior | Pannonia superior	?	221 to 222	Augusti/Augustae;  diplomata militaria;  milites;  sacerdotes pagani;  tituli sacri;  viri	divi Sev]eri Pi[i nepos M(arcus) Aurellius Antoninus] / [Pius Feli]x Au[g(ustus) sacerdos amplissimus dei] / [Invicti Soli]s E[lagabali pontif(ex) max(imus) trib(unicia)] / [pot(estate) IIII(?) co(n)s(ul) III(?)] p(ater) p(atriae) et [Imp(eratoris) Caes(aris) M(arci) Aurelli Antoni]/[ni Pii Fel(icis) Aug(usti) f(ilius)] divi [Antonini Magni Pii nep(os)] / [ // M(arcus) Au]rellius A[ntoninus Pius Felix Aug(ustus) sacerdos] / amplissim[us dei Invicti Solis Elagabali] / [po]ntif(ex) maxi[m(us) trib(unicia) pot(estate) IIII(?) co(n)s(ul) III p(ater) p(atriae) et] / [I]m[p(eratoris) Caes(aris) M(arci) Aurelli Antonini Pii Felicis Aug(usti) f(ilius)	aes							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055818		
EDCS-05000670	AE 1991, 01299	Pannonia superior	?	201 to 300	tituli sacri	[Si]lva[n(o)] Silv(estri)	argentum							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055409		
EDCS-32601986	AEA 2001/02, 00095	Pannonia superior	?			Utere felix										
EDCS-43201237	CIGP 00191	Pannonia superior	?	201 to 300	tituli possessionis							GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD024733		
EDCS-28900066	CIL 03, 04612	Pannonia superior	?	201 to 300		]silla [3] / [3]ns et vivi[3] / [3]on V[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055943		
EDCS-28900115	CIL 03, 04655n (p 2328,196)	Pannonia superior	?			Leg(io) <I=T> A(diutrix) P(ia) F(idelis)										
EDCS-28500978	CIL 03, 06016,02	Pannonia superior	?			Merc(uri)										
EDCS-28500979	CIL 03, 06016,05 = CIL 03, 13556 = SEBarc-10, p 243 = Beyeler-2011, 00006	Pannonia superior	?	301 to 400	Augusti/Augustae;  tituli possessionis;  viri	Co(n)stanti / vivas	aurum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Beyeler-2011_00006_1.jpg;$Beyeler-2011_00006_2.jpg			
EDCS-28500980	CIL 03, 06016,08	Pannonia superior	?			Lusitani										
EDCS-30100552	CIL 03, 11349b (p 2197, 2328,42, 2328,197)	Pannonia superior	?			Figulinas Ive(n)s(ianas) leg(ionis) I Nor(icorum)										
EDCS-31500139	CIL 03, 13498	Pannonia superior	?	1 to 300	tituli sacri	Pon() / ex v(isu)	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0123808;HD074599		
