EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-62701032	AAntHung-1968-412	Provincia incerta	?		inscriptiones christianae	Vivas parentibus tuis										
EDCS-62701033	AAntHung-1968-412	Provincia incerta	?		inscriptiones christianae;  tituli possessionis	Vivas cum tuis in deo										
EDCS-31700258	AE 1889, 00156	Provincia incerta	?		liberti/libertae;  tituli sepulcrales	D(is) M(anibus) / et memoriae piae / d<e=I>d(icata) Ulp(ii) Balbi<n=X>i Sditis(!) s(upra) s(cripti) / conl(iberti) victim(is) ord(inariis) rit(e) expiat(is) / q(ui) vixit [a(nnos)] XXXXVIIII								http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1889-65;1ae1889-66		
EDCS-31500016	AE 1890, 00129 = D 05161k = AE 1994, +00140 = Herzog-1937, 00138	Provincia incerta	?	88 to 88	nomen singulare;  servi/servae;  tesserae nummulariae;  tituli possessionis;  viri	Moderatus / Luccei / sp(ectavit) III Non(as) Oct(obres) / L(ucio) Minic(io) L(ucio) Plotio	os	https://www.britishmuseum.org/research/collection_online/collection_object_details/collection_image_gallery.aspx?assetId=357563001&objectId=399735&partId=1						http://db.edcs.eu/epigr/partner.php?s_language=en&param=N150869;Mcollection_object_details/collection_image_gallery.aspx?assetId=357563001%26objectId=399735%26partId=1;de-b0309;de-b0310;1ae1890-34		
EDCS-78100015	AE 1891, 00141	Provincia incerta	?		milites;  tituli sepulcrales;  tria nomina;  viri	Aurelius Magnus	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1891-45		
EDCS-77400201	AE 1898, 00083	Provincia incerta	?				lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1898-23		
EDCS-16700139	AE 1904, 00167	Provincia incerta	?			Ansens								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD033450;1ae1904-46		
EDCS-16201686	AE 1917/18, 00048	Provincia incerta	?			Ex {i}stati/one Barari/tana Faustini / Matius(?) Bolgi/mas natu/[s] Barari								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD026379;1ae1917-12		
EDCS-78400199	AE 1931, 00077	Provincia incerta	?	201 to 300	inscriptiones christianae		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1931-23		
EDCS-15900371	AE 1937, 00104	Provincia incerta	?		tituli sepulcrales	D(is) M(anibus) / Nicomedes / Fla<v=B>i Balbi [v(iri) c(larissimi)] / actor Amand[ae] / uxori bene me/renti qu(a)e vixi[t] / ann[os 3] XVI								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD023265;1ae1937-42		
EDCS-79300090	AE 1941, 00083	Provincia incerta	?		tituli sacri		lapis	Spielstein				GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1941-28		
EDCS-15700050	AE 1941, 00130	Provincia incerta	?			] Q() R() F() F() optimo pr[incipi								http://db.edcs.eu/epigr/partner.php?s_language=en&param=N073487;HD021405;1ae1941-40		
EDCS-15100005	AE 1949, 00206 = AE 1952, +00081	Provincia incerta	?	101 to 200	tituli sepulcrales	Dis Manibus / C(aio) Gentio Valenti militi / ex classe praetoria Mise/nensi ex IIII(quadriere) Miner(va) nation(e) Dalm(ata) vix(it) an(nos) XL in his mil(itavit) ann(os) / XIX heredes bene merito / Tonatius Sever et Mettius Seve[r(us?)]							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N073736;HD027780;1ae1949-64		
EDCS-15100035	AE 1949, 00207	Provincia incerta	?		tituli sepulcrales	D(is) M(anibus) / Iulius Alexande[r] / pr(incipalis?) / hic positus / est III Kal(endas) Iun(ias)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD027783;1ae1949-64		
EDCS-15100122	AE 1949, 00208 = AE 1952, +00081	Provincia incerta	?	101 to 230	tituli sepulcrales	D(is) M(anibus) / C(aio) Iulio R(h)eso manip(ulari) / ex III(triremi) Fide nat(ione) Bess(o) / <v=B>ixit an(nos) LV milit(avit) an(nos) XII / M(arcus) Rufinus Auctus / heres b(ene) m(erenti) f(ecit)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N105331;HD027786;1ae1949-64		
EDCS-15100123	AE 1949, 00209 = AE 1952, +00081	Provincia incerta	?	101 to 230	mulieres;  tituli sepulcrales;  viri	D(is) M(anibus) / Lollius Primitius / nat(ione) Italicus vixit a(nnos) / XXXV milit(avit) / a(nnos) VII d(ies) X / Valeria Primil<l=I>a / co(n)iugi b(ene) m(erenti) f(ecit)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N105071;HD027789;1ae1949-64		
EDCS-79500079	AE 1950, 00031a	Provincia incerta	?		tituli sacri		lapis					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P306132;1ae1950-16		
EDCS-13700280	AE 1955, 00002	Provincia incerta	?	1 to 30	liberti/libertae	Sex(tus) Lartidius Sex(ti) l(ibertus) / Thelys mag(ister) q(uinquennalis) / famil(iae) an(norum) XXX / et Lesbiae l(ibertae)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N000920;HD019020		
EDCS-13700310	AE 1955, 00046	Provincia incerta	?			Sat orare poten(tia) et oper(a) a rota s(ervat)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019161		
