EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-57200166	BVbl-1997-233	Raetia	?	1 to 300	milites;  tituli possessionis;  tria nomina;  viri	Aeli(us) Celerinus	aes							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD063755		
EDCS-27700252	CIL 03, 05976 = IBR 00444-00449	Raetia	?		milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Iuli Ovve/nis optio/nis leg(ionis) III / Ital(icae) vixit / an(nos) XXVI[3] / mil(itavit) ann(os) / VIII optio / an(nos) II Aur(elius) / coll(ega) et he/res f(aciendum) c(uravit)										
EDCS-28400453	CIL 03, 06008,09e	Raetia	?		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Campili	opus figlinae									
EDCS-28400452	CIL 03, 06010,012c	Raetia	?		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Amandus fecit	opus figlinae									
EDCS-63200924	CIL 13, 10010,0044g	Raetia	?		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Alianus f(ecit)	opus figlinae									
EDCS-62100992	CIL 13, 10017,0093u	Raetia	?		tituli possessionis	XEX	opus figlinae									
EDCS-37500157	IBR 00231a	Raetia	?			Precar[							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IBR_00231a.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058699		
EDCS-06100462	AE 1986, 00528 = AE 1989, 00579 = AE 1995, +00045	Raetia	Aalen / Ala	163 to 164	Augusti/Augustae;  ordo equester;  tituli honorarii;  tria nomina;  viri	[Imp(eratori) Caes(ari)] M(arco) Aur[elio Anto]/[nino Aug(usto)] p(ontifici) m(aximo) t[ribunicia] / [pot(estate) XVIII] imp(eratori) II [co(n)s(uli) III p(atri) p(atriae) et] / [Imp(eratori) Caes(ari) L(ucio)] Aureli[o Vero Aug(usto)] / [Armenia]co trib(unicia) pot(estate) III[I imp(eratori) II] / [co(n)s(uli) II su]b cura Bai P[uden]/[tis proc(uratoris) per ala]m II F[l(aviam) |(miliariam) P(iam) F(idelem)] / fecit [3]ius Lo[lli]an[us praef(ectus)]	lapis		48.8362705	10.0931765			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1986_00528.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD002865;lu_10369		
EDCS-07600332	AE 1986, 00529 = AE 1989, 00586 = AE 1995, +00045	Raetia	Aalen / Ala	222 to 235	Augusti/Augustae;  milites;  tituli honorarii;  tituli sacri;  viri	[D(omino) n(ostro) Imp(eratori) Caes(ari)] / [M(arco) Aur(elio)] Se[vero] / [Alexan]dr[o] / [Pio Felic]i In/[victo Aug(usto) pont(ifici)] / [ma]x(imo) [trib(unicia) p]ot(state) / [co(n)s(uli) proco(n)s(uli) p(atri) p(atriae)] / [al(a)] II [Fl(avia) |(miliaria) P(ia) F(idelis)] / [A]l[exandri]/an[a] devo[tis]/sim[a] Num[ini] / maiestatiq(ue) / eius	lapis		48.8362705	10.0931765				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD007875		
EDCS-06100463	AE 1989, 00580 = AE 1995, +00045 = AE 2001, +01566	Raetia	Aalen / Ala	208 to 208	Augusti/Augustae;  litterae erasae;  milites;  ordo equester;  ordo senatorius;  tituli operum;  viri	[I]mp(eratori) [C]aes(ari) [L(ucio)] Sept(imio) Severo P[io Pe]rt[inaci] / [A]ug(usto) [Ar]ab(ico) Adiab(enico) P[ar]t(hico) max(imo) [pontif(ici) max(imo)] / [t]rib(unicia) [po]t(estate) XVI im[p(eratori) XII co(n)s(uli) III proco(n)s(uli) p(atri) p(atriae) et] / Imp(eratori) [Cae]s(ari) M(arco) [Aurelio Antonino] Pio Fel(ici)] / Au[g(usto) tri]b(unicia) p[ot(estate) XI co(n)s(uli)] III imp[(eratori) II proco(n)s(uli) et] / [[P(ublio) S[eptimio Getae] Caes(ari)]] [al(a) II Fl(avia) |(miliaria) P(ia) F(idelis)] / [cui praeest 3]ius [3 sub cura] / [3 Acutiani] c(larissimi) [v(iri) le]g(ati) Au[gg(ustorum) pro praet(ore)] / [provinciae Raet]iae [pr]in[cipia restituit]	lapis		48.8362705	10.0931765			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1989_00580.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018264		
