EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-05200617	AE 1990, 00871	Regnum Bospori	?		milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / L(ucio) [F]urio Sev(ero) / [se]<c=Q>(utori) p[r(aepositi)] / [v]ex(illationis) coh(ortis) I T[hr(acum)]								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024642;HD024996		
EDCS-09800299	AE 1967, 00427	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		tituli sacri;  tria nomina;  viri	Claudius Ruf/us et Aur(elius) Maxim/u[s v]o[tu]m p[os(uerunt) 3]on(i)			44.433333	34.133333				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD014989		
EDCS-49000005	CBI 00658 = Epigraphica-1964-45	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  ordo senatorius;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / M(arcus) Gemini/us Fort[i]s / b(ene)f(iciarius) Ummidi / Quadrati / co(n)s(ularis) / v(otum) [s(olvit)] l(ibens) m(erito)			44.433333	34.133333			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00658.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024644		
EDCS-49000006	CBI 00659	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) / dis deab(us)[q]/ue Domiti/us Aemili[an(us)] / b(ene)f(iciarius) co(n)s(ularis) pro sal(ute) / sua et su[or(um)]			44.433333	34.133333			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00659.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024646		
EDCS-49000007	CBI 00661	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  tituli sacri;  tria nomina;  viri	I(ovi) O(ptimo) M(aximo) Cons(ervatori) / T(itus) Fl(avius) Celsi/nus b(ene)f(iciarius) co(n)s(ularis) / leg(ionis) XI Cl(audiae) / pro sal(ute) / sua et fi/liorum v(otum) p(osuit)			44.433333	34.133333			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CBI_00661.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024645		
EDCS-32200961	CIL 03, 14215,03	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  sigilla impressa;  tituli fabricationis	Le(gio) XI Cl(audia)	opus figlinae		44.433333	34.133333						
EDCS-32200962	CIL 03, 14215,04 = ZPE-112-234 = AE 1900, 00200 = AE 1903, 00003	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  sigilla impressa;  tituli operum;  tria nomina;  viri	Per L(ucium) A() C() |(centurionem) / leg(ionis) I It(alicae) praep(ositum) / vex(illariorum) Moes(iae) inf(erioris)	opus figlinae		44.433333	34.133333			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1903_00003.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD028495;HD030720;CO0019126;1ae1900-65;1ae1903-01		
EDCS-32200963	CIL 03, 14215,05a = AE 2006, 01228	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Vex(illatio) / G(ai) Rav(oni) Sp(erati)	opus figlinae		44.433333	34.133333				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0019127		
EDCS-32200964	CIL 03, 14215,05b	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  sigilla impressa;  tituli fabricationis	Vex(illatio) / <c=G>(lassis?) Rav(ennatis) s(umptu) [p(ublico)]	opus figlinae		44.433333	34.133333				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0019127		
EDCS-32200965	CIL 03, 14215,05c	Regnum Bospori	Ai-Todor / Aj-Tor / Charax		milites;  sigilla impressa;  tituli fabricationis	[Vex(illatio)] / [c(lassis)] Rav(ennatis) s(umptu) p(ublico)	opus figlinae		44.433333	34.133333				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0019127		
EDCS-10400130	ZPE-112-230 = AE 1997, 01332	Regnum Bospori	Ai-Todor / Aj-Tor / Charax	166 to 166	Augusti/Augustae;  milites;  tituli operum;  viri	[Imperatoribus Caesar]ibus / [M(arco) Aurelio Antoni]no et / [L(ucio) Aurelio Vero Au]gustis / [Armeniacis Part]hicis [m]a/[ximis Medicis imp(eratoribus)] IIII op[3] / [3] tegulis / [3]anus / [3 p]er vexillat(ionem) / [3 curam] agente / [3] |(centurione) leg(ionis) XI Cl(audiae)			44.433333	34.133333			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1997_01332_1.jpg;$AE_1997_01332_2.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0065867;HD050026		
EDCS-03300828	AE 1995, 01351	Regnum Bospori	Balaklava	151 to 230	milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Iul(ius) Vale(n)s eq(ues) / alae Atecto(rigianae) / tur(ma) Ce[ls]i / vix(it) ann(os) XXXX / posuit Iul(ius) / Vales aer(arius) be/ne merenti			44.5121316	33.5990374				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD050987		
EDCS-12200294	AE 1998, 01154	Regnum Bospori	Balaklava	139 to 161	Augusti/Augustae;  milites;  ordo equester;  ordo senatorius;  tituli sacri;  tria nomina;  viri	Herculi sacr(um) // pro salute Imp(eratoris) / Antonini Aug(usti) et M(arci) / Aureli Caes(aris) Anton(ius) / Valens trib(unus) milit(um) / leg(ionis) I Ital(icae) per Novi/um Ulpian(um) |(centurionem) leg(ionis) / eiusd(em)			44.5121316	33.5990374				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0071758;HD049279		
EDCS-12200295	AE 1998, 01155	Regnum Bospori	Balaklava	139 to 161	milites;  ordo equester;  ordo senatorius;  tituli sacri;  tria nomina;  viri	Herculi sacr(um) / sub cur(a) Ant(oni) / Val(entis) trib(uni) milit(um) / vexill(atio) exerc(itus) / [Moesiae inf(erioris)			44.5121316	33.5990374				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD049280		
