EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-06100299	AE 1989, 00349a	Sardinia	?	-75 to -51	tituli fabricationis;  tria nomina;  viri	M(arci) Plani L(uci) f(ilii) Russini	plumbum	tubus	40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015300		
EDCS-06100300	AE 1989, 00349b	Sardinia	?		praenomen et nomen;  tituli fabricationis;  viri	C(aius) Utius C(ai) f(ilius)	plumbum	tubus	40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015303		
EDCS-06100301	AE 1989, 00349c	Sardinia	?		nomen singulare;  tituli fabricationis;  viri	Cerdo	plumbum	tubus	40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015306		
EDCS-06100302	AE 1989, 00349d	Sardinia	?		liberti/libertae;  tituli fabricationis;  tria nomina;  viri	Cn(aei) Atelli Cn(aei) l(iberti) Bulio(nis)	plumbum	tubus	40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD015309		
EDCS-05200306	AE 1990, 00467b	Sardinia	?	171 to 300	liberti/libertae;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Lucio H() Faus/to Lucius H() / Aristius Luc/ius H() Faustio / Lucius H() Geme[l]/lus p(atrono) v(ivi) f(ecerunt) vixit / annis XXXV			40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N081960;HD017025		
EDCS-30000434	AE 2003, 00798a	Sardinia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) Atil(i) Tro(phimi)	opus figlinae		40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044507		
EDCS-30000435	AE 2003, 00798b	Sardinia	?	121 to 180	sigilla impressa;  tituli fabricationis;  tria nomina;  viri	M(arci) [N]ov(i) Iusti	opus figlinae		40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044508		
EDCS-70800369	ANRW-02-11-01, p 648	Sardinia	?		tituli sepulcrales	]XXI[3] / [3] et die[s			40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N155148		
EDCS-70800370	ANRW-02-11-01, p 648	Sardinia	?		tituli sepulcrales	] sub di[e			40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N155153		
EDCS-26500753	CIL 01, 02654o (p 1133)	Sardinia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	M(arci) Tucci L(uci) f(ilii) Tro(mentina) / Galeon<i=V>s	opus figlinae		40.120875	9.012893						
EDCS-22901687	CIL 10, 08053,027i (p 1000)	Sardinia	?	131 to 170	sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Auf(idi) Fron(imi?)	opus figlinae		40.120875	9.012893				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p873-00		
