EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-13600431	AE 1956, 00146	Sicilia	?		signacula medicorum;  tituli operum;  tria nomina;  viri	Phoenix // R() Alexandri pho<e=C>/[n]ix ad impetum ex o(vo) // R() Alexandri dia/omph(acium) ol<e=C>(ae?) ad imp(etum) ex o(vo) // R() Alexandri dias/m<y=U>rnes post imp(etum) // R() Alexandri diam(i)/sus con(t)r(a) asprit(udines)			37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N074120;HD018075		
EDCS-46600171	AE 2007, 00684	Sicilia	?						37.397930	14.658782		GR				
EDCS-71000712	ASNP-1990-424	Sicilia	?				aes		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N161814		
EDCS-64400513	BollArte-1931-364a	Sicilia	?	201 to 300					37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109584		
EDCS-64400514	BollArte-1931-364b	Sicilia	?	201 to 300					37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109585		
EDCS-64400512	BollArte-1931-365	Sicilia	?	201 to 300		AEC			37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109573		
EDCS-64400511	ByzSic-2002-483	Sicilia	?				aes		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109545		
EDCS-64400510	ByzSic-2002-661	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N113528		
EDCS-19700418	CIL 01, 00425f (p 722, 886) = ILLRP 01177f	Sicilia	?			Tr(ebius) Loisio(s)			37.397930	14.658782						
EDCS-22901722	CIL 10, 08045,02	Sicilia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) A() Crispi	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p858		
EDCS-22901723	CIL 10, 08045,07c	Sicilia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	M(arci) T() Luco(nis)	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p858		
EDCS-22901725	CIL 10, 08045,10c	Sicilia	?		nomen singulare;  sigilla impressa;  tituli fabricationis;  viri	Galba	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p859		
EDCS-22901724	CIL 10, 08045,23	Sicilia	?		sigilla impressa;  tituli fabricationis;  tria nomina;  viri	]i Tarini	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p859		
EDCS-32900046	CIL 10, 08053,056u	Sicilia	?	131 to 200	sigilla impressa;  tituli fabricationis;  tria nomina;  viri	C(ai) Cor(neli?) Urs(i)	opus figlinae	lucerna	37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p875		
EDCS-22900591	CIL 10, 08053,102x	Sicilia	?		sigilla impressa;  tituli fabricationis	[I]uni A<le=IF>xi	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p877		
EDCS-19700392	CIL 10, 08054,5a = CIL 01, 00409a (p 721, 885) = ILLRP 01211	Sicilia	?		sigilla impressa;  tituli fabricationis	L(ucius) Gabinio(s)	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p887		
EDCS-23000016	CIL 10, 08056,197d	Sicilia	?	61 to 150	sigilla impressa;  tituli fabricationis;  tria nomina;  viri	Sex(ti) M(urri) P(isani)	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p900		
EDCS-23300041	CIL 10, 08063,2m	Sicilia	?		sigilla impressa;  tituli fabricationis	L(ucius) Piso L(uci) f(ilius) // Co(n)s(ul)	opus figlinae		37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p940		
EDCS-24800014	CIL 15, 01665,17 = ICVaticano p 242 = AE 2001, +00744	Sicilia	?		inscriptiones christianae;  sigilla impressa;  tituli fabricationis	Reg(nante) d(omino) n(ostro) Theode/rico bono Rom(a)e	opus figlinae		37.397930	14.658782						
EDCS-09400440	Epigraphica-1941-267 = AE 1975, 00453	Sicilia	?		mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) s(acrum) / Cassia Galene / vixit ann(os) XXXX / C(aius) Iulius Macedo / uxori piissimae / fecit			37.397930	14.658782				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N076314;CO0102279;HD009885;is003434		
EDCS-64500430	Epigraphica-2007-281	Sicilia	?				aes		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N110281		
EDCS-64500530	ICOS p 191	Sicilia	?	201 to 300					37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109605		
EDCS-64500529	ICOS p 192	Sicilia	?	201 to 300					37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N109606		
EDCS-64500528	ICOS p 196	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N110192		
EDCS-39101540	IG-14, 00593 = IGASMG-02, 00016	Sicilia	?	-500 to -471			aes		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N138101;P140920;P329391		
EDCS-39101541	IG-14, 00594	Sicilia	?	-470 to -431			aes		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N149520;P140921		
EDCS-65000075	IG-14, 00595 = IGASMG-02, 00077	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P329457		
EDCS-39101543	IG-14, 00596 = IGASMG-02, 00078	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P329459		
EDCS-39101544	IG-14, 00597	Sicilia	?	-500 to -401	tituli sacri		argentum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107958;P140924		
EDCS-39101545	IG-14, 00598 (p 688)	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N159591;P140925		
EDCS-39101546	IG-14, 00599 = SEG-36, 00889	Sicilia	?		mulieres;  tituli sepulcrales		lapis		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P140926;N162876		
EDCS-39500511	IG-14, 02393,006a	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P141621		
EDCS-39500512	IG-14, 02393,006b	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P141621		
EDCS-39500523	IG-14, 02393,219a	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P141925		
EDCS-39500524	IG-14, 02393,284	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P142010		
EDCS-39500525	IG-14, 02393,368	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P142141		
EDCS-39500526	IG-14, 02393,428	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P142222		
EDCS-39500513	IG-14, 02405,03	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P142580		
EDCS-39500527	IG-14, 02406,013	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P142705		
EDCS-39500514	IG-14, 02407,04d	Sicilia	?	-104 to -101	milites;  tituli possessionis;  viri		plumbum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N146479;P142822		
EDCS-39500515	IG-14, 02407,04e	Sicilia	?	-104 to -101	milites;  tituli possessionis;  viri		plumbum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N146481;P142823		
EDCS-39500516	IG-14, 02407,05b	Sicilia	?	-104 to -101	milites;  tituli possessionis;  viri		plumbum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N146484;P142825		
EDCS-39500517	IG-14, 02407,08c	Sicilia	?	-104 to -101	milites;  tituli possessionis		plumbum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N146513;P142833		
EDCS-39500518	IG-14, 02407,08d	Sicilia	?	-104 to -101	milites;  tituli possessionis		plumbum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N146514;P142834		
EDCS-73400297	IG-14, 02407,11a = SEG-54, 2004, 00872,19	Sicilia	?	-330 to -271	milites;  tituli possessionis				37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N147822;P142840		
EDCS-39500519	IG-14, 02407,23c	Sicilia	?	-250 to -101	milites;  tituli possessionis;  viri		plumbum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N145728;P142855		
EDCS-39500528	IG-14, 02415,05	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143120		
EDCS-39500529	IG-14, 02415,07	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143122		
EDCS-39500530	IG-14, 02415,11	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143126		
EDCS-39500531	IG-14, 02415,12	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143127		
EDCS-39500520	IG-14, 02415,13	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143128		
EDCS-39500521	IG-14, 02415,14	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143129		
EDCS-39500532	IG-14, 02415,15	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143130		
EDCS-39500533	IG-14, 02415,16	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143131		
EDCS-39500534	IG-14, 02415,17	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143132		
EDCS-39500535	IG-14, 02415,18	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143133		
EDCS-39500536	IG-14, 02415,19	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143134		
EDCS-39500522	IG-14, 02415,20	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143135		
EDCS-39500537	IG-14, 02415,21	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143136		
EDCS-39500538	IG-14, 02415,23a	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143138		
EDCS-39500539	IG-14, 02415,24	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143141		
EDCS-39500540	IG-14, 02415,25	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P143142		
EDCS-64800170	IGASMG-01, 00077 = IGASMG-02, 00079	Sicilia	?						37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P301186;P329461		
EDCS-64800163	IGASMG-02, 00070 = SEG-29, 00832	Sicilia	?	-500 to -471					37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N137881;P329449		
EDCS-64800164	IGASMG-02, 00071 = SEG-29, 00846	Sicilia	?	-500 to -451					37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N138444;P329450		
EDCS-64800165	IGASMG-02, 00072	Sicilia	?	-500 to -451	defixiones		plumbum		37.397930	14.658782		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=N138389;P329451		
