EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-16700256	AE 1903, 00117 = Syria-2018-123	Syria	?		liberti/libertae;  nomen singulare;  officium/professio;  tituli possessionis;  viri	Phasidis Aug(usti) / lib(erti) proc(uratoris) / reg(ionis) Parhal(iae)	plumbum						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Syria-2018-123.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD031080;1ae1903-23		
EDCS-16201063	AE 1924, 00135	Syria	?		milites;  tituli sacri	Genio sacramenti / veterani								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD026527;1ae1924-39		
EDCS-09401591	AE 1973, 00548	Syria	?		ordo equester;  tria nomina;  viri	M(arcus) Mettius / Modestus / [p]roc(urator) Aug(usti)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD011615		
EDCS-67200347	AE 2002, 01527	Syria	?	171 to 300			aes					GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD044001		
EDCS-22300099	CIL 03, 00196 = CBI 00711	Syria	?	243 to 243	milites;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Ael(io) Valeriano b(ene)f(iciario) trib(uno) / leg(ionis) I Adiutri(cis) stip(endiorum) XVIII vixit / ann(os) XXXVIII Iul(ius) Oratia/nus b(ene)f(iciarius) trib(uni) leg(ionis) eius/dem secundus heres / et collega bene merenti / titulum statuendum / curavit Id[ib]us Octo/br(ibus) Arriano et [P]a[p]o co(n)s(ulibus)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0020391		
EDCS-28400786	CIL 03, 06716 = Thomsen-1917, 00059	Syria	?	324 to 337	Augusti/Augustae;  miliaria;  viri	]L[3] / A[3] Val(erio) Constantino / Aug(usto) [3] / [3]ni [3] / [3] et [3] / [3]no [	lapis									
EDCS-32500025	CIL 03, 14397a	Syria	?		inscriptiones christianae;  tituli fabricationis	Dei Gratias // Utere felix										
EDCS-66600398	Lupa 23366	Syria	?		milites;  tituli sepulcrales;  viri	D(is) M(anibus) / [6] / mil(es) coh(ortis) III Paphl(agonum) / vixit anni(s) XL							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_23366		
EDCS-34801088	RMD-01, 00009 = RMM 00012 = AE 1968, 00513	Syria	?	105 to 105	Augusti/Augustae;  diplomata militaria;  ordo equester;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Au/gustus Germanicus Dacicus pontifex maximus / tribunic(ia) potestat(e) VIIII imp(erator) IIII co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militaverunt in alis tri/bus et cohortibus septem quae appellantur Augus/ta et Apriana et Vocontiorum et I Augusta Lusi/tanorum et I Pannoniorum et I Flavia Cilicum / et II Thracum et II Thebaeorum et II et III Itu/raeorum et classicorum et sunt in Aegypto sub / C(aio) Vibio Maximo item extranslatarum in Iudae/am I Hispanorum et I Thebaeoram quinis et vi/cenis pluribusve stipendiis emeritis dimissis ho/nesta missione quorum nomina subscripta / sunt ipsis liberis posterisque eorum civitatem / dedit et conubium cum uxoribus quas tunc habuis/sent cum est civitas iis data aut si qui caelibes essent / cum iis quas postea duxissent dumtaxat singuli / singulas a(nte) d(iem) VIII K(alendas) Octobr(es) / M(arco) Vitorio Marcello / C(aio) Caecilio Strabone / co(n)s(ulibus) / cohort(is) II Ituraeorum cui prae(e)st / L(ucius) Aquillius Oculatius / ex pedite / M(arco) Spedio M(arci) f(ilio) Corbuloni Hippo / descriptum et recognitum ex tabula aenea / quae fixa est Romae in muro post templum / divi Aug(usti) ad Minervam // Ti(beri) Iuli Urbani / Q(uinti) Pompei Homeri / P(ubli) Cauli Restituti / P(ubli) Atini Amerimni / M(arci) Iuli Clementis / Ti(beri) Iuli Euphemi P(ubli) Cauli Vitalis // Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Au/gustus Germanicus Dacicus pontifex maxi/mus tribunic(ia) potestat(e) VIIII imp(erator) IIII / co(n)s(ul) V p(ater) p(atriae) / equitibus et peditibus qui militaverunt in alis / tribus et cohortibus septem / quae appellantur Augusta et Apriana / et Voconti(o)rum et I Augusta Lusitanorum / et I Pannoniorum et I Flavia Cilicum / et II Thracum et II Thebaeorum et II et III / Ituraeorum et classic<o=I>rum et sunt in / Aegypto sub C(aio) Vibio Maximo item ex/translatarum in Iudaeam I Hispa/norum et I Thebaeoram quinis et vice/nis pluribusve stipendiis emeritis / dimissis honesta missione quo/rum nomina subscripta // sunt ipsis liberis posterisque eo/rum civitatem dedit et conubium cum /uxoribus quas tunc habuissent cum est / civitas iis data aut si qui caelibes es/sent cum i(i)s quas postea duxissent dum/taxat (!) singulas a(nte) d(iem) VIII K(alendas) Octobr(es) / M(arco) Vitorio Marcello / C(aio) Caecilio Strabone co(n)s(ulibus) / cohort(is) II Ituraeorum cui prae(e)st / L(ucius) Aquillius Oculatius / ex ped(i)te / M(arco) Spedio M(arci) f(ilio) Corbuloni Hippo / descriptum et recognitum ex tabula / aenea quae fixa est Romae	aes						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AP_RMD-01_00009.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0046649;HD015527		
EDCS-50801399	Soldatenehe = AE 2012, 01960 = AE 2013, +00069 = ZPE-208-237	Syria	?	206 to 206	Augusti/Augustae;  diplomata militaria;  milites;  ordo equester;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caes(ar) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) fil(ius) divi Commo/di frater divi Antonini Pii nep(os) divi Hadriani pronep(os) / divi Traiani Parthici abnep(os) divi Nervae adnepos / L(ucius) Septimius Severus Pius Pertinax Aug(ustus) Arab(icus) Adiab(enicus) / Parthic(us) max(imus) pontif(ex) max(imus) trib(unicia) pot(estate) XIII imp(erator) XII co(n)s(ul) III p(ater) p(atriae) proco(n)s(ul) / Imp(erator) Caes(ar) L(uci) Septimi Severi Pii Pertinacis Aug(usti) Arabic(i) Adiab(enici) / Parthic(i) max(imi) fil(ius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) / divi Antonini Pii pronep(os) divi Hadriani abnep(os) divi / Traiani Parthic(i) et divi Nervae adnepos / M(arcus) Aurellius Antoninus Pius Aug(ustus) trib(unicia) pot(estate) VIII co(n)s(ul) II proco(n)s(ul) / equitibus et peditib(us) qui militaverunt in alis quat/tuor quae appellantur veteran(a) Gallic(a) et I(?) T(hracum) Her/culana et Aprian(a) et Mauret(anica) et cohortibus decem / I Ulp(ia) Afror(um) scutat(a) c(ivium) R(omanorum) I Apamenor(um) II Itur(a)eorum I / Lusitanor(um) III Itur(a)eor(um) II Thrac(um) I Fl(avia) Cilic(um) et II The/b(a)eorum I Pannoniorum et sunt in Aegypto / sub Claudio Iuliano praef(ecto) quinis et vice/nis pluribusve stipendi(i)s emeritis dimissis ho/nesta missone quorum nomina subscripta sunt / civitatem Romanam qui eorum non haberent (!) et / conubium cum uxoribus quas tunc habuissent / cum est civitas iis data aut cum iis quas postea / duxissent dumtaxat singulis singulas / praeterea praestiterunt filiis decurionum / et centurionum quos ordinati susceperunt / (!) cives Romani essent a(nte) d(iem) VIII Kal(endas) Febr(uarias) / M(arco) Nummio Albino et / L(ucio) Fulvio Aemiliano co(n)s(ulibus) / alae Herculanae / ex equite / M(arco) Antonio M(arci) fil(io) Valenti Apamia / descriptum et recognitum ex tabula aerea quae fixa est / Rom(a)e in muro post (t)emplum divi Aug(usti) ad Minervam // L(uci) Pulli Marcionis / C(ai) Publici Luperci / M(arci) Iuni Pii / Ti(beri) Claudi Iuliani / Ti(beri) Claudi Cassandri / L(uci) Pulli Benigni / Ti(beri) Iuli Dativi // Imp(erator) Caes(ar) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) fil(ius) divi Commodi / frater divi Antonini Pii nep(os) divi Hadriani pronep(os) divi / Traiani Parthici abnep(os) divi Nervae adnepos L(ucius) Septimius / Severus Pius Pertinax Aug(ustus) Arab(icus) Adiab(enicus) Parthic(us) max(imus) pontif(ex) / max(imus) trib(unicia) pot(estate) XIII imp(erator) XII co(n)s(ul) III [3] p(ater) p(atriae) proco(n)s(ul) [3] / Imp(erator) Caes(ar) L(uci) Septimi Severi Pii Pertinacis Aug(usti) Arab(ici) Adiab(enici) Parthici / max(imi) f(ilius) divi M(arci) Antonini Pii Germ(anici) Sarm(atici) nep(os) divi Antonini Pii / pronep(os) divi Hadriani abnep(os) divi Traiani Parthic(i) et divi Nervae ad(nepos) / M(arcus) Aurellius Antoninus Pius Aug(ustus) trib(unicia) pot(estate) VIII co(n)s(ul) II proco(n)s(ul) / equitibus et peditib(us) qui militaverunt in alis IIII quae / appellantur vet(erana) Gallica et I Thrac(um) Hercul(ana) et Aprian(a) et / Mauret(anica) et cohortib(us) X I Ulp(ia) Afror(um) scutat(a) c(ivium) R(omanorum) I Apam(enorum) / II Itur(a)eor(um) I Lusit(anorum) III Itur(a)eor(um) II Thrac(um) I Fl(avia) Cilic(um) et II The/b(a)eor(um) I Pann(oniorum) et sunt in Aegypto sub Claudio Iuliano / praef(ecto) quinis et vicenis pluribusve stipendi(i)s / (!) dimissis honesta missone quorum nomina / subscripta sunt civitatem Romanam qui eorum / non haberent (!) et conubium cum uxoribus quas / tunc habuissent cum est civitas iis data aut / cum iis quas postea duxissent dumtaxat / singulis singulas praeterea prae(stiterunt) / filiis decur(ionum) // a(nte) d(iem) VIII Kal(endas) Feb(ruarias) / Albino et Aemiliano co(n)[s(ulibus)] / alae Herculanae / ex equite / M(arco) Antonio M(arci) fil(io) Valenti / Apamia / descriptum et recognitum ex tabula aerea / quae fixa est Rom(a)e in muro post (t)emplum divi / Aug(usti) ad Minervam	aes						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Soldatenehe_1.jpg;$Soldatenehe_2.jpg;$AP_ZPE-208-237_1.jpg;$AP_ZPE-208-237_2.jpg			
EDCS-75000121	Syria-2018-122	Syria	?		liberti/libertae;  nomen singulare;  officium/professio;  tituli possessionis;  viri	Bass(i) Aug(usti) / lib(erti) proc(uratoris) / reg(ionis) Parh(aliae)	plumbum									
EDCS-08900641	ZPE-38-146 = AE 1980, 00887 = AE 1990, 01012	Syria	?		milites;  praenomen et nomen;  tituli sepulcrales;  viri	M(arcus) Titius lixa coh(ortis) / III Thracum Syriac(ae) / vixit annos XL / heredes ex testa/ment<o=UM> fecerunt							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AE_1980_00887.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0014552;HD005962		
EDCS-16100305	AE 1930, 00141 = AE 1933, +00001	Syria	Aahire / Ahirah / Ahire / Aeritta	185 to 194	Augusti/Augustae;  miliaria;  ordo senatorius;  tituli operum;  tria nomina;  viri	] / [Sa]r(maticus) Ger(manicus) max(imus) / [B]rit(annicus) pontifex / max(imus) trib(unicia) pot(estate) / XII imp(erator) VII / co(n)s(ul) V p(ater) p(atriae) via[m] / a Phaena / Aeritta(m!) re/stituit m(ilia) p(assuum) XIIII / curant/e Iul(io) Satu/rnino leg(ato) Aug(usti) / p(ecunia) p(ublica) // [Imp(erator) Caes(ar)] / [L(ucius) S]eptimius / [Se]verus Pe[r]t[i]/[nax Aug(ustus)] p[o]nt(ifex) [max(imus)] tr/[ib(unicia) pot(estate)] imp(erator)] IIII co(n)s(ul) II / [p(ater) p(atriae)] vias et milia/[ria p]er Manilium / [F]uscum leg(atum) Aug(usti) pr(o) / pr(aetore) praesidem pro[vin]/[ci]ae Syriae Phoeni[ces] / renovavit / XIIII	lapis		32.883333	36.466667				http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0105400;HD025857;1ae1930-42;1ae1930-43;1ae1933-05		
EDCS-22300070	CIL 03, 00179 (p 972) = CIL 03, 12098a	Syria	Aakoura / Aaqoura / Al-Aqurah	81 to 96	Augusti/Augustae;  tituli possessionis;  viri	Imp(eratoris) Domitiani Aug(usti) s() v() t()			34.1214952	35.9040649						
