EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-66500005	AE 2005, 01349 = AE 2009, 01398 = AE 2012, +00094	Thracia	?	101 to 200								GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD065142		
EDCS-78300255	AE 2017, 01266fb	Thracia	?	245 to 247	Augusti/Augustae;  miliaria;  viri	?	lapis	Text unpubliziert								
EDCS-36400187	Dacia-2006-99 = CERom-26, 01210 = AE 2006, 01862	Thracia	?	99 to 99	Augusti/Augustae;  diplomata militaria;  nomen singulare;  ordo equester;  ordo senatorius;  tituli operum;  tituli sacri;  tria nomina;  viri	[Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Augustus Germanicus pontifex maximus tribunic(ia) potestat(e) III co(n)s(ul) II p(ater) p(atriae) equitibus et peditibus qui militant in alis tribus et cohortibus septem quae appellantur I Asturum et I Flavia Gaetulorum et I Vespasiana Dardanorum et I Lepidiana c(ivium) R(omanorum) et I Tyriorum et I Lusitanorum Cyrenaica et II Flavia Brittonum et II Chalcidenorum et III et VII Gallorum et classi(ci) et sunt in Moesia inferiore sub Q(uinto) Pomponio Rufo item dimissis honesta missione qui quina et vicena plurave stipendia meruerunt quorum nomina subscripta sunt ipsis liberis posterisque eorum civita]tem dedit et conubium cum uxoribus / quas tunc habuissent cum est civitas / iis data aut si qui caelibes essent cum iis / quas postea duxissent dumtaxat singuli / singulas a(nte) d(iem) XIX K(alendas) Sept(embres) / Q(uinto) Fabio Barbaro A(ulo) Caecilio Faustino co(n)s(ulibus) / alae I Flaviae Gaetulorum cui prae(e)st / Q(uintus) Planius Sardus C(ai) f(ilius) Pup(inia) Truttedius Pius / gregali / Dolazeno Mucacenthi f(ilio) Bess[o] / et Deneusi Esiaetralis filiae uxori eius [B]ess(ae) / et Flavo f(ilio) eius / et Nene fil(iae) eius / et Benzi fil(iae) eius / descriptum et recognitum ex tabula ae/nea quae fixa est R[omae in muro post templum divi Aug(usti) ad Minervam] // C(ai) Tuticani Satur[nini] / L(uci) Nesulnae Pro[3] / P(ubli) Lusci Amandi / Sex(ti) Fufici Alexandri / C(ai) Tuticani Heli / Ti(beri) Claudi Feli[c]is / C(ai) Valeri Eucarpi	aes									
EDCS-29900533	IBulgarien 00245	Thracia	?	324 to 326	Augusti/Augustae;  miliaria;  viri	[Constan]tino / [Maximo triumfat]or(i) Aug(usto) / Lici(nio) Cons/[tant]ino et / C[rispo] / Licinio Iun(iori) / [et Cons]t[an]tio / [nobilissimis] C(a)es(aribus)	lapis							http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD042943		
EDCS-72900272	RJ 00185	Thracia	?	201 to 300	nomen singulare;  tituli possessionis;  viri	Am/an/ti // Am/an/ti							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RJ_00185_1.jpg;$RJ_00185_2.jpg			
EDCS-71100092	RMD-03, 00158 = AE 1994, 01519 = AE 2015, +01118 = ZPE-203-259 = AE 2017, 01218	Thracia	?	133 to 133	Augusti/Augustae;  diplomata militaria;  milites;  ordo equester;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caesar divi Traiani Parthici f(ilius) / divi Nervae nepos Traianus Hadria/nus Aug(ustus) pont(ifex) max(imus) trib(unicia) pot(estate) XVII co(n)s(ul) III p(ater) p(atriae) / equitib(us) qui inter singular(es) milita/ver(unt) quibus praeest Clodius Gallus / quinis et vicenis pluribusve stipen/di(i)s emeritis dimissis honesta mis/sione quorum nomina subscripta / sunt ipsis liberis posterisque eorum / civitatem dedit et conub(ium) cum uxorib(us) / quas tunc habuissent cum est civi/tas iis data aut si qui caelibes essent / cum i(i)s quas postea duxiss(ent) dumtaxat / singuli singulas a(nte) d(iem) VI Id(us) Apr(iles) / C(aio) Antonio Hibero / P(ublio) Mummio Sisenna co(n)s(ulibus) / M(arco) Ul[pio V]aleri filio Valerio Oesco / [descript(um) et rec]ognit(um) ex tabula aenea / [quae fixa est R]omae in muro post / [templum divi Au]g(usti) ad Minervam // Ti(beri) Claudi [Menandri] / P(ubli) Atti Sev[eri] / P(ubli) Atti Festi / L(uci) Equiti Gemelli / Q(uinti) Lolli Festi / T(iti) Villi Agath[ae] / C(ai) Vettieni He[rmetis]	aes						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$RMD-03_00158.jpg;$RMD-03_00158_1.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD055911		
EDCS-12100049	RMD-03, 00184 = RMD-05, p 704 = IDRE-02, 00474	Thracia	?		Augusti/Augustae;  diplomata militaria;  mulieres;  nomen singulare;  ordo equester;  ordo senatorius;  tituli operum;  tituli sacri;  viri	Imp(erator) Caesa(r) divi Antonini f(ilius) divi Veri Parthici ma/x<i=A>mi frater divi Hadriani nepo(s) divi Traian(i) Pa/rthici pronepo(s) divi Nervae abnepos M(arcus) Aurelius / Antoninus Aug(ustus) Germanicus Sarmaticus pon/tifex maximus tr[i]bunic(ia) potest(ate) XXXII imp(erator) VIII co(n)s(ul) III p(ater) (!) / Imp(erator) Caesar L(ucius) Aelius Aurelius Commodus Aug(ustus) Anton(i)/ni Aug(usti) f(ilius) divi Pii nepos divi Hadrian(i) pronep(os) / divi Traiani Parthici abnepo(s) divi Nervae (a)d<ne=RI>/pos Germanicus Sarmaticus trib(unicia) potes(tate) III imp(erator) / II co(n)s(ul) p(ater) p(atriae) / equitibus et peditibus qui militaverunt in / alis V quae appellantur Gallor(um) et Thrac(um) / Classian(a) et Aug(usta) Vocontior(um) et I Pannonior(um) Sa/binian(a) et Sebosion(a) Gallor(um) et Vetton(um) Hispano(rum) et / cohortibus XVI I Aug(usta) Nerv(iorum) et I Frisiavon(um) et I Aelia / Hispanor(um) [et I] fida Vardullor(um) et I Celtiber(orum) et III / Lingon(um) e[t I] Hispanor(um) et I Thrac(um) et I Batavor(um) et / II Gallor(um) [v]eter(ana) et II Thrac(um) veter(ana) et II Lingon(um) et / IIII Gall[or(um) e]t I Vang<i=L>o(num) et VII Thrac(um) et I Morino(rum) et / sunt in Br[ita]nnia sub Ulpio Marcello leg(ato) quinis / et vicen[is pluribu]sve stipendi(i)s emeritis dimis/sis hones[ta mis]sione quorum nomina subscript(a) / sunt civit[atem R]omanam qui eorum non habere(n)t d(e)/(de)run(t) et co[nubium c]um uxorib(us) quas tunc habuissent / cum est c[ivitas] i(i)s dat(a) a]ut cum i(i)s quas postea duxis/sent dum[taxat] singulis a(nte) d(iem) X Kal(endas) April{l}(es) / Ser(vio) Scipione Orfito / D(ecimo) Velio Rufo / co(n)s(ulibus) / coh(ortis) VII Thrac(um) cui praeest / Ulpius Marcianus / ex equite / Thiopo Rolae fil(io) Daco / descript(um) et recognit(um) ex tabu(l)a aere(a) / qu(a)e fixa est Rom(ae) in mu(ro) post t(emplum) divi Aug(usti) ad (!) // C(ai) Belli Urbani / L(uci) Senti Chrysogoni / Ti(beri) Iuli Crescentis / L(uci) Pulli Marcionis / S(exti) Vibi Romani / C(ai) Publici Luperci / M(arci) Iuni Pii // Imp(erator) Caesa[r divi Antonini f(ilius) divi Veri Parthici maximi frater] / divi Had[riani nepos divi Traiani Parthici pronepos divi] / Nerv[ae abnepos M(arcus) Aurelius Antoninus Aug(ustus) Germanicus S]/ar[maticus	aes									
EDCS-12100058	RMD-03, 00193	Thracia	?		Augusti/Augustae;  diplomata militaria;  milites;  tituli operum;  tituli sacri;  tria nomina;  viri	[Imp(erator) Caes(ar) divi Antoni]ni Magni / [Pii Aug(usti) fil(ius) divi Severi Pii ne]p(os) / [M(arcus) Aurellius Severus Alexand]er Pius Fel(ix) / [Aug(ustus) pont(ifex) max(imus) trib(unicia) pot(estate)] II co(n)s(ul) p(ater) p(atriae) / [nomina militum qui mi]litaverun(t) / [in coh(ortibus) praet(oriis) Severia]nis decem I II / [III IIII V VI VII VIII VIIII X Piis] Vindicib(us) / [qui pie et fortiter militi]a functi / [sunt ius tribuimus conubi]i dumtaxat / [cum singulis et primis uxoribus // ] L(ucio) Mario Maximo II [L(ucio) Roscio Aeliano co(n)s(ulibus)] / coh(ortis) V pr(aetoriae) S[everianae P(iae) V(indicis)] / P(ublio) Aelio P(ubli) f(ilio) Ulp[ia 3] / Serdi[ca] / descript(um) et recognit(um) e[x tabula aerea quae] / fixa est Romae in m[uro post templ(um) divi Aug(usti)] / ad Min[ervam]	aes									
EDCS-46400964	ZPE-168-195	Thracia	?		milites;  tituli sacri;  viri	[I(ovi) O(ptimo) M(aximo) Iunoni Reginae(?)] / [3]es miles l[eg(ionis?) 3] / [votum] posuit [3]							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-168-195.jpg			
EDCS-74400128	ZPE-209-140	Thracia	?	101 to 200	tituli sepulcrales;  viri							GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ZPE-209-140.jpg			
EDCS-77500134	AE 1902, 00234 = SEG-39, 00666	Thracia	Alexandroupolis / Alexandrou Polis / Traianopolis	202 to 202	Augusti/Augustae;  mulieres;  tituli honorarii		lapis		40.845692	25.8753275		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295707;1ae1902-62		
EDCS-78300536	AE 1914, 00062 = SEG-39, 00666	Thracia	Alexandroupolis / Alexandrou Polis / Traianopolis	202 to 202	Augusti/Augustae;  tituli honorarii;  tituli operum;  viri		lapis		40.845692	25.8753275		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295707;1ae1914-13;1ae1914-14		
EDCS-67200652	SEG-46, 00860 = AE 1995, 01356	Thracia	Alexandroupolis / Alexandrou Polis / Traianopolis				lapis		40.845692	25.8753275		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD067328		
EDCS-67200651	SEG-55, 00704 = AE 2003, 01560	Thracia	Alexandroupolis / Alexandrou Polis / Traianopolis	212 to 212			lapis		40.845692	25.8753275		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD056799		
EDCS-78300596	AE 1919, 00009	Thracia	Alopekonnesos / Alopeconnesus		mulieres;  tituli operum;  tria nomina;  viri		lapis		40.313900	26.249500		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P166675;1ae1919-02;1ae1919-03		
EDCS-77400134	AE 1895, 00104	Thracia	Assenowgrad / Stanimaka	138 to 161	Augusti/Augustae;  termini;  viri		lapis		42.0073633	24.8762702		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1895-26		
EDCS-78300666	AE 1922, 00076	Thracia	Avdira / Bulustra / Abdera	131 to 132	Augusti/Augustae;  tituli honorarii;  viri		lapis		40.9815562	24.9515371		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295290;1ae1922-19		
EDCS-78800229	AE 1937, 00170	Thracia	Avdira / Bulustra / Abdera	131 to 132	Augusti/Augustae;  termini;  tituli honorarii;  tituli operum;  tituli sacri;  viri		lapis		40.9815562	24.9515371		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295345;1ae1937-66		
EDCS-78800230	AE 1937, 00171	Thracia	Avdira / Bulustra / Abdera	131 to 132	Augusti/Augustae;  termini;  tituli honorarii;  tituli operum;  tituli sacri;  viri		lapis		40.9815562	24.9515371		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P295346;1ae1937-66		
EDCS-79000088	AE 1939, 00041	Thracia	Avdira / Bulustra / Abdera		sacerdotes pagani;  tria nomina;  viri		lapis		40.9815562	24.9515371		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=1ae1939-18;1ae1939-19		
EDCS-28500227	CIL 03, 07378 = CIL 03, 14207,01 = D 04067 = Philippi 00703e	Thracia	Avdira / Bulustra / Abdera		sacerdotes pagani;  tituli sacri;  tria nomina;  viri	 // Heroi Aulonite cultores sub sacerd(ote) Popil(io) Zip[a]			40.9815562	24.9515371		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=E703e;de-b0133		
EDCS-28500228	CIL 03, 07379	Thracia	Avdira / Bulustra / Abdera	-30 to 150	mulieres;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri	Uttiedia Cle/opatra Aristocrito / fil(io) m(ensium) V d(ierum) V h(ic) s(ito) f(aciendum) c(uravit)			40.9815562	24.9515371				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD068231		
EDCS-36400141	IAThraciae 00072 = AE 2005, 01345	Thracia	Avdira / Bulustra / Abdera	-100 to -1	tituli sepulcrales;  tria nomina;  viri	L(ucius) Manneius / L(uci) f(ilius) Pollio			40.9815562	24.9515371			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IAThraciae_00072.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD052472		
EDCS-78300798	AE 1929, 00093 = IGBulg-03-02, 01842	Thracia	Aytos / Aitos / Aetos		tituli sacri;  viri		lapis		42.701908	27.2522017		GR		http://db.edcs.eu/epigr/partner.php?s_language=en&param=P169946;1ae1929-20		
EDCS-29100141	CIL 03, 12328 (p 2316,45) = CIL 03, 14207,12 = CLE 01805 = ADBulgar 00082 = ILCV 00018 = D 08954 = IBulgarien 00184 = CLEThr 00005	Thracia	Aytos / Aitos / Aetos	450 to 457	carmina;  inscriptiones christianae;  nomen singulare;  tituli operum;  viri	Funditus hanc statuit Marcianus E[3 aulam(?)] / serius in regnum missus post n[3] / [re]ru[m vim ce]l[e]r[i] m[e]d[ici]na [temperat acrem] / [e]r[i]gi[t in] melius quem lapsu[m acceperat] / orbem // 			42.701908	27.2522017		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$IBulgarien_00184_1.jpg;$IBulgarien_00184_2.jpg;$IBulgarien_00184_3.jpg;$IBulgarien_00184_4.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0035743;HD044488;m|ce|1805;de-c0027		
EDCS-15300255	AE 1947, 00185 = AE 2012, +00051	Thracia	Bakirkoy / Bakirkoi / Hebdomon	449 to 449	Augusti/Augustae;  mulieres;  tituli honorarii;  viri	D(ominus) n(oster) Theodos[ius Pius Felix August]us / Imperator et [fortissimus triumfato]r / [gentium barbararum pere]nnis [et ubiqu]e / [victor pro] votis sororum pacato / [orbe Rom]ano celsus exultat			40.9835414	28.8679735				http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD019643;1ae1947-66;1ae1947-67		
EDCS-28500240	CIL 03, 07408 = CCET-01, 00162	Thracia	Balgarowo / Balgarovo	151 to 250	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	[D]is Manibus // L(ucio) Titovio L(uci) l(iberto) Diadu/meno Flavia Vera / coniugi bene merenti / et sibi et suis viva fecit			42.620922	27.3058388			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_07408_1.jpg;$CIL_03_07408_2.jpg;$CIL_03_07408_3.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0039090;HD043593		
EDCS-78300736	AE 1927, 00082 = IG-10-02-01, 00044 = SEG-26, 00823	Thracia	Barbaros Mahallesi / Bisanthe / Rhaedestus / Panion	383 to 408	Augusti/Augustae;  inscriptiones christianae;  mulieres;  viri	"""GR"	lapis	alpha Christogramm omega	40.9075932	27.4661006				http://db.edcs.eu/epigr/partner.php?s_language=en&param=P166168;1ae1927-22		
