EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-05400397	CIL 05, 07144	Transpadana / Regio XI	?		tituli sacri	Herculi / Maximus / Lucili fil(ius) / cum suis / v(otum) s(olvit) l(ibens) m(erito)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0127881;cil05_p802		
EDCS-05400398	CIL 05, 07145 (p 771)	Transpadana / Regio XI	?		tituli sacri	Mercuri[o] / v(otum) s(olvit) l(ibens) m(erito) / M(arcus) Fortumeius / Mercator								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p802		
EDCS-05400406	CIL 05, 07154 (p 1089) = CIL 05, 07155 = CIL 05, 07156	Transpadana / Regio XI	?			Xvir stlitib(us) i]ud[i]ca[nd(is)] q(uaestor) tr(ibunus) pleb(is) leg(atus) pro pr[aet(ore)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p803;N010486		
EDCS-05400430	CIL 05, 07181	Transpadana / Regio XI	?			Capito Cati f(ilio) / sibi et Firmo f(ilio) / Vattae filiae / Congonnae cum / II f(iliis) uxori								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p805		
EDCS-05400431	CIL 05, 07182	Transpadana / Regio XI	?			Quintus Cassius Paramichus / huius monumenti suis / sumptibus emit								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p805		
EDCS-05400432	CIL 05, 07183	Transpadana / Regio XI	?		liberti/libertae;  mulieres;  tituli sepulcrales;  viri	V(iva) f(ecit) / Comagia Q(uinti) f(ilia) / Montana / sibi et / [3] Comagio |(mulieris) l(iberto) / Crescenti / coniug(i) / in front(e) p(edes) XXX / in agrum p(edes) XL								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p805		
EDCS-05400433	CIL 05, 07184 (p 771)	Transpadana / Regio XI	?			Corisiae / L(uci) f(iliae) Paternae / annorum XIIII / mens(i)um VII / Corisia Eutycha / mater infelix								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p805		
EDCS-05400434	CIL 05, 07185	Transpadana / Regio XI	?			L(ucius) Faleius L(uci) f(ilius) / Blarus								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p805		
EDCS-05400436	CIL 05, 07187 (p 771)	Transpadana / Regio XI	?		tituli sepulcrales	D(is) M(anibus) / M(arcus) Livius Nicostratus / Livio Onesimo patri / et Livi[a] Nice / Livio Onesimo marito / et Livio Herm[a]e patrono / vivi fecerunt sibi / posterisq(ue) suis								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p805		
EDCS-05400437	CIL 05, 07187a (p 1089)	Transpadana / Regio XI	?			P(ublio) Paconio [3] f(ilio) / Pol(lia) [R]u[f]o patri / Arriae C(ai) f(iliae) / Secundae matri / [f]ili(i) posuere / et / [										
EDCS-05400439	CIL 05, 07189 = Caro 00112 = Piemonte 00047 = AE 1998, +00598	Transpadana / Regio XI	?			]etius / [3]inatius / [3]patri |(obitus) / [3]a mater |(obita) / [3] soror |(obita) / [3]recco fr(ater) / [3] fr(ater) |(obitus) / [3] soror / [							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PEC0007160	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0044539;cil05_p806		
EDCS-05400440	CIL 05, 07190 (p 771)	Transpadana / Regio XI	?			Secundae / servatrici / meae								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p806		
EDCS-05400441	CIL 05, 07191 = SupIt-13-F, 00014 = Piemonte 00211 = MEFR-1988-154 = AE 1988, 00575 = AE 1998, 00541	Transpadana / Regio XI	?	176 to 275	mulieres;  tituli sepulcrales;  viri	D(is) M(anibus) / Asteri / Sertoriae Verinae filiae pi/entissimae L(ucius) M() Vettianus / et Fabricia Nymfe(!) et V() Fir/minus maritus coniugi / karissimae quae vixit an/nos XVI me(n)s(es) VI dies V							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$SupIt_13_F_00014.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p806;N081084;HD008381		
EDCS-05400443	CIL 05, 07193 (p 771)	Transpadana / Regio XI	?		liberti/libertae	Memoriae / Terentiae M(arci) f(iliae) / Celsae / Chrysanthus lib(ertus)								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p806		
EDCS-05400449	CIL 05, 07199	Transpadana / Regio XI	?			]aese[3] / [3]ria[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p806		
EDCS-05400450	CIL 05, 07200 = CIL 05, 07201	Transpadana / Regio XI	?		tituli sepulcrales	]oo / [3 vixi]t ann(os) / [3]IIII / [								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p806		
EDCS-05400451	CIL 05, 07202	Transpadana / Regio XI	?		tituli sepulcrales	D(is?) M(anibus?) / [3]ctorian[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p806		
EDCS-05400452	CIL 05, 07203 = Piemonte 00168 = AE 1998, +00598	Transpadana / Regio XI	?		mulieres;  viri	]QIO[3] / [3]I[3] / con[iugi? 3] / pientiss[imo?								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p806		
EDCS-05400455	CIL 05, 07206	Transpadana / Regio XI	?			]nceton Z[3] / [3]did[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p807		
EDCS-05400456	CIL 05, 07207	Transpadana / Regio XI	?			]rug[3] / [3]I[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p807		
EDCS-05400457	CIL 05, 07208	Transpadana / Regio XI	?		inscriptiones christianae;  sacerdotes christiani	Pr(es)b(yter) [ // h(onestus) v(ir) [3] / Eie[3] / D[								http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil05_p807		
EDCS-12300355	CIL 16, 00151 = CIL 03, p 2000 (p 2328,204) = Pais 00941	Transpadana / Regio XI	?	246 to 246	Augusti/Augustae;  diplomata militaria;  milites;  tituli operum;  tituli sacri;  tria nomina;  viri	Imp(erator) Caes(ar) M(arcus) Iulius Phili[ppus Pius] / Fel(ix) Aug(ustus) pont(ifex) max(imus) trib(unicia) p[ot(estate) III co(n)s(ul) p(ater) p(atriae)] / M(arcus) Iulius Philippus nobil[issim(us) Caes(ar)] / nomina militum qui milit[averunt in] / cohortibus pr(a)etori(i)s Phil[ippianis de]/cem I II III IIII V VI VII VIII VII[II X Piis Vin]/dicibus qui pi<e=I> et fortiter m[ilitia fun]/cti sunt ius tribuimus con[ubii dum]/taxat cum singulis et primi[s uxoribus] / ut etiamsi peregrini iur[is feminas] / in matrimonio suo iunxer[int proinde] / liberos toll(ant) ac <s=X>i ex duob(us) c[ivibus Ro]/manis natos a(nte) d(iem) VII [Id(us) Ian(uarias)] / C(aio) Bruttio Pr(a)esente et C(aio) All[io Albino co(n)s(ulibus)] / coh(ors) V pr(aetoria) Philip[pian(a) P(ia) V(index)] / Neb(o) Tullio Neb(i) f(ilio) Ma[3] / Ael(ia) Murs[a] / descript(um) et recognit(um) ex ta[bula aenea] / qu(a)e fixa est Romae in muro [post templ(um)] / divi Aug(usti) ad Mine[rvam]	aes	C(aio) All[io Albino co(n)s(ulibus)] [correxit: Werner Eck]					http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$AP_CIL_16_00151.jpg	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0066867		
EDCS-60300005	CSIR-IT-01-02, 00040	Transpadana / Regio XI	?		tituli sepulcrales	V(ivus?) f(ecit) / [										
EDCS-60300003	CSIR-IT-01-02, 00040a	Transpadana / Regio XI	?	54 to 68		C(aio) Romanio Basso / fratri / L(ucio) Romanio Brocco / fratri							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CSIR-IT-01-02_00040a.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N147401		
