EDCS-ID	publication	province	place	dating	status	inscription	Material	Comment	Latitude	Longitude	TM Place	language	photo	partner_link	extra_text	extra_html
EDCS-23200912	CIL 11, 06609 = Pisaurum *00001	Umbria / Regio VI	?	1 to 200	tituli operum	] / strui curavit quam c[3]/ris omnibus de suo exor[navit]							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_11_06609.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016166		
EDCS-23200913	CIL 11, 06610 = Pisaurum *00002	Umbria / Regio VI	?	-100 to -1	mulieres;  tituli sepulcrales;  tria nomina;  viri	v(ivus) pos]uit / L(ucius) Gaius / L(uci) f(ilius) [P]ol(lia) Nerva / |(obita) T[ett]ia Q(uinti) f(ilia) / [G]alla / in f[r(onte)] p(edes) XII agr(o) / [p(edes)] XIIX							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016167		
EDCS-23200914	CIL 11, 06611 = Pisaurum *00003	Umbria / Regio VI	?	1 to 200	liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / Magiae / Primitivae / lib(ertae) opt<i=U>mae / coniugi / vix(it) ann(os) XXII / C(aius) Magius / Mercator / b(ene) m(erenti) f(ecit)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_11_06611.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016168		
EDCS-23200915	CIL 11, 06612	Umbria / Regio VI	?	1 to 200	liberti/libertae;  nomen singulare;  praenomen et nomen;  tituli sepulcrales;  viri	Latinus / Q(uinti) Petroni lib(ertus) / annor(um) XXIV / h(ic) s(itus) e(st)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016418		
EDCS-23200916	CIL 11, 06613	Umbria / Regio VI	?	1 to 200	tituli sepulcrales;  viri	[Pom]peio [							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016419		
EDCS-23200917	CIL 11, 06614	Umbria / Regio VI	?	1 to 200	liberti/libertae;  tituli sepulcrales;  viri	L(ucius) Turius |(mulieris) [l(ibertus)	lapis						http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0002746;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0003912;N016420;6mi_92891		
EDCS-23200918	CIL 11, 06615	Umbria / Regio VI	?	1 to 200		]DI[							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N016421		
EDCS-54900652	Epigraphica-2011-368 = AE 2011, 00360	Umbria / Regio VI	?	-20 to 20	praenomen et nomen;  tituli sepulcrales;  viri	P(ublius) Vibius P(ubli) f(ilius) / Lem(onia)							http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Epigraphica_2011_368.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N146919		
EDCS-43900042	Cordella-1988, p 185	Umbria / Regio VI	Abbazia San Pietro in Valle	1 to 50	tituli sepulcrales;  tria nomina;  viri	[3]arius T(iti) f(ilius) / [T]elamo			42.6452691	12.8115851			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Valnerina_p185.jpg;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N161033		
EDCS-15000162	AE 1950, 00193 = AE 2000, 00537	Umbria / Regio VI	Acqualagna / Pitinum Mergens	51 to 150	sacerdotes pagani;  tituli operum;  tituli sepulcrales;  tria nomina;  viri	D(is) M(anibus) / sodalicius / Apollinensis Sattianensis / loc(us) dat(us) a G(aio!) Rufio / Basso patrono			43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N108386;HD022036;1ae1950-66		
EDCS-64400277	Acqualagna p 31	Umbria / Regio VI	Acqualagna / Pitinum Mergens			]FM[			43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107158		
EDCS-64500520	Buroni p 32	Umbria / Regio VI	Acqualagna / Pitinum Mergens			]OTV[			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107159		
EDCS-64500521	Buroni p 32b	Umbria / Regio VI	Acqualagna / Pitinum Mergens			]RI[3] / [3]SE[3] / [3]FI[			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107160		
EDCS-23100758	CIL 11, 05954	Umbria / Regio VI	Acqualagna / Pitinum Mergens	-200 to -1	tituli sacri	Hercoli Primogenio sac(rum)			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N106991		
EDCS-23100759	CIL 11, 05954a	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101 to 200	seviri Augustales;  tituli sacri;  tria nomina;  viri	L(ocus) d(atus) // [d(ecreto) d(ecurionum)] / Hygiae Salu[3] / pro salute m[uni<c=O>ipi Pit(ini) Merg(entis)] / C(aius) Messius Zosimu[s VIvir Aug(ustalis) hic] / et Foro Sempro[ni			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N106994		
EDCS-23100760	CIL 11, 05954b	Umbria / Regio VI	Acqualagna / Pitinum Mergens	-27 to 51	milites;  praenomen et nomen;  tituli sacri;  viri	Silvano / Aug(usto) / L(ucius) Pacceli<u=M>s / primipil(us!) / ex vot(o) susc(epto)			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N106995		
EDCS-23100761	CIL 11, 05955	Umbria / Regio VI	Acqualagna / Pitinum Mergens	138 to 150	Augusti/Augustae;  ordo decurionum;  tituli sacri;  viri	Divo / [Ha]driano / [dec]uriones et / [pleb]s urbana			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107065		
EDCS-23100762	CIL 11, 05956	Umbria / Regio VI	Acqualagna / Pitinum Mergens	139 to 139	Augusti/Augustae;  tituli honorarii;  viri	] / Antonino Aug(usto) / Pio pont(ifici) max(imo) / tribunic(ia) potest(ate) / co(n)s(uli) II desig(nato) III p(atri) p(atriae) / pueri et puellae qui / ex liberalitate / eius alimenta / accipiunt			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107066		
EDCS-23100763	CIL 11, 05957	Umbria / Regio VI	Acqualagna / Pitinum Mergens	149 to 149	Augusti/Augustae;  mulieres;  tituli honorarii;  viri	[M(arco) Aelio Aurelio Caesari co(n)s(uli) II imp(eratori) Caesaris] / T(iti) Aeli Ha[driani] / Antonini Aug(usti) / Pii pont(ificis) max(imi) / trib(unicia) potest(ate) XIII / imp(eratoris) II co(n)s(ulis) IIII p(atris) p(atriae) / filio / pueri et puellae / alimentari(i)			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107067		
EDCS-23100764	CIL 11, 05958	Umbria / Regio VI	Acqualagna / Pitinum Mergens	255 to 256	Augusti/Augustae;  tituli honorarii;  viri	P(ublio) Cornelio Licinio Valeriano / nobil(issimo) Caes(ari) [pr]inc(ipi) iuven(tutis) [f]ilio Imp(eratoris) / Caes(aris) [P(ubli) L]icini Egnati Ga[l]lien[i] P[ii F]e[l(icis)] / Aug(usti) nepoti Imp(eratoris) Caes(aris) P(ubli) Licini [Valeri]ani / Pi[i] Felici[s			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107074		
EDCS-23100765	CIL 11, 05959 = Legio-XXX, 00023	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101 to 150	milites;  ordo equester;  ordo senatorius;  sacerdotes pagani;  tituli honorarii;  tria nomina;  viri	C(aio) Saguro / C(ai) f(ilio) Clu(stumina) Prisco / pr(aetori) design(ato) trib(uno) pl(e)b(is) / quaestori urban(o) / praef(ecto) equit(um) alae / prim(ae) Flaviae ci/vium R(omanorum) trib(uno) legio/nis XXX Ulpiae Vic/tricis praef(ecto) coh(ortis) / III Lingon(um) equita/tae praef(ecto) fabr(um) / IIIIvir(o) quinq(uennali) / pontific(i) patron(o) / municipi(i) / decuriones et / plebs urbana			43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0002703;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0003876;N107075		
EDCS-23100766	CIL 11, 05960 = CBI 00875	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101 to 150	liberti/libertae;  milites;  nomen singulare;  ordo decurionum;  tituli operum;  tria nomina;  viri	C(aio) Ligustinio / C(ai) f(ilio) Clu(stumina) Diserto / |(centurioni) leg(ionis) XX V(aleriae) V(ictricis) / |(centurioni) leg(ionis) IIII Scythicae / item |(centurioni) leg(ionis) XX V(aleriae) V(ictricis) / evocato Aug(usti) / benef(iciario) praef(ecti) praet(oriae) / Eutyches lib(ertus) / patrono optimo / ob merita / cuius dedicatione / decurionib(us) et plebei / crus[tu]lum et mulsum / dedit			43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=PH0002704;pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0003877;N107076		
EDCS-23100767	CIL 11, 05961 = D 05580 = Campedelli 00114 = Engfer-2017, 00329	Umbria / Regio VI	Acqualagna / Pitinum Mergens	1 to 200	ordo decurionum;  tituli operum;  tria nomina;  viri	L(ucius) Fuficius L(uci) f(ilius) Manilius / IIIIvir nomine / L(uci) Fufici L(uci) f(ilii) Capitonis fili(i) / sui IIIIvir(i) viam / et aream macelli / silice stravit ex / pecunia et vectura sua			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107077;de-b0389		
EDCS-23100768	CIL 11, 05962	Umbria / Regio VI	Acqualagna / Pitinum Mergens	1 to 200	mulieres;  ordo decurionum;  tituli honorarii;  tria nomina	L(ucio) Heidio Ser(vi) fi(lio) / Sertullae IIII/vir(o) quinq(uennali)			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107078		
EDCS-23100769	CIL 11, 05963 = Epigraphica-2008-221	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101 to 200	mulieres;  nomen singulare;  ordo decurionum;  tituli operum;  viri	] / hoc [tet]rastulum c[um 3] / loco adsignato d(ecreto) d(ecurionum) Licinia [3] / pecunia sua fecit datis am[plius HS 3 m(ilibus) n(ummum)] / ex quorum reditu decuri[ones et plebs] / urbana quodannis K(alendis) Iun[iis die natali] / Rufi fili(i) sui epularentur [3] / item HS IIII m(ilibus) n(ummum) amplius datis ex [quorum reditu] / opus supra scriptum si quando [necesse esset] / reficeretur			43.6258843	12.6759738				http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107083		
EDCS-23100770	CIL 11, 05964	Umbria / Regio VI	Acqualagna / Pitinum Mergens	1 to 200	mulieres;  ordo decurionum;  tituli honorarii;  tria nomina;  viri	C(aius) Marius C(ai) f(ilius) Cl[u(stumina) 3] / aed(ilis) IIIIvir i(ure) d(icundo) IIIIv[ir 3] / Mariae C(ai) f(iliae) Gallae sorori / Heteriae L(uci) f(iliae) [Ga]llae matri / C(aio) Gellio C(ai) f(ilio) Clu(stumina) Blaeso aed(ili) / fratri / loco publice dato			43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107086		
EDCS-23100771	CIL 11, 05965 = Gregori-2018-OD23	Umbria / Regio VI	Acqualagna / Pitinum Mergens	101 to 200	liberti/libertae;  ordo decurionum;  seviri Augustales;  tituli honorarii;  tituli operum;  tria nomina;  viri	[C(aio) M]essio C(ai) lib(erto) / Zosimo / [sevir]o Augustali hic / [et Foro] Semproni orna/[mentis] decurionalibus ab / [ordine] Pit(inatium) Merg(entinorum) honorato / [decuri]ones et plebs urban(a) / ob merita / [cuius d]edicatione decurionibus / [sing]ulis HS XII plebeis / HS 3 et] epulas dedit et / [vis]cerationem			43.6258843	12.6759738			http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N107122		
