EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-27000442	CIL 03, 00568 (p 1317) = CIL 03, 14203,25 = D 05794 = AE 2012, +00149	Achaia	Amfissa / Amphissa / Salona				Decim(ius) Secundinus / v(ir) c(larissimus) procons(ul) curat(ori) / et defens(ori) Amfissensium / salutem ut memini non / repurgari modo aquae d/uctum verum etiam indu/ci aquam iusseram confes/tim igitur in veteres cister/nas aqua ut semper cucur/rerat inducatur gratia/s agente beatitudini tem/poris et moderationi mea/e Hesperio quod fundus / qui aquam publicam occ/upavit publicus non fit sa(ne) / ne similis interceptio ite/rum fieri possit in cisternis / ipsis lapideo titulo posito un/de aqua veniat adscribite u/t nulla invadendi publicum / ren[n]o<v=Y>at<u=Y>r occasio memo/res eritis perfecta haec / omnia ante diem decimu/m Kalendarum Ianuaria/rum vos ad officium nun/tiare debere opto bene / valeatis	http://db.edcs.eu/epigr/partner.php?param=CO0054588;HD056387;T177401 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD056387 | https://www.trismegistos.org/text/177401 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0054588	38.5276679	22.3781527	http://www.trismegistos.org/place/162		
EDCS-08200302	Corinth-08-02, 00077	Achaia	Corinth / Korinthos / Corinthus			liberti/libertae	] Q(uinto) Cispuleio / Q(uinti) l(iberto) Primo Aug(ustali) / Ti(beri) Caesaris Aug(usti) / C(aius) Novius Felix / d(ecreto) d(ecurionum)	http://db.edcs.eu/epigr/partner.php?param=HD058700;T177564 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD058700 | https://www.trismegistos.org/text/177564	37.9386365	22.9322383	http://www.trismegistos.org/place/1163		
EDCS-08200332	Corinth-08-02, 00107 = AE 1919, 00007	Achaia	Corinth / Korinthos / Corinthus				Q(uinto) Cispuleio / Q(uinti) f(ilio) Aem(ilia) / Theophilo / decurionalibus / et aediliciis ornament(is) / d(ecreto) d(ecurionum) honorato / Q(uintus) Cispul[ei]u[s Pri]mu[s]	http://db.edcs.eu/epigr/partner.php?param=HD026619;T177172 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD026619 | https://www.trismegistos.org/text/177172	37.9386365	22.9322383	http://www.trismegistos.org/place/1163		
EDCS-11700133	Patras 00117	Achaia	Patras / Patrai / Patrae			liberti/libertae	L(ucio) Durcatio / L(uci) lib(erto) / Cisso	http://db.edcs.eu/epigr/partner.php?param=HD061856;T178058 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD061856 | https://www.trismegistos.org/text/178058	38.2466395	21.734574	http://www.trismegistos.org/place/1631		
EDCS-57600019	NSA-1934-219	Aegyptus	Al Iskandariyah / Alexandria			tituli sepulcrales	]a / [3]ae / [3]idi / [3]ae / [3]cissimi / [3]HAR III / [3]mine / [3]irilo	http://db.edcs.eu/epigr/partner.php?param=T261723 | https://www.trismegistos.org/text/261723	31.2000924	29.9187387	http://www.trismegistos.org/place/100		
EDCS-59600068	AE 2010, 01745	Aegyptus	Luxor / Al Uqsur / Karnak / Al Karnak / Theben / Thebai / Thebae / Iounou-Shema / Diospolis Magna	1	200	nomen singulare; servi/servae; tria nomina; viri	Faustus / Antoni / Cissi ser(vus)	http://db.edcs.eu/epigr/partner.php?param=T95491 | https://www.trismegistos.org/text/95491	25.6872431	32.6396357	http://www.trismegistos.org/place/576		
EDCS-46600729	CIL 11, 06700,185m	Aemilia / Regio VIII	Magreta / Mutina			sigilla impressa; tituli fabricationis	C(ai) Cispi	http://db.edcs.eu/epigr/partner.php?param=T519525 | https://www.trismegistos.org/text/519525	44.5982475	10.7950278	http://www.trismegistos.org/place/31947		
EDCS-48000611	CIL 11, 06695,099	Aemilia / Regio VIII	Parma			sigilla impressa; tituli fabricationis	A() Cis()	http://db.edcs.eu/epigr/partner.php?param=T519005 | https://www.trismegistos.org/text/519005	44.8014845	10.3279691	http://www.trismegistos.org/place/14589		
EDCS-20000037	CIL 11, 00142	Aemilia / Regio VIII	Ravenna			mulieres; tituli sepulcrales; tria nomina; viri	P(ublius) Aelius Cissus / sibi et / Ligariae Ammiadi / v(ivus) posuit / in agr(o) p(edes) XV in fr(onte) p(edes) XXV / hic loc(us) her(edem) non seq(uetur)	http://db.edcs.eu/epigr/partner.php?param=T517287 | https://www.trismegistos.org/text/517287	44.4183598	12.2035294	http://www.trismegistos.org/place/3192		
EDCS-46600747	CIL 11, 06700,185z	Aemilia / Regio VIII	Rimini / Ariminum			sigilla impressa; tituli fabricationis	Cispi	http://db.edcs.eu/epigr/partner.php?param=T519526 | https://www.trismegistos.org/text/519526	44.0678288	12.5695158	http://www.trismegistos.org/place/14365		
